GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US34001,34001,"Atlantic County, New Jersey",30747,972,36833,1794,25322,1384
0500000US34003,34003,"Bergen County, New Jersey",44204,1584,51998,667,36895,1095
0500000US34005,34005,"Burlington County, New Jersey",40581,922,50226,1448,31313,987
0500000US34007,34007,"Camden County, New Jersey",35288,1115,41986,999,28983,1324
0500000US34009,34009,"Cape May County, New Jersey",31899,1392,35660,3639,26945,7931
0500000US34011,34011,"Cumberland County, New Jersey",28900,1367,32091,2122,24436,2190
0500000US34013,34013,"Essex County, New Jersey",35115,1104,38328,1665,30908,872
0500000US34015,34015,"Gloucester County, New Jersey",36771,1356,46370,1834,28822,2336
0500000US34017,34017,"Hudson County, New Jersey",35672,775,40053,1987,30858,1016
0500000US34019,34019,"Hunterdon County, New Jersey",52265,2510,62110,5662,41786,4840
0500000US34021,34021,"Mercer County, New Jersey",37042,1464,44118,3808,31096,1386
0500000US34023,34023,"Middlesex County, New Jersey",42066,767,50206,1045,32420,1549
0500000US34025,34025,"Monmouth County, New Jersey",40078,1279,51051,1293,30577,973
0500000US34027,34027,"Morris County, New Jersey",46068,1178,57636,4711,36475,1518
0500000US34029,34029,"Ocean County, New Jersey",35093,1458,43814,2800,26624,1060
0500000US34031,34031,"Passaic County, New Jersey",32173,786,37005,1909,27927,2082
0500000US34033,34033,"Salem County, New Jersey",31766,2130,42010,3437,25354,3021
0500000US34035,34035,"Somerset County, New Jersey",46512,1311,56817,3581,38345,3623
0500000US34037,34037,"Sussex County, New Jersey",39615,2622,50831,1992,29282,2867
0500000US34039,34039,"Union County, New Jersey",33895,1720,37279,2050,30814,960
0500000US34041,34041,"Warren County, New Jersey",40801,1524,50702,2071,30337,3490
0500000US42001,42001,"Adams County, Pennsylvania",28065,2116,33388,2702,21903,1288
0500000US42003,42003,"Allegheny County, Pennsylvania",30326,550,36433,862,25109,804
0500000US42005,42005,"Armstrong County, Pennsylvania",25885,1463,32264,3279,20728,1758
0500000US42007,42007,"Beaver County, Pennsylvania",27198,1231,34209,2564,21345,1275
0500000US42011,42011,"Berks County, Pennsylvania",30013,1144,36841,1257,22992,1302
0500000US42013,42013,"Blair County, Pennsylvania",25173,1672,30533,1521,18770,2975
0500000US42017,42017,"Bucks County, Pennsylvania",39160,1786,47499,1842,30473,1072
0500000US42019,42019,"Butler County, Pennsylvania",29953,1591,40774,2013,21020,1484
0500000US42021,42021,"Cambria County, Pennsylvania",23333,1237,28880,2403,19185,2060
0500000US42027,42027,"Centre County, Pennsylvania",19265,1940,23429,1852,15225,1480
0500000US42029,42029,"Chester County, Pennsylvania",41653,905,51931,1152,31849,1002
0500000US42037,42037,"Columbia County, Pennsylvania",22786,2442,29430,3359,16646,1553
0500000US42039,42039,"Crawford County, Pennsylvania",24290,1661,31475,1556,18247,1950
0500000US42041,42041,"Cumberland County, Pennsylvania",30101,1487,36527,2136,23487,1325
0500000US42043,42043,"Dauphin County, Pennsylvania",31710,869,36323,904,27187,1540
0500000US42045,42045,"Delaware County, Pennsylvania",34970,1250,42496,1870,28663,1808
0500000US42049,42049,"Erie County, Pennsylvania",23845,1175,31214,1595,18772,1815
0500000US42051,42051,"Fayette County, Pennsylvania",22660,1314,27739,3570,17472,1436
0500000US42055,42055,"Franklin County, Pennsylvania",30004,1415,37002,958,22243,1390
0500000US42063,42063,"Indiana County, Pennsylvania",20896,1752,27946,4285,15293,2290
0500000US42069,42069,"Lackawanna County, Pennsylvania",26338,1277,31932,992,21775,1033
0500000US42071,42071,"Lancaster County, Pennsylvania",30188,597,38263,1640,21579,771
0500000US42073,42073,"Lawrence County, Pennsylvania",24109,1444,31730,2241,17068,1545
0500000US42075,42075,"Lebanon County, Pennsylvania",29815,1716,35034,2428,25599,1293
0500000US42077,42077,"Lehigh County, Pennsylvania",31124,973,37960,2903,23583,1857
0500000US42079,42079,"Luzerne County, Pennsylvania",26982,839,31615,900,22765,1106
0500000US42081,42081,"Lycoming County, Pennsylvania",23849,1884,31037,1806,17947,2347
0500000US42085,42085,"Mercer County, Pennsylvania",22379,1126,29344,3158,18355,1653
0500000US42089,42089,"Monroe County, Pennsylvania",26778,1550,36081,2961,20493,1306
0500000US42091,42091,"Montgomery County, Pennsylvania",41452,665,51067,755,32677,1397
0500000US42095,42095,"Northampton County, Pennsylvania",31905,966,40699,1335,25481,1256
0500000US42097,42097,"Northumberland County, Pennsylvania",25166,1347,30364,1215,20021,1773
0500000US42101,42101,"Philadelphia County, Pennsylvania",28908,856,31798,672,26365,746
0500000US42107,42107,"Schuylkill County, Pennsylvania",27744,1710,32457,1709,22277,1433
0500000US42111,42111,"Somerset County, Pennsylvania",22404,1300,27957,2403,16924,1719
0500000US42125,42125,"Washington County, Pennsylvania",27779,1675,35181,2385,21512,1185
0500000US42129,42129,"Westmoreland County, Pennsylvania",28189,1580,35735,1182,21740,907
0500000US42133,42133,"York County, Pennsylvania",31141,746,39053,2420,24966,1185
