GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
0600000US3402177210,3402177210,"Washington township, Mercer County, New Jersey",7241,3301,0,20,10,69,24,31,25,52,573,160,392,276,1042,453,102,72,3940,11,0,0,110,68,20,37,77,956,159,390,384,1248,374,73,33
0600000US3402180240,3402180240,"West Windsor township, Mercer County, New Jersey",14026,6832,7,0,17,20,8,24,17,48,355,115,410,257,2307,2002,524,721,7194,16,0,86,63,6,54,22,45,718,302,608,460,2594,1547,426,247
0600000US4201704976,4201704976,"Bedminster township, Bucks County, Pennsylvania",3310,1630,0,0,0,76,20,28,28,28,580,90,240,88,229,152,51,20,1680,0,0,0,44,10,29,36,41,622,136,191,141,272,116,34,8
0600000US4201705616,4201705616,"Bensalem township, Bucks County, Pennsylvania",39727,19419,89,17,148,359,349,638,519,784,6368,1252,2574,1356,3272,1090,430,174,20308,142,106,88,482,425,591,663,832,7342,1611,2330,1283,2941,1040,309,123
0600000US4201708592,4201708592,"Bridgeton township, Bucks County, Pennsylvania",1006,509,2,2,3,25,20,22,20,22,191,38,68,13,55,26,0,2,497,0,0,2,18,7,20,18,15,205,44,58,30,46,20,7,7
0600000US4201708760,4201708760,"Bristol borough, Bucks County, Pennsylvania",6527,2999,17,27,52,69,119,137,160,196,1160,191,340,162,231,111,20,7,3528,38,45,37,205,121,214,137,157,1571,201,313,172,230,75,12,0
0600000US4201708768,4201708768,"Bristol township, Bucks County, Pennsylvania",36296,17465,94,47,101,359,326,734,531,826,7923,1346,2072,1062,1478,449,63,54,18831,92,34,114,425,410,888,871,854,8705,1444,1931,1110,1351,411,187,4
0600000US4201709816,4201709816,"Buckingham township, Bucks County, Pennsylvania",11086,5309,0,0,8,81,40,55,42,77,906,176,734,245,1704,831,190,220,5777,0,4,19,90,36,48,60,79,1512,290,714,436,1627,638,162,62
0600000US4201712504,4201712504,"Chalfont borough, Bucks County, Pennsylvania",2599,1248,0,0,0,5,0,20,23,6,256,139,168,75,354,125,37,40,1351,0,0,0,8,16,23,12,21,341,89,197,187,333,81,21,22
0600000US4201719784,4201719784,"Doylestown borough, Bucks County, Pennsylvania",6425,2724,9,5,7,26,19,13,62,62,482,129,383,147,752,354,197,77,3701,15,7,13,79,59,91,87,98,943,230,493,271,874,373,47,21
0600000US4201719792,4201719792,"Doylestown township, Bucks County, Pennsylvania",12731,5967,49,0,62,110,28,72,57,56,1008,154,660,330,1956,846,276,303,6764,4,8,16,454,56,121,173,126,1697,255,713,390,1805,729,105,112
0600000US4201720104,4201720104,"Dublin borough, Bucks County, Pennsylvania",1318,646,0,0,3,14,11,17,13,12,221,61,69,32,138,39,12,4,672,2,0,0,7,19,11,21,16,222,68,104,52,113,24,13,0
0600000US4201720480,4201720480,"Durham township, Bucks County, Pennsylvania",910,465,0,0,2,11,2,15,17,8,149,15,59,40,91,25,13,18,445,2,2,0,6,8,4,9,6,158,32,41,33,90,42,12,0
0600000US4201721760,4201721760,"East Rockhill township, Bucks County, Pennsylvania",3376,1671,0,0,11,42,49,53,18,32,627,111,162,90,287,107,69,13,1705,6,0,5,31,44,61,29,56,607,134,196,75,313,110,33,5
0600000US4201725112,4201725112,"Falls township, Bucks County, Pennsylvania",23182,11097,20,15,34,206,195,294,260,369,4664,790,1345,762,1366,512,153,112,12085,45,23,27,236,215,378,320,428,5347,848,1409,887,1382,349,153,38
0600000US4201733224,4201733224,"Haycock township, Bucks County, Pennsylvania",1523,788,0,0,5,18,15,10,22,4,289,47,102,37,161,30,29,19,735,8,0,0,22,13,7,23,24,235,33,88,76,139,45,16,6
0600000US4201734952,4201734952,"Hilltown township, Bucks County, Pennsylvania",8019,3885,0,0,0,143,51,156,87,136,1224,279,473,194,765,290,66,21,4134,0,8,24,122,58,115,97,105,1470,302,527,336,613,279,56,22
0600000US4201736192,4201736192,"Hulmeville borough, Bucks County, Pennsylvania",632,326,6,0,0,8,5,11,7,7,142,42,38,18,20,19,1,2,306,0,0,3,7,0,6,1,8,155,22,27,9,44,10,12,2
0600000US4201737304,4201737304,"Ivyland borough, Bucks County, Pennsylvania",324,146,0,0,0,2,0,5,4,1,59,14,31,9,12,5,2,2,178,0,0,0,2,2,10,2,0,52,25,20,12,34,15,2,2
0600000US4201741392,4201741392,"Langhorne borough, Bucks County, Pennsylvania",1259,641,102,0,0,2,3,37,8,5,188,27,69,22,111,39,16,12,618,46,0,0,7,10,17,7,14,190,21,82,62,95,59,2,6
0600000US4201741416,4201741416,"Langhorne Manor borough, Bucks County, Pennsylvania",639,305,0,0,0,0,7,8,3,8,67,18,31,22,76,49,9,7,334,0,0,0,4,6,3,6,8,88,16,39,31,68,57,0,8
0600000US4201744968,4201744968,"Lower Makefield township, Bucks County, Pennsylvania",22401,10773,7,10,25,40,43,80,15,127,1229,354,967,459,4133,1906,831,547,11628,11,0,60,62,71,92,33,194,2017,611,1231,958,3734,1866,439,249
0600000US4201745112,4201745112,"Lower Southampton township, Bucks County, Pennsylvania",13435,6488,42,0,17,167,56,188,222,143,2336,493,755,337,1203,345,120,64,6947,8,0,17,91,106,207,156,302,2907,470,622,407,1112,394,93,55
0600000US4201749120,4201749120,"Middletown township, Bucks County, Pennsylvania",29184,13776,57,20,58,102,131,252,247,427,4101,884,1731,1011,3240,1093,255,167,15408,21,0,45,223,110,328,238,481,5353,1219,1886,1410,2557,1222,177,138
0600000US4201749384,4201749384,"Milford township, Bucks County, Pennsylvania",5995,2930,22,13,35,91,72,80,59,100,1041,253,307,185,501,140,21,10,3065,6,0,0,84,63,77,66,81,1219,304,287,233,390,186,69,0
0600000US4201751144,4201751144,"Morrisville borough, Bucks County, Pennsylvania",6739,3165,19,11,16,72,58,75,87,164,1151,239,368,207,471,161,36,30,3574,5,18,6,48,44,112,76,132,1468,338,418,351,369,134,35,20
0600000US4201753296,4201753296,"New Britain borough, Bucks County, Pennsylvania",1640,751,5,0,3,12,6,10,28,15,208,35,99,29,213,63,15,10,889,4,0,0,8,0,14,15,28,256,56,141,99,194,65,4,5
0600000US4201753304,4201753304,"New Britain township, Bucks County, Pennsylvania",7303,3459,0,7,5,10,18,19,34,88,794,116,527,247,1010,372,119,93,3844,0,0,14,49,15,46,61,123,1037,285,422,305,926,465,86,10
0600000US4201753712,4201753712,"New Hope borough, Bucks County, Pennsylvania",1798,992,0,0,0,0,0,0,14,6,153,40,116,35,329,167,65,67,806,2,4,0,8,15,0,20,8,85,63,102,65,235,166,19,14
0600000US4201754184,4201754184,"Newtown borough, Bucks County, Pennsylvania",1655,734,0,0,0,9,6,3,17,14,106,65,85,30,219,93,53,34,921,12,0,3,11,12,10,0,14,181,62,128,76,239,124,20,29
0600000US4201754192,4201754192,"Newtown township, Bucks County, Pennsylvania",12160,5683,15,0,17,48,0,46,39,40,826,219,619,398,1975,954,273,214,6477,7,0,0,83,29,72,41,71,1337,258,721,623,2193,795,181,66
0600000US4201754576,4201754576,"Nockamixon township, Bucks County, Pennsylvania",2411,1243,7,0,0,39,20,51,17,37,437,118,104,114,217,64,11,7,1168,6,6,0,18,12,51,35,7,485,56,114,113,174,81,10,0
0600000US4201754688,4201754688,"Northampton township, Bucks County, Pennsylvania",25541,12095,12,12,19,88,65,123,112,176,2712,573,1653,576,3568,1478,611,317,13446,19,9,29,74,38,195,95,300,4115,997,1475,1042,3133,1437,389,99
0600000US4201758936,4201758936,"Penndel borough, Bucks County, Pennsylvania",1446,691,0,0,3,8,17,33,39,23,233,55,128,47,76,20,9,0,755,0,0,0,28,15,40,20,29,332,54,77,39,63,38,20,0
0600000US4201759384,4201759384,"Perkasie borough, Bucks County, Pennsylvania",5630,2671,2,0,0,82,44,31,74,79,832,261,477,127,465,128,18,51,2959,0,0,20,103,44,53,62,116,1042,313,331,255,440,158,16,6
0600000US4201761616,4201761616,"Plumstead township, Bucks County, Pennsylvania",7277,3593,0,0,0,20,39,63,55,77,857,222,391,197,1042,465,118,47,3684,12,0,12,29,20,67,37,65,893,149,469,454,996,442,32,7
0600000US4201763048,4201763048,"Quakertown borough, Bucks County, Pennsylvania",5969,2813,19,10,29,66,56,54,76,125,1207,163,421,72,356,74,60,25,3156,0,0,6,211,61,104,63,99,1313,233,365,201,379,80,34,7
0600000US4201764536,4201764536,"Richland township, Bucks County, Pennsylvania",6670,3281,5,0,49,77,76,195,83,117,1422,207,409,119,325,141,35,21,3389,24,0,20,224,58,102,61,160,1412,265,424,159,361,91,28,0
0600000US4201764584,4201764584,"Richlandtown borough, Bucks County, Pennsylvania",862,368,2,0,0,29,2,13,4,15,183,14,41,19,29,17,0,0,494,2,0,0,72,10,10,15,9,202,19,46,33,62,8,3,3
0600000US4201764856,4201764856,"Riegelsville borough, Bucks County, Pennsylvania",626,306,3,0,0,3,6,2,2,5,146,12,26,17,61,14,6,3,320,0,0,0,12,0,13,4,2,132,28,31,34,40,11,13,0
