Year,BurlFree24,CamFree24,GloFree24,MerFree24,BucFree24,ChesFree24,DelFree24,MontFree24,PhilFree24,NJCosFree24,PACosFree24,PASubCosFree24,DVRPCFree24,BurlLoca24,CamLoca24,GloLoca24,MerLoca24,BucLoca24,ChesLoca24,DelLoca24,MontLoca24,PhilLoca24,NJCosLoca24,PACosLoca24,PASubCosLoca24,DVRPCLoca24
2011,1.09,1.19,1.08,1.16,1.17,1.06,1.42,1.48,1.89,1.13,1.46,1.33,1.33,,,,,,,,,,,,,
2012,1.09,1.12,1.06,1.14,1.18,1.05,1.37,1.36,1.86,1.09,1.41,1.27,1.28,,,,,,,,,,,,,
2013,1.11,1.15,1.05,1.14,1.14,1.08,1.39,1.4,1.89,1.1,1.45,1.3,1.3,,,,,,,,,,,,,
2014,1.22,1.18,1.07,1.15,1.11,1.05,1.41,1.4,1.89,1.12,1.44,1.3,1.3,1.28,1.36,1.25,1.32,1.25,1.2,1.36,1.35,1.43,1.3,1.31,1.28,1.31
2015,1.5,1.2,1.07,1.15,1.12,1.07,1.48,1.38,1.91,1.15,1.46,1.31,1.32,1.26,1.3,1.24,1.3,1.27,1.25,1.36,1.31,1.39,1.27,1.31,1.29,1.3
2016,1.53,1.18,1.05,1.13,1.08,1.04,1.43,1.37,1.83,1.13,1.42,1.28,1.29,1.23,1.31,1.23,1.29,1.25,1.23,1.36,1.3,1.44,1.26,1.31,1.27,1.29
2017,1.53,1.19,1.05,1.15,1.15,1.03,1.48,1.32,1.79,1.15,1.37,1.27,1.28,1.22,1.29,1.22,1.27,1.24,1.21,1.36,1.3,1.43,1.25,1.3,1.26,1.28
2018,1.49,1.21,1.05,1.15,1.16,1.03,1.54,1.31,1.86,1.16,1.4,1.29,1.3,1.21,1.28,1.21,1.26,1.24,1.21,1.34,1.29,1.38,1.24,1.29,1.26,1.27
