GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
42091205904,"Census Tract 2059.04, Montgomery County, Pennsylvania",2206,1990,2206,2151,1948,2206,42091,2008
42091205905,"Census Tract 2059.05, Montgomery County, Pennsylvania",3471,2264,3471,3381,2221,3471,42091,2951
42091205906,"Census Tract 2059.06, Montgomery County, Pennsylvania",2096,1686,2096,1865,1574,2096,42091,1799
42091206004,"Census Tract 2060.04, Montgomery County, Pennsylvania",6421,4728,6421,6126,4526,4520,42091,3581
42091206005,"Census Tract 2060.05, Montgomery County, Pennsylvania",4196,3734,4196,3781,3364,4196,42091,3535
42091206006,"Census Tract 2060.06, Montgomery County, Pennsylvania",2809,2616,2809,2791,2598,2765,42091,2457
42091206007,"Census Tract 2060.07, Montgomery County, Pennsylvania",6904,4163,6904,6746,4063,6665,42091,5896
42091206102,"Census Tract 2061.02, Montgomery County, Pennsylvania",8740,7131,8740,8334,6740,8740,42091,7713
42091206104,"Census Tract 2061.04, Montgomery County, Pennsylvania",3117,2690,3117,2983,2556,3113,42091,2954
42091206105,"Census Tract 2061.05, Montgomery County, Pennsylvania",5983,5499,5983,5950,5466,5494,42091,5259
42091206106,"Census Tract 2061.06, Montgomery County, Pennsylvania",4850,4324,4850,4804,4306,4828,42091,4293
42091206201,"Census Tract 2062.01, Montgomery County, Pennsylvania",2351,2229,2351,2272,2156,2351,42091,1488
42091206202,"Census Tract 2062.02, Montgomery County, Pennsylvania",2431,2155,2431,2345,2114,2330,42091,1818
42091206300,"Census Tract 2063, Montgomery County, Pennsylvania",5279,4508,5279,5175,4418,3551,42091,3282
42091206400,"Census Tract 2064, Montgomery County, Pennsylvania",3559,2930,3559,3270,2733,3559,42091,2981
42091206501,"Census Tract 2065.01, Montgomery County, Pennsylvania",4379,3715,4379,4183,3556,4379,42091,4223
42091206502,"Census Tract 2065.02, Montgomery County, Pennsylvania",4858,4474,4858,4684,4300,4772,42091,4030
42091206600,"Census Tract 2066, Montgomery County, Pennsylvania",1381,1307,1381,1279,1208,1298,42091,910
42091206702,"Census Tract 2067.02, Montgomery County, Pennsylvania",3353,1178,3353,2902,908,26,42091,26
42091206703,"Census Tract 2067.03, Montgomery County, Pennsylvania",4034,3679,4034,3923,3568,4034,42091,3771
42091206704,"Census Tract 2067.04, Montgomery County, Pennsylvania",7339,6931,7339,7201,6804,7323,42091,6475
42091206801,"Census Tract 2068.01, Montgomery County, Pennsylvania",7275,5887,7275,6965,5627,7151,42091,6811
42091206802,"Census Tract 2068.02, Montgomery County, Pennsylvania",3011,2719,3011,2993,2719,3011,42091,2635
42091206901,"Census Tract 2069.01, Montgomery County, Pennsylvania",4750,3672,4750,4399,3432,4750,42091,3578
42091206904,"Census Tract 2069.04, Montgomery County, Pennsylvania",5518,4545,5518,5235,4366,5355,42091,4189
42091206905,"Census Tract 2069.05, Montgomery County, Pennsylvania",5042,4108,5042,4992,4058,5042,42091,4476
42091206906,"Census Tract 2069.06, Montgomery County, Pennsylvania",2882,2591,2882,2821,2570,2882,42091,2660
42091207001,"Census Tract 2070.01, Montgomery County, Pennsylvania",8058,7182,8058,7728,6928,8008,42091,7643
42091207003,"Census Tract 2070.03, Montgomery County, Pennsylvania",3012,2694,3012,3012,2694,2982,42091,2791
42091207004,"Census Tract 2070.04, Montgomery County, Pennsylvania",4254,3576,4254,4070,3506,4254,42091,3499
42091207101,"Census Tract 2071.01, Montgomery County, Pennsylvania",6136,5617,6136,6109,5604,6041,42091,5127
42091207103,"Census Tract 2071.03, Montgomery County, Pennsylvania",4229,3817,4229,3973,3561,4221,42091,3533
42091207104,"Census Tract 2071.04, Montgomery County, Pennsylvania",2871,2726,2871,2868,2723,2752,42091,2412
42091207201,"Census Tract 2072.01, Montgomery County, Pennsylvania",2344,2227,2344,2195,2097,2338,42091,1966
42091207202,"Census Tract 2072.02, Montgomery County, Pennsylvania",4393,3751,4393,3955,3405,4369,42091,3292
42091207300,"Census Tract 2073, Montgomery County, Pennsylvania",2682,2136,2682,2311,1816,2666,42091,1944
42091207400,"Census Tract 2074, Montgomery County, Pennsylvania",2863,2766,2863,2836,2743,2863,42091,2602
42091207500,"Census Tract 2075, Montgomery County, Pennsylvania",3362,3319,3362,3348,3305,3325,42091,2910
42091207600,"Census Tract 2076, Montgomery County, Pennsylvania",3711,3691,3711,3659,3654,3711,42091,3122
