GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US34001,34001,"Atlantic County, New Jersey",34379
0500000US34003,34003,"Bergen County, New Jersey",51078
0500000US34005,34005,"Burlington County, New Jersey",47958
0500000US34007,34007,"Camden County, New Jersey",27962
0500000US34009,34009,"Cape May County, New Jersey",21458
0500000US34011,34011,"Cumberland County, New Jersey",28783
0500000US34013,34013,"Essex County, New Jersey",30813
0500000US34015,34015,"Gloucester County, New Jersey",37250
0500000US34017,34017,"Hudson County, New Jersey",34676
0500000US34019,34019,"Hunterdon County, New Jersey",49922
0500000US34021,34021,"Mercer County, New Jersey",39122
0500000US34023,34023,"Middlesex County, New Jersey",45031
0500000US34025,34025,"Monmouth County, New Jersey",35584
0500000US34027,34027,"Morris County, New Jersey",56816
0500000US34029,34029,"Ocean County, New Jersey",42621
0500000US34031,34031,"Passaic County, New Jersey",36537
0500000US34033,34033,"Salem County, New Jersey",19861
0500000US34035,34035,"Somerset County, New Jersey",49206
0500000US34037,34037,"Sussex County, New Jersey",54375
0500000US34039,34039,"Union County, New Jersey",42508
0500000US34041,34041,"Warren County, New Jersey",51250
0500000US42001,42001,"Adams County, Pennsylvania",32813
0500000US42003,42003,"Allegheny County, Pennsylvania",30000
0500000US42005,42005,"Armstrong County, Pennsylvania",85199
0500000US42007,42007,"Beaver County, Pennsylvania",45313
0500000US42009,42009,"Bedford County, Pennsylvania",35000
0500000US42011,42011,"Berks County, Pennsylvania",24061
0500000US42013,42013,"Blair County, Pennsylvania",26875
0500000US42015,42015,"Bradford County, Pennsylvania",51250
0500000US42017,42017,"Bucks County, Pennsylvania",42541
0500000US42019,42019,"Butler County, Pennsylvania",22212
0500000US42021,42021,"Cambria County, Pennsylvania",22159
0500000US42023,42023,"Cameron County, Pennsylvania",0
0500000US42025,42025,"Carbon County, Pennsylvania",47083
0500000US42027,42027,"Centre County, Pennsylvania",16875
0500000US42029,42029,"Chester County, Pennsylvania",41154
0500000US42031,42031,"Clarion County, Pennsylvania",33125
0500000US42033,42033,"Clearfield County, Pennsylvania",6964
0500000US42035,42035,"Clinton County, Pennsylvania",44375
0500000US42037,42037,"Columbia County, Pennsylvania",23333
0500000US42039,42039,"Crawford County, Pennsylvania",20625
0500000US42041,42041,"Cumberland County, Pennsylvania",26469
0500000US42043,42043,"Dauphin County, Pennsylvania",24906
0500000US42045,42045,"Delaware County, Pennsylvania",29632
0500000US42047,42047,"Elk County, Pennsylvania",0
0500000US42049,42049,"Erie County, Pennsylvania",21213
0500000US42051,42051,"Fayette County, Pennsylvania",11042
0500000US42053,42053,"Forest County, Pennsylvania",0
0500000US42055,42055,"Franklin County, Pennsylvania",32143
0500000US42057,42057,"Fulton County, Pennsylvania",28750
0500000US42059,42059,"Greene County, Pennsylvania",74688
0500000US42061,42061,"Huntingdon County, Pennsylvania",37083
0500000US42063,42063,"Indiana County, Pennsylvania",23750
0500000US42065,42065,"Jefferson County, Pennsylvania",51250
0500000US42067,42067,"Juniata County, Pennsylvania",16250
0500000US42069,42069,"Lackawanna County, Pennsylvania",24706
0500000US42071,42071,"Lancaster County, Pennsylvania",25894
0500000US42073,42073,"Lawrence County, Pennsylvania",14732
0500000US42075,42075,"Lebanon County, Pennsylvania",21008
0500000US42077,42077,"Lehigh County, Pennsylvania",26628
0500000US42079,42079,"Luzerne County, Pennsylvania",24306
0500000US42081,42081,"Lycoming County, Pennsylvania",38194
0500000US42083,42083,"McKean County, Pennsylvania",35417
0500000US42085,42085,"Mercer County, Pennsylvania",32679
0500000US42087,42087,"Mifflin County, Pennsylvania",26250
0500000US42089,42089,"Monroe County, Pennsylvania",55143
0500000US42091,42091,"Montgomery County, Pennsylvania",45053
0500000US42093,42093,"Montour County, Pennsylvania",43750
0500000US42095,42095,"Northampton County, Pennsylvania",25090
0500000US42097,42097,"Northumberland County, Pennsylvania",11875
0500000US42099,42099,"Perry County, Pennsylvania",37083
0500000US42101,42101,"Philadelphia County, Pennsylvania",19975
0500000US42103,42103,"Pike County, Pennsylvania",51250
0500000US42105,42105,"Potter County, Pennsylvania",0
0500000US42107,42107,"Schuylkill County, Pennsylvania",24803
0500000US42109,42109,"Snyder County, Pennsylvania",30139
0500000US42111,42111,"Somerset County, Pennsylvania",22969
0500000US42113,42113,"Sullivan County, Pennsylvania",0
0500000US42115,42115,"Susquehanna County, Pennsylvania",33750
0500000US42117,42117,"Tioga County, Pennsylvania",71250
0500000US42119,42119,"Union County, Pennsylvania",4000
0500000US42121,42121,"Venango County, Pennsylvania",21979
0500000US42123,42123,"Warren County, Pennsylvania","2,500-"
0500000US42125,42125,"Washington County, Pennsylvania",24737
0500000US42127,42127,"Wayne County, Pennsylvania",32188
0500000US42129,42129,"Westmoreland County, Pennsylvania",33333
0500000US42131,42131,"Wyoming County, Pennsylvania",23750
0500000US42133,42133,"York County, Pennsylvania",27944
