"Date","AQI Category","Ozone AQI Value"
"01/01/1986","Good","31"
"01/02/1986","Good","25"
"01/03/1986","Good","28"
"01/04/1986","Good","23"
"01/05/1986","Good","20"
"01/06/1986","Good","28"
"01/07/1986","Good","28"
"01/08/1986","Good","25"
"01/09/1986","Good","27"
"01/10/1986","Good","26"
"01/11/1986","Good","27"
"01/12/1986","Good","33"
"01/13/1986","Good","28"
"01/14/1986","Good","28"
"01/15/1986","Good","28"
"01/16/1986","Good","25"
"01/17/1986","Good","27"
"01/18/1986","Good","36"
"01/19/1986","Good","31"
"01/20/1986","Good","23"
"01/21/1986","Good","33"
"01/22/1986","Good","31"
"01/23/1986","Good","25"
"01/24/1986","Good","27"
"01/25/1986","Good","38"
"01/26/1986","Good","23"
"01/27/1986","Good","25"
"01/28/1986","Good","32"
"01/29/1986","Good","16"
"01/30/1986","Good","30"
"01/31/1986","Good","27"
"02/01/1986","Good","42"
"02/02/1986","Good","41"
"02/03/1986","Good","28"
"02/04/1986","Good","30"
"02/05/1986","Good","6"
"02/06/1986","Good","34"
"02/07/1986","Good","36"
"02/08/1986","Good","20"
"02/09/1986","Good","24"
"02/10/1986","Good","23"
"02/11/1986","Good","34"
"02/12/1986","Good","41"
"02/13/1986","Good","44"
"02/14/1986","Good","40"
"02/15/1986","Good","44"
"02/16/1986","Good","36"
"02/17/1986","Good","33"
"02/18/1986","Good","3"
"02/19/1986","Good","30"
"02/20/1986","Good","31"
"02/21/1986","Good","28"
"02/22/1986","Good","27"
"02/23/1986","Good","37"
"02/24/1986","Good","35"
"02/25/1986","Good","39"
"02/26/1986","Good","34"
"02/27/1986","Good","29"
"02/28/1986","Good","35"
"03/01/1986","Good","39"
"03/02/1986","Good","49"
"03/03/1986","Good","41"
"03/04/1986","Good","36"
"03/05/1986","Good","37"
"03/06/1986","Good","36"
"03/07/1986","Good","39"
"03/08/1986","Good","38"
"03/09/1986","Good","42"
"03/10/1986","Moderate","71"
"03/11/1986","Good","40"
"03/12/1986","Good","40"
"03/13/1986","Good","36"
"03/14/1986","Good","28"
"03/15/1986","Good","44"
"03/16/1986","Good","48"
"03/17/1986","Good","31"
"03/18/1986","Good","44"
"03/19/1986","Good","44"
"03/20/1986","Good","37"
"03/21/1986","Good","33"
"03/22/1986","Good","39"
"03/23/1986","Good","50"
"03/24/1986","Good","37"
"03/25/1986","Good","49"
"03/26/1986","Moderate","64"
"03/27/1986","Good","39"
"03/28/1986","Good","43"
"03/29/1986","Moderate","80"
"03/30/1986","Unhealthy for Sensitive Groups","112"
"03/31/1986","Moderate","51"
"04/01/1986","Moderate","100"
"04/02/1986","Moderate","61"
"04/03/1986","Good","46"
"04/04/1986","Good","40"
"04/05/1986","Good","41"
"04/06/1986","Good","41"
"04/07/1986","Good","43"
"04/08/1986","Good","49"
"04/09/1986","Good","37"
"04/10/1986","Good","29"
"04/11/1986","Good","25"
"04/12/1986","Good","37"
"04/13/1986","Good","23"
"04/14/1986","Good","49"
"04/15/1986","Moderate","74"
"04/16/1986","Moderate","80"
"04/17/1986","Good","48"
"04/18/1986","Moderate","67"
"04/19/1986","Moderate","100"
"04/20/1986","Unhealthy for Sensitive Groups","105"
"04/21/1986","Moderate","74"
"04/22/1986","Good","25"
"04/23/1986","Good","37"
"04/24/1986","Moderate","97"
"04/25/1986","Unhealthy for Sensitive Groups","108"
"04/26/1986","Moderate","61"
"04/27/1986","Moderate","87"
"04/28/1986","Very Unhealthy","216"
"04/29/1986","Moderate","64"
"04/30/1986","Unhealthy for Sensitive Groups","101"
"05/01/1986","Unhealthy","164"
"05/02/1986","Good","40"
"05/03/1986","Good","47"
"05/04/1986","Moderate","61"
"05/05/1986","Unhealthy","174"
"05/06/1986","Very Unhealthy","202"
"05/07/1986","Unhealthy for Sensitive Groups","133"
"05/08/1986","Moderate","54"
"05/09/1986","Moderate","80"
"05/10/1986","Unhealthy for Sensitive Groups","101"
"05/11/1986","Unhealthy for Sensitive Groups","119"
"05/12/1986","Unhealthy for Sensitive Groups","129"
"05/13/1986","Moderate","93"
"05/14/1986","Moderate","77"
"05/15/1986","Good","44"
"05/16/1986","Moderate","100"
"05/17/1986","Unhealthy","195"
"05/18/1986","Unhealthy","177"
"05/19/1986","Moderate","77"
"05/20/1986","Good","31"
"05/21/1986","Moderate","64"
"05/22/1986","Unhealthy for Sensitive Groups","101"
"05/23/1986","Moderate","74"
"05/24/1986","Moderate","93"
"05/25/1986","Moderate","54"
"05/26/1986","Unhealthy","154"
"05/27/1986","Moderate","74"
"05/28/1986","Unhealthy for Sensitive Groups","122"
"05/29/1986","Unhealthy for Sensitive Groups","143"
"05/30/1986","Very Unhealthy","203"
"05/31/1986","Very Unhealthy","242"
"06/01/1986","Very Unhealthy","210"
"06/02/1986","Moderate","67"
"06/03/1986","Moderate","100"
"06/04/1986","Unhealthy for Sensitive Groups","147"
"06/05/1986","Unhealthy","154"
"06/06/1986","Moderate","100"
"06/07/1986","Good","37"
"06/08/1986","Unhealthy for Sensitive Groups","136"
"06/09/1986","Moderate","61"
"06/10/1986","Unhealthy","179"
"06/11/1986","Very Unhealthy","209"
"06/12/1986","Moderate","67"
"06/13/1986","Unhealthy for Sensitive Groups","133"
"06/14/1986","Very Unhealthy","202"
"06/15/1986","Very Unhealthy","205"
"06/16/1986","Unhealthy","172"
"06/17/1986","Moderate","71"
"06/18/1986","Moderate","77"
"06/19/1986","Unhealthy for Sensitive Groups","133"
"06/20/1986","Unhealthy for Sensitive Groups","126"
"06/21/1986","Unhealthy","154"
"06/22/1986","Unhealthy","195"
"06/23/1986","Very Unhealthy","203"
