"Date","AQI Category","PM2.5 AQI Value"
"01/01/2003","Moderate","88"
"01/02/2003","Good","26"
"01/03/2003","Moderate","66"
"01/04/2003","Good","34"
"01/05/2003","Moderate","56"
"01/06/2003","Moderate","97"
"01/07/2003","Good","44"
"01/08/2003","Moderate","58"
"01/09/2003","Moderate","60"
"01/10/2003","Good","33"
"01/11/2003","Good","39"
"01/12/2003","Moderate","51"
"01/13/2003","Moderate","60"
"01/14/2003","Good","36"
"01/15/2003","Moderate","78"
"01/16/2003","Moderate","66"
"01/17/2003","Moderate","72"
"01/18/2003","Moderate","67"
"01/19/2003","Moderate","68"
"01/20/2003","Good","45"
"01/21/2003","Moderate","55"
"01/22/2003","Good","44"
"01/23/2003","Good","49"
"01/24/2003","Good","35"
"01/25/2003","Moderate","69"
"01/26/2003","Moderate","97"
"01/27/2003","Good","39"
"01/28/2003","Moderate","74"
"01/29/2003","Unhealthy for Sensitive Groups","124"
"01/30/2003","Unhealthy for Sensitive Groups","110"
"01/31/2003","Moderate","99"
"02/01/2003","Moderate","65"
"02/02/2003","Moderate","63"
"02/03/2003","Moderate","70"
"02/04/2003","Moderate","60"
"02/05/2003","Good","46"
"02/06/2003","Moderate","69"
"02/07/2003","Moderate","78"
"02/08/2003","Moderate","66"
"02/09/2003","Moderate","75"
"02/10/2003","Moderate","72"
"02/11/2003","Moderate","54"
"02/12/2003","Moderate","52"
"02/13/2003","Good","46"
"02/14/2003","Moderate","92"
"02/15/2003","Moderate","58"
"02/16/2003","Good","38"
"02/17/2003","Moderate","52"
"02/18/2003","Moderate","70"
"02/19/2003","Unhealthy for Sensitive Groups","107"
"02/20/2003","Unhealthy for Sensitive Groups","116"
"02/21/2003","Unhealthy for Sensitive Groups","132"
"02/22/2003","Moderate","53"
"02/23/2003","Good","42"
"02/24/2003","Moderate","65"
"02/25/2003","Moderate","63"
"02/26/2003","Moderate","74"
"02/27/2003","Moderate","65"
"02/28/2003","Moderate","72"
"03/01/2003","Unhealthy for Sensitive Groups","106"
"03/02/2003","Moderate","56"
"03/03/2003","Moderate","62"
"03/04/2003","Moderate","78"
"03/05/2003","Moderate","77"
"03/06/2003","Moderate","62"
"03/07/2003","Moderate","70"
"03/08/2003","Moderate","78"
"03/09/2003","Moderate","56"
"03/10/2003","Moderate","58"
"03/11/2003","Unhealthy for Sensitive Groups","101"
"03/12/2003","Unhealthy for Sensitive Groups","102"
"03/13/2003","Unhealthy for Sensitive Groups","115"
"03/14/2003","Good","41"
"03/15/2003","Good","38"
"03/16/2003","Moderate","76"
"03/17/2003","Moderate","52"
"03/18/2003","Moderate","80"
"03/19/2003","Moderate","75"
"03/20/2003","Good","30"
"03/21/2003","Moderate","60"
"03/22/2003","Moderate","70"
"03/23/2003","Moderate","53"
"03/24/2003","Moderate","63"
"03/25/2003","Moderate","79"
"03/26/2003","Moderate","58"
"03/27/2003","Moderate","53"
"03/28/2003","Moderate","70"
"03/29/2003","Good","29"
"03/30/2003","Good","24"
"03/31/2003","Good","29"
"04/01/2003","Moderate","56"
"04/02/2003","Moderate","66"
"04/03/2003","Unhealthy for Sensitive Groups","102"
"04/04/2003","Good","49"
"04/05/2003","Moderate","54"
"04/06/2003","Good","35"
"04/07/2003","Good","25"
"04/08/2003","Moderate","56"
"04/09/2003","Moderate","66"
"04/10/2003","Moderate","53"
"04/11/2003","Good","36"
"04/12/2003","Good","28"
"04/13/2003","Good","28"
"04/14/2003","Good","46"
"04/15/2003","Moderate","67"
"04/16/2003","Moderate","74"
"04/17/2003","Good","38"
"04/18/2003","Moderate","67"
"04/19/2003","Good","45"
"04/20/2003","Good","21"
"04/21/2003","Good","48"
"04/22/2003","Moderate","56"
"04/23/2003","Good","28"
"04/24/2003","Good","35"
