"Date","AQI Category","PM2.5 AQI Value"
"01/01/2001","Moderate","53"
"01/02/2001","Moderate","53"
"01/03/2001","Moderate","74"
"01/04/2001","Moderate","82"
"01/05/2001","Moderate","95"
"01/06/2001","Moderate","79"
"01/07/2001","Moderate","95"
"01/08/2001","Unhealthy for Sensitive Groups","117"
"01/09/2001","Moderate","59"
"01/10/2001","Moderate","75"
"01/11/2001","Moderate","74"
"01/12/2001","Unhealthy for Sensitive Groups","103"
"01/13/2001","Unhealthy for Sensitive Groups","118"
"01/14/2001","Unhealthy for Sensitive Groups","126"
"01/15/2001","Moderate","95"
"01/16/2001","Moderate","89"
"01/17/2001","Moderate","87"
"01/18/2001","Moderate","100"
"01/19/2001","Moderate","69"
"01/20/2001","Good","49"
"01/21/2001","Moderate","55"
"01/22/2001","Unhealthy for Sensitive Groups","107"
"01/23/2001","Unhealthy","153"
"01/24/2001","Unhealthy","153"
"01/25/2001","Moderate","87"
"01/26/2001","Moderate","63"
"01/27/2001","Moderate","73"
"01/28/2001","Moderate","68"
"01/29/2001","Moderate","87"
"01/30/2001","Moderate","75"
"01/31/2001","Moderate","81"
"02/01/2001","Moderate","68"
"02/02/2001","Moderate","73"
"02/03/2001","Moderate","63"
"02/04/2001","Moderate","76"
"02/05/2001","Moderate","64"
"02/06/2001","Moderate","77"
"02/07/2001","Moderate","83"
"02/08/2001","Moderate","79"
"02/09/2001","Moderate","89"
"02/10/2001","Good","31"
"02/11/2001","Good","26"
"02/12/2001","Moderate","79"
"02/13/2001","Moderate","80"
"02/14/2001","Unhealthy for Sensitive Groups","101"
"02/15/2001","Moderate","58"
"02/16/2001","Moderate","64"
"02/17/2001","Moderate","52"
"02/18/2001","Moderate","58"
"02/19/2001","Moderate","62"
"02/20/2001","Moderate","73"
"02/21/2001","Moderate","60"
"02/22/2001","Good","50"
"02/23/2001","Moderate","73"
"02/24/2001","Moderate","58"
"02/25/2001","Moderate","56"
"02/26/2001","Moderate","57"
"02/27/2001","Moderate","67"
"02/28/2001","Moderate","51"
"03/01/2001","Moderate","61"
"03/02/2001","Moderate","73"
"03/03/2001","Moderate","91"
"03/04/2001","Moderate","58"
"03/05/2001","Moderate","55"
"03/06/2001","Good","35"
"03/07/2001","Good","40"
"03/08/2001","Moderate","76"
"03/09/2001","Moderate","74"
"03/10/2001","Moderate","55"
"03/11/2001","Moderate","72"
"03/12/2001","Moderate","72"
"03/13/2001","Moderate","82"
"03/14/2001","Moderate","69"
"03/15/2001","Moderate","80"
"03/16/2001","Moderate","83"
"03/17/2001","Very Unhealthy","289"
"03/18/2001","Good","20"
"03/19/2001","Good","35"
"03/20/2001","Moderate","75"
"03/21/2001","Good","29"
"03/22/2001","Good","14"
"03/23/2001","Good","43"
"03/24/2001","Moderate","56"
"03/25/2001","Good","49"
"03/26/2001","Moderate","70"
"03/27/2001","Moderate","60"
"03/28/2001","Moderate","74"
"03/29/2001","Moderate","88"
"03/30/2001","Good","30"
"03/31/2001","Moderate","57"
"04/01/2001","Moderate","61"
"04/02/2001","Moderate","68"
"04/03/2001","Moderate","77"
"04/04/2001","Good","46"
"04/05/2001","Moderate","60"
"04/06/2001","Moderate","83"
"04/07/2001","Moderate","81"
"04/08/2001","Moderate","79"
"04/09/2001","Moderate","80"
"04/10/2001","Moderate","52"
"04/11/2001","Good","46"
"04/12/2001","Moderate","82"
"04/13/2001","Moderate","67"
"04/14/2001","Good","30"
"04/15/2001","Good","47"
"04/16/2001","Moderate","61"
"04/17/2001","Good","32"
"04/18/2001","Good","25"
"04/19/2001","Moderate","71"
"04/20/2001","Moderate","67"
"04/21/2001","Moderate","84"
"04/22/2001","Moderate","82"
"04/23/2001","Moderate","91"
"04/24/2001","Moderate","55"
"04/25/2001","Good","34"
"04/26/2001","Moderate","51"
"04/27/2001","Moderate","62"
"04/28/2001","Good","36"
"04/29/2001","Good","36"
"04/30/2001","Moderate","60"
"05/01/2001","Moderate","74"
"05/02/2001","Moderate","92"
"05/03/2001","Unhealthy for Sensitive Groups","103"
"05/04/2001","Unhealthy for Sensitive Groups","127"
"05/05/2001","Moderate","67"
"05/06/2001","Good","26"
"05/07/2001","Good","36"
"05/08/2001","Moderate","60"
"05/09/2001","Moderate","57"
"05/10/2001","Moderate","73"
"05/11/2001","Moderate","95"
"05/12/2001","Moderate","76"
"05/13/2001","Good","30"
"05/14/2001","Good","35"
