"Date","AQI Category","Ozone AQI Value"
"01/01/1988","Good","21"
"01/02/1988","Good","25"
"01/03/1988","Good","7"
"01/04/1988","Good","28"
"01/05/1988","Good","25"
"01/06/1988","Good","23"
"01/07/1988","Good","21"
"01/08/1988","Good","16"
"01/09/1988","Good","22"
"01/10/1988","Good","26"
"01/11/1988","Good","22"
"01/12/1988","Good","20"
"01/13/1988","Good","29"
"01/14/1988","Good","31"
"01/15/1988","Good","27"
"01/16/1988","Good","24"
"01/17/1988","Good","27"
"01/18/1988","Good","29"
"01/19/1988","Good","14"
"01/20/1988","Good","21"
"01/21/1988","Good","12"
"01/22/1988","Good","18"
"01/23/1988","Good","19"
"01/24/1988","Good","34"
"01/25/1988","Good","20"
"01/26/1988","Good","19"
"01/27/1988","Good","17"
"01/28/1988","Good","23"
"01/29/1988","Good","22"
"01/30/1988","Good","27"
"01/31/1988","Good","39"
"02/01/1988","Good","32"
"02/02/1988","Good","23"
"02/03/1988","Good","26"
"02/04/1988","Good","27"
"02/05/1988","Good","28"
"02/06/1988","Good","28"
"02/07/1988","Good","27"
"02/08/1988","Good","24"
"02/09/1988","Good","22"
"02/10/1988","Good","26"
"02/11/1988","Good","36"
"02/12/1988","Good","35"
"02/13/1988","Good","32"
"02/14/1988","Good","37"
"02/15/1988","Good","37"
"02/16/1988","Good","33"
"02/17/1988","Good","26"
"02/18/1988","Good","24"
"02/19/1988","Good","34"
"02/20/1988","Good","25"
"02/21/1988","Good","37"
"02/22/1988","Good","35"
"02/23/1988","Good","34"
"02/24/1988","Good","30"
"02/25/1988","Good","22"
"02/26/1988","Good","29"
"02/27/1988","Good","31"
"02/28/1988","Good","35"
"02/29/1988","Good","30"
"03/01/1988","Good","34"
"03/02/1988","Good","44"
"03/03/1988","Good","20"
"03/04/1988","Good","30"
"03/05/1988","Good","38"
"03/06/1988","Good","44"
"03/07/1988","Good","37"
"03/08/1988","Good","43"
"03/09/1988","Moderate","71"
"03/10/1988","Good","35"
"03/11/1988","Good","35"
"03/12/1988","Moderate","61"
"03/13/1988","Good","41"
"03/14/1988","Good","27"
"03/15/1988","Good","30"
"03/16/1988","Good","29"
"03/17/1988","Good","36"
"03/18/1988","Good","27"
"03/19/1988","Good","37"
"03/20/1988","Good","43"
"03/21/1988","Good","37"
"03/22/1988","Good","34"
"03/23/1988","Good","44"
"03/24/1988","Unhealthy for Sensitive Groups","129"
"03/25/1988","Moderate","67"
"03/26/1988","Good","42"
"03/27/1988","Good","33"
"03/28/1988","Good","39"
"03/29/1988","Good","49"
"03/30/1988","Moderate","71"
"03/31/1988","Good","46"
"04/01/1988","Moderate","51"
"04/02/1988","Moderate","51"
"04/03/1988","Good","43"
"04/04/1988","Good","39"
"04/05/1988","Moderate","87"
"04/06/1988","Good","42"
"04/07/1988","Good","34"
"04/08/1988","Good","20"
"04/09/1988","Good","36"
"04/10/1988","Good","44"
