"Date","AQI Category","PM2.5 AQI Value"
"01/01/2011","Unhealthy","151"
"01/02/2011","Moderate","55"
"01/03/2011","Moderate","56"
"01/04/2011","Moderate","66"
"01/05/2011","Moderate","67"
"01/06/2011","Moderate","87"
"01/07/2011","Moderate","77"
"01/08/2011","Moderate","98"
"01/09/2011","Moderate","52"
"01/10/2011","Good","50"
"01/11/2011","Moderate","70"
"01/12/2011","Moderate","74"
"01/13/2011","Moderate","60"
"01/14/2011","Moderate","97"
"01/15/2011","Unhealthy for Sensitive Groups","110"
"01/16/2011","Moderate","77"
"01/17/2011","Moderate","53"
"01/18/2011","Moderate","69"
"01/19/2011","Moderate","89"
"01/20/2011","Moderate","54"
"01/21/2011","Moderate","59"
"01/22/2011","Moderate","59"
"01/23/2011","Moderate","84"
"01/24/2011","Moderate","63"
"01/25/2011","Moderate","97"
"01/26/2011","Moderate","86"
"01/27/2011","Moderate","74"
"01/28/2011","Moderate","87"
"01/29/2011","Moderate","81"
"01/30/2011","Moderate","88"
"01/31/2011","Moderate","81"
"02/01/2011","Moderate","70"
"02/02/2011","Moderate","66"
"02/03/2011","Good","45"
"02/04/2011","Moderate","84"
"02/05/2011","Moderate","64"
"02/06/2011","Moderate","60"
"02/07/2011","Moderate","97"
"02/08/2011","Moderate","52"
"02/09/2011","Good","42"
"02/10/2011","Moderate","60"
"02/11/2011","Moderate","98"
"02/12/2011","Moderate","83"
"02/13/2011","Moderate","62"
"02/14/2011","Good","39"
"02/15/2011","Moderate","56"
"02/16/2011","Moderate","64"
"02/17/2011","Moderate","83"
"02/18/2011","Moderate","67"
"02/19/2011","Good","19"
"02/20/2011","Good","35"
"02/21/2011","Good","48"
"02/22/2011","Moderate","52"
"02/23/2011","Moderate","73"
"02/24/2011","Moderate","88"
"02/25/2011","Good","48"
"02/26/2011","Good","48"
"02/27/2011","Moderate","61"
"02/28/2011","Moderate","61"
"03/01/2011","Good","43"
"03/02/2011","Good","48"
"03/03/2011","Good","33"
"03/04/2011","Moderate","77"
"03/05/2011","Good","47"
"03/06/2011","Good","20"
"03/07/2011","Good","31"
"03/08/2011","Good","43"
"03/09/2011","Good","35"
"03/10/2011","Good","37"
"03/11/2011","Good","28"
"03/12/2011","Good","47"
"03/13/2011","Moderate","52"
"03/14/2011","Good","44"
"03/15/2011","Moderate","57"
"03/16/2011","Moderate","60"
"03/17/2011","Moderate","60"
"03/18/2011","Moderate","71"
"03/19/2011","Good","40"
"03/20/2011","Good","29"
"03/21/2011","Moderate","57"
"03/22/2011","Moderate","56"
"03/23/2011","Good","30"
"03/24/2011","Good","35"
"03/25/2011","Good","38"
"03/26/2011","Good","39"
"03/27/2011","Good","24"
"03/28/2011","Good","38"
"03/29/2011","Moderate","54"
"03/30/2011","Moderate","57"
"03/31/2011","Good","45"
"04/01/2011","Good","40"
"04/02/2011","Moderate","70"
"04/03/2011","Moderate","60"
"04/04/2011","Moderate","51"
"04/05/2011","Good","32"
"04/06/2011","Good","44"
"04/07/2011","Moderate","76"
"04/08/2011","Moderate","70"
"04/09/2011","Moderate","53"
"04/10/2011","Moderate","53"
"04/11/2011","Moderate","60"
"04/12/2011","Moderate","55"
"04/13/2011","Moderate","60"
"04/14/2011","Good","33"
"04/15/2011","Good","46"
"04/16/2011","Good","33"
"04/17/2011","Good","30"
"04/18/2011","Good","47"
"04/19/2011","Moderate","74"
"04/20/2011","Moderate","64"
"04/21/2011","Good","32"
"04/22/2011","Good","26"
"04/23/2011","Moderate","55"
"04/24/2011","Moderate","62"
"04/25/2011","Moderate","58"
"04/26/2011","Moderate","51"
"04/27/2011","Good","43"
"04/28/2011","Good","47"
"04/29/2011","Moderate","79"
"04/30/2011","Moderate","70"
"05/01/2011","Moderate","53"
"05/02/2011","Good","46"
"05/03/2011","Moderate","62"
"05/04/2011","Good","22"
"05/05/2011","Good","31"
"05/06/2011","Moderate","52"
"05/07/2011","Good","49"
"05/08/2011","Moderate","52"
"05/09/2011","Good","35"
"05/10/2011","Good","27"
"05/11/2011","Good","32"
"05/12/2011","Good","42"
"05/13/2011","Moderate","53"
"05/14/2011","Good","35"
"05/15/2011","Moderate","67"
"05/16/2011","Moderate","85"
"05/17/2011","Moderate","57"
"05/18/2011","Good","45"
"05/19/2011","Moderate","65"
"05/20/2011","Moderate","58"
"05/21/2011","Good","40"
"05/22/2011","Moderate","88"
"05/23/2011","Moderate","68"
"05/24/2011","Moderate","68"
"05/25/2011","Moderate","88"
"05/26/2011","Moderate","99"
"05/27/2011","Moderate","63"
"05/28/2011","Good","49"
"05/29/2011","Moderate","57"
"05/30/2011","Moderate","76"
"05/31/2011","Moderate","88"
"06/01/2011","Unhealthy for Sensitive Groups","118"
"06/02/2011","Good","40"
"06/03/2011","Good","36"
"06/04/2011","Moderate","64"
"06/05/2011","Moderate","55"
"06/06/2011","Moderate","66"
"06/07/2011","Moderate","91"
"06/08/2011","Unhealthy for Sensitive Groups","145"
"06/09/2011","Unhealthy for Sensitive Groups","126"
"06/10/2011","Moderate","99"
"06/11/2011","Moderate","92"
"06/12/2011","Moderate","77"
"06/13/2011","Good","40"
"06/14/2011","Good","45"
"06/15/2011","Good","49"
"06/16/2011","Moderate","54"
"06/17/2011","Moderate","57"
"06/18/2011","Moderate","70"
"06/19/2011","Moderate","63"
"06/20/2011","Moderate","61"
"06/21/2011","Moderate","70"
"06/22/2011","Moderate","68"
"06/23/2011","Moderate","71"
"06/24/2011","Moderate","71"
"06/25/2011","Moderate","56"
"06/26/2011","Moderate","81"
"06/27/2011","Moderate","71"
"06/28/2011","Moderate","75"
"06/29/2011","Good","49"
"06/30/2011","Good","45"
"07/01/2011","Moderate","52"
"07/02/2011","Moderate","57"
"07/03/2011","Moderate","89"
"07/04/2011","Moderate","75"
"07/05/2011","Moderate","76"
"07/06/2011","Moderate","84"
"07/07/2011","Moderate","72"
"07/08/2011","Moderate","71"
"07/09/2011","Moderate","64"
"07/10/2011","Moderate","57"
"07/11/2011","Moderate","74"
"07/12/2011","Moderate","62"
"07/13/2011","Moderate","61"
"07/14/2011","Good","40"
"07/15/2011","Good","41"
"07/16/2011","Good","45"
"07/17/2011","Good","45"
"07/18/2011","Moderate","71"
"07/19/2011","Moderate","79"
"07/20/2011","Moderate","99"
"07/21/2011","Moderate","98"
"07/22/2011","Unhealthy for Sensitive Groups","101"
"07/23/2011","Moderate","73"
"07/24/2011","Moderate","71"
"07/25/2011","Moderate","66"
"07/26/2011","Moderate","57"
"07/27/2011","Moderate","57"
