"Date","AQI Category","PM2.5 AQI Value"
"01/01/2004","Moderate","59"
"01/02/2004","Moderate","77"
"01/03/2004","Moderate","89"
"01/04/2004","Moderate","74"
"01/05/2004","Good","40"
"01/06/2004","Good","26"
"01/07/2004","Good","38"
"01/08/2004","Moderate","56"
"01/09/2004","Moderate","52"
"01/10/2004","Good","33"
"01/11/2004","Moderate","55"
"01/12/2004","Moderate","82"
"01/13/2004","Moderate","52"
"01/14/2004","Good","25"
"01/15/2004","Moderate","52"
"01/16/2004","Good","29"
"01/17/2004","Moderate","51"
"01/18/2004","Moderate","65"
"01/19/2004","Good","29"
"01/20/2004","Good","27"
"01/21/2004","Good","49"
"01/22/2004","Moderate","64"
"01/23/2004","Moderate","53"
"01/24/2004","Moderate","68"
"01/25/2004","Good","40"
"01/26/2004","Moderate","61"
"01/27/2004","Moderate","64"
"01/28/2004","Moderate","72"
"01/29/2004","Moderate","67"
"01/30/2004","Moderate","55"
"01/31/2004","Moderate","61"
"02/01/2004","Moderate","67"
"02/02/2004","Moderate","76"
"02/03/2004","Moderate","67"
"02/04/2004","Moderate","74"
"02/05/2004","Moderate","63"
"02/06/2004","Moderate","63"
"02/07/2004","Good","45"
"02/08/2004","Good","25"
"02/09/2004","Moderate","61"
"02/10/2004","Moderate","68"
"02/11/2004","Moderate","68"
"02/12/2004","Moderate","90"
"02/13/2004","Moderate","80"
"02/14/2004","Moderate","58"
"02/15/2004","Moderate","59"
"02/16/2004","Good","37"
"02/17/2004","Moderate","60"
"02/18/2004","Moderate","68"
"02/19/2004","Moderate","89"
"02/20/2004","Moderate","98"
"02/21/2004","Moderate","72"
"02/22/2004","Good","34"
"02/23/2004","Good","47"
"02/24/2004","Moderate","75"
"02/25/2004","Good","28"
"02/26/2004","Good","37"
"02/27/2004","Good","44"
"02/28/2004","Good","45"
"02/29/2004","Moderate","66"
"03/01/2004","Moderate","82"
"03/02/2004","Moderate","60"
"03/03/2004","Moderate","58"
"03/04/2004","Moderate","92"
"03/05/2004","Moderate","94"
"03/06/2004","Moderate","54"
"03/07/2004","Good","45"
"03/08/2004","Good","35"
