"Date","AQI Category","PM2.5 AQI Value"
"01/01/2002","Moderate","72"
"01/02/2002","Moderate","69"
"01/03/2002","Moderate","61"
"01/04/2002","Moderate","56"
"01/05/2002","Moderate","77"
"01/06/2002","Moderate","91"
"01/07/2002","Moderate","60"
"01/08/2002","Moderate","57"
"01/09/2002","Moderate","63"
"01/10/2002","Moderate","74"
"01/11/2002","Moderate","67"
"01/12/2002","Moderate","54"
"01/13/2002","Good","42"
"01/14/2002","Moderate","56"
"01/15/2002","Moderate","59"
"01/16/2002","Moderate","57"
"01/17/2002","Moderate","68"
"01/18/2002","Moderate","61"
"01/19/2002","Moderate","70"
"01/20/2002","Moderate","78"
"01/21/2002","Unhealthy for Sensitive Groups","105"
"01/22/2002","Moderate","66"
"01/23/2002","Moderate","60"
"01/24/2002","Moderate","67"
"01/25/2002","Good","48"
"01/26/2002","Moderate","59"
"01/27/2002","Moderate","73"
"01/28/2002","Moderate","89"
"01/29/2002","Moderate","84"
"01/30/2002","Moderate","57"
"01/31/2002","Good","43"
"02/01/2002","Moderate","51"
"02/02/2002","Good","44"
"02/03/2002","Moderate","59"
"02/04/2002","Moderate","65"
"02/05/2002","Good","37"
"02/06/2002","Moderate","68"
"02/07/2002","Moderate","85"
"02/08/2002","Moderate","84"
"02/09/2002","Moderate","65"
"02/10/2002","Good","38"
"02/11/2002","Good","26"
"02/12/2002","Good","42"
"02/13/2002","Good","40"
"02/14/2002","Good","45"
"02/15/2002","Moderate","54"
"02/16/2002","Moderate","64"
"02/17/2002","Good","35"
"02/18/2002","Moderate","67"
"02/19/2002","Moderate","72"
"02/20/2002","Moderate","66"
"02/21/2002","Good","48"
"02/22/2002","Moderate","54"
"02/23/2002","Moderate","53"
"02/24/2002","Moderate","53"
"02/25/2002","Moderate","65"
"02/26/2002","Moderate","62"
"02/27/2002","Good","41"
"02/28/2002","Good","48"
"03/01/2002","Moderate","63"
"03/02/2002","Moderate","62"
"03/03/2002","Good","39"
"03/04/2002","Good","47"
"03/05/2002","Moderate","53"
"03/06/2002","Moderate","62"
"03/07/2002","Moderate","68"
"03/08/2002","Moderate","77"
"03/09/2002","Moderate","72"
"03/10/2002","Good","23"
"03/11/2002","Moderate","52"
"03/12/2002","Moderate","73"
"03/13/2002","Moderate","61"
"03/14/2002","Moderate","84"
"03/15/2002","Moderate","97"
"03/16/2002","Moderate","61"
"03/17/2002","Good","45"
"03/18/2002","Moderate","51"
"03/19/2002","Moderate","58"
"03/20/2002","Good","29"
"03/21/2002","Moderate","59"
"03/22/2002","Good","26"
"03/23/2002","Good","43"
"03/24/2002","Moderate","55"
"03/25/2002","Moderate","56"
"03/26/2002","Good","31"
"03/27/2002","Good","49"
"03/28/2002","Good","49"
"03/29/2002","Moderate","61"
"03/30/2002","Moderate","54"
"03/31/2002","Moderate","52"
"04/01/2002","Good","42"
"04/02/2002","Moderate","74"
"04/03/2002","Good","42"
"04/04/2002","Good","40"
"04/05/2002","Good","45"
"04/06/2002","Moderate","52"
"04/07/2002","Good","40"
"04/08/2002","Moderate","66"
"04/09/2002","Good","44"
"04/10/2002","Good","49"
"04/11/2002","Moderate","53"
"04/12/2002","Moderate","56"
"04/13/2002","Good","32"
"04/14/2002","Moderate","52"
"04/15/2002","Good","45"
"04/16/2002","Moderate","71"
"04/17/2002","Moderate","91"
"04/18/2002","Moderate","70"
"04/19/2002","Moderate","68"
"04/20/2002","Moderate","65"
"04/21/2002","Good","29"
"04/22/2002","Good","40"
"04/23/2002","Moderate","52"
"04/24/2002","Good","41"
"04/25/2002","Good","40"
"04/26/2002","Moderate","58"
"04/27/2002","Good","49"
"04/28/2002","Good","49"
"04/29/2002","Good","32"
"04/30/2002","Moderate","52"
"05/01/2002","Moderate","53"
"05/02/2002","Moderate","74"
"05/03/2002","Good","38"
"05/04/2002","Good","35"
"05/05/2002","Good","47"
"05/06/2002","Moderate","56"
"05/07/2002","Good","49"
"05/08/2002","Moderate","52"
"05/09/2002","Moderate","53"
"05/10/2002","Good","47"
"05/11/2002","Good","42"
"05/12/2002","Moderate","55"
"05/13/2002","Moderate","59"
"05/14/2002","Good","43"
"05/15/2002","Good","41"
"05/16/2002","Moderate","60"
"05/17/2002","Moderate","65"
"05/18/2002","Good","16"
"05/19/2002","Good","35"
"05/20/2002","Good","46"
"05/21/2002","Good","39"
"05/22/2002","Good","40"
"05/23/2002","Moderate","56"
"05/24/2002","Moderate","74"
"05/25/2002","Good","46"
"05/26/2002","Moderate","79"
"05/27/2002","Moderate","89"
"05/28/2002","Moderate","58"
"05/29/2002","Moderate","71"
"05/30/2002","Moderate","54"
"05/31/2002","Moderate","57"
"06/01/2002","Moderate","70"
"06/02/2002","Moderate","61"
"06/03/2002","Good","35"
"06/04/2002","Moderate","52"
"06/05/2002","Moderate","68"
"06/06/2002","Moderate","54"
"06/07/2002","Good","48"
"06/08/2002","Good","40"
"06/09/2002","Unhealthy","152"
"06/10/2002","Moderate","82"
"06/11/2002","Unhealthy for Sensitive Groups","107"
"06/12/2002","Moderate","96"
"06/13/2002","Moderate","76"
"06/14/2002","Good","20"
"06/15/2002","Good","45"
"06/16/2002","Moderate","60"
"06/17/2002","Moderate","56"
"06/18/2002","Moderate","56"
"06/19/2002","Moderate","68"
"06/20/2002","Moderate","61"
"06/21/2002","Moderate","53"
"06/22/2002","Moderate","69"
"06/23/2002","Moderate","66"
"06/24/2002","Moderate","100"
"06/25/2002","Unhealthy for Sensitive Groups","121"
"06/26/2002","Unhealthy for Sensitive Groups","109"
"06/27/2002","Moderate","69"
"06/28/2002","Moderate","66"
"06/29/2002","Moderate","52"
"06/30/2002","Moderate","72"
"07/01/2002","Moderate","83"
"07/02/2002","Unhealthy","152"
"07/03/2002","Unhealthy for Sensitive Groups","127"
"07/04/2002","Unhealthy for Sensitive Groups","114"
"07/05/2002","Moderate","62"
"07/06/2002","Unhealthy for Sensitive Groups","105"
"07/07/2002","Unhealthy","185"
"07/08/2002","Unhealthy","183"
"07/09/2002","Unhealthy for Sensitive Groups","138"
"07/10/2002","Moderate","79"
"07/11/2002","Good","15"
"07/12/2002","Good","38"
"07/13/2002","Moderate","54"
"07/14/2002","Moderate","73"
"07/15/2002","Moderate","70"
"07/16/2002","Moderate","73"
"07/17/2002","Moderate","68"
"07/18/2002","Unhealthy","151"
