"Date","AQI Category","Ozone AQI Value"
"01/01/1992","Good","17"
"01/02/1992","Good","20"
"01/03/1992","Good","31"
"01/04/1992","Good","31"
"01/05/1992","Good","25"
"01/06/1992","Good","17"
"01/07/1992","Good","19"
"01/08/1992","Good","23"
"01/09/1992","Good","10"
"01/10/1992","Good","24"
"01/11/1992","Good","23"
"01/12/1992","Good","13"
"01/13/1992","Good","19"
"01/14/1992","Good","34"
"01/15/1992","Good","32"
"01/16/1992","Good","30"
"01/17/1992","Good","20"
"01/18/1992","Good","28"
"01/19/1992","Good","28"
"01/20/1992","Good","16"
"01/21/1992","Good","13"
"01/22/1992","Good","31"
"01/23/1992","Good","31"
"01/24/1992","Good","28"
"01/25/1992","Good","26"
"01/26/1992","Good","28"
"01/27/1992","Good","24"
"01/28/1992","Good","14"
"01/29/1992","Good","8"
"01/30/1992","Good","11"
"01/31/1992","Good","21"
"02/01/1992","Good","27"
"02/02/1992","Good","29"
"02/03/1992","Good","31"
"02/04/1992","Good","27"
"02/05/1992","Good","33"
"02/06/1992","Good","31"
"02/07/1992","Good","30"
"02/08/1992","Good","29"
"02/09/1992","Good","31"
"02/10/1992","Good","26"
"02/11/1992","Good","28"
"02/12/1992","Good","29"
"02/13/1992","Good","18"
"02/14/1992","Good","17"
"02/15/1992","Good","32"
"02/16/1992","Good","19"
"02/17/1992","Good","31"
"02/18/1992","Good","29"
"02/19/1992","Good","13"
"02/20/1992","Good","19"
"02/21/1992","Good","26"
"02/22/1992","Good","30"
"02/23/1992","Good","42"
"02/24/1992","Good","34"
"02/25/1992","Good","34"
"02/26/1992","Good","24"
"02/27/1992","Good","22"
"02/28/1992","Good","31"
"02/29/1992","Good","35"
"03/01/1992","Good","37"
"03/02/1992","Good","32"
"03/03/1992","Good","26"
"03/04/1992","Good","28"
"03/05/1992","Good","31"
"03/06/1992","Good","40"
"03/07/1992","Good","37"
"03/08/1992","Good","28"
"03/09/1992","Good","33"
"03/10/1992","Good","43"
"03/11/1992","Good","41"
"03/12/1992","Good","35"
"03/13/1992","Good","36"
"03/14/1992","Good","34"
"03/15/1992","Good","38"
"03/16/1992","Good","37"
"03/17/1992","Good","26"
"03/18/1992","Good","37"
"03/19/1992","Good","39"
"03/20/1992","Good","38"
"03/21/1992","Good","44"
"03/22/1992","Good","39"
"03/23/1992","Good","46"
"03/24/1992","Good","43"
"03/25/1992","Moderate","51"
"03/26/1992","Good","43"
"03/27/1992","Good","30"
"03/28/1992","Good","39"
"03/29/1992","Good","44"
"03/30/1992","Good","38"
"03/31/1992","Good","46"
"04/01/1992","Good","42"
"04/02/1992","Good","37"
"04/03/1992","Good","37"
"04/04/1992","Good","40"
"04/05/1992","Good","46"
"04/06/1992","Good","44"
"04/07/1992","Moderate","100"
"04/08/1992","Good","49"
"04/09/1992","Moderate","67"
"04/10/1992","Moderate","84"
"04/11/1992","Good","38"
"04/12/1992","Good","40"
"04/13/1992","Good","42"
"04/14/1992","Good","44"
"04/15/1992","Good","46"
"04/16/1992","Good","44"
"04/17/1992","Good","43"
"04/18/1992","Good","35"
"04/19/1992","Good","33"
"04/20/1992","Good","36"
"04/21/1992","Good","36"
"04/22/1992","Good","44"
"04/23/1992","Moderate","61"
"04/24/1992","Moderate","54"
"04/25/1992","Good","44"
"04/26/1992","Good","35"
"04/27/1992","Good","43"
"04/28/1992","Good","47"
"04/29/1992","Good","49"
"04/30/1992","Moderate","51"
"05/01/1992","Moderate","61"
"05/02/1992","Unhealthy for Sensitive Groups","129"
"05/03/1992","Good","49"
"05/04/1992","Good","32"
"05/05/1992","Good","34"
"05/06/1992","Good","42"
"05/07/1992","Good","39"
"05/08/1992","Good","31"
"05/09/1992","Moderate","51"
"05/10/1992","Good","48"
"05/11/1992","Good","50"
"05/12/1992","Good","48"
"05/13/1992","Good","38"
"05/14/1992","Moderate","93"
"05/15/1992","Moderate","84"
"05/16/1992","Good","31"
"05/17/1992","Good","44"
"05/18/1992","Good","39"
"05/19/1992","Good","49"
"05/20/1992","Moderate","61"
"05/21/1992","Unhealthy","151"
"05/22/1992","Unhealthy","192"
"05/23/1992","Very Unhealthy","222"
"05/24/1992","Unhealthy","154"
"05/25/1992","Good","26"
"05/26/1992","Good","31"
"05/27/1992","Good","44"
"05/28/1992","Good","44"
"05/29/1992","Unhealthy for Sensitive Groups","101"
"05/30/1992","Good","44"
"05/31/1992","Good","45"
"06/01/1992","Good","34"
"06/02/1992","Moderate","51"
"06/03/1992","Unhealthy for Sensitive Groups","129"
