Date,AQI Category,Ozone AQI Value
8/30/2018,Good,48
8/31/2018,Good,31
9/1/2018,Good,31
9/2/2018,Good,40
9/3/2018,Moderate,77
9/4/2018,Good,49
9/5/2018,Unhealthy for Sensitive Groups,133
9/6/2018,Unhealthy for Sensitive Groups,105
9/7/2018,Moderate,80
9/8/2018,Good,21
9/9/2018,Good,29
9/10/2018,Good,26
9/11/2018,Good,12
9/12/2018,Good,19
9/13/2018,Good,19
9/14/2018,Good,20
9/15/2018,Good,33
9/16/2018,Good,40
9/17/2018,Good,28
9/18/2018,Good,27
9/19/2018,Good,42
9/20/2018,Good,25
9/21/2018,Good,30
9/22/2018,Good,27
9/23/2018,Good,22
9/24/2018,Good,31
9/25/2018,Good,27
9/26/2018,Good,33
9/27/2018,Good,31
9/28/2018,Good,29
9/29/2018,Good,46
9/30/2018,Good,42
10/1/2018,Good,46
10/2/2018,Good,44
10/3/2018,Good,38
10/4/2018,Good,44
10/5/2018,Good,22
10/6/2018,Good,22
10/7/2018,Good,30
10/8/2018,Good,24
10/9/2018,Good,30
10/10/2018,Good,31
10/11/2018,Good,20
10/12/2018,Good,30
10/13/2018,Good,30
10/14/2018,Good,25
10/15/2018,Good,25
10/16/2018,Good,29
10/17/2018,Good,33
10/18/2018,Good,33
10/19/2018,Good,36
10/20/2018,Good,31
10/21/2018,Good,30
10/22/2018,Good,31
10/23/2018,Good,40
10/24/2018,Good,23
10/25/2018,Good,26
10/26/2018,Good,31
10/27/2018,Good,31
10/28/2018,Good,21
10/29/2018,Good,27
10/30/2018,Good,32
10/31/2018,Good,41
11/1/2018,Good,39
11/2/2018,Good,31
11/3/2018,Good,25
11/4/2018,Good,29
11/5/2018,Good,30
11/6/2018,Good,19
11/7/2018,Good,30
11/8/2018,Good,22
11/9/2018,Good,20
11/10/2018,Good,32
11/11/2018,Good,25
11/12/2018,Good,24
11/13/2018,Good,28
11/14/2018,Good,31
11/15/2018,Good,33
11/16/2018,Good,29
11/17/2018,Good,25
11/18/2018,Good,23
11/19/2018,Good,20
11/20/2018,Good,24
11/21/2018,Good,31
11/22/2018,Good,33
11/23/2018,Good,29
11/24/2018,Good,32
11/25/2018,Good,30
11/26/2018,Good,30
11/27/2018,Good,25
11/28/2018,Good,26
11/29/2018,Good,26
11/30/2018,Good,18
12/1/2018,Good,22
12/2/2018,Good,24
12/3/2018,Good,25
12/4/2018,Good,27
12/5/2018,Good,21
12/6/2018,Good,23
12/7/2018,Good,27
12/8/2018,Good,26
12/9/2018,Good,20
12/10/2018,Good,28
12/11/2018,Good,25
12/12/2018,Good,26
12/13/2018,Good,30
12/14/2018,Good,22
12/15/2018,Good,26
12/16/2018,Good,28
12/17/2018,Good,32
12/18/2018,Good,33
12/19/2018,Good,23
12/20/2018,Good,34
12/21/2018,Good,34
12/22/2018,Good,24
12/23/2018,Good,25
12/24/2018,Good,27
12/25/2018,Good,21
12/26/2018,Good,22
12/27/2018,Good,24
12/28/2018,Good,27
12/29/2018,Good,23
12/30/2018,Good,19
12/31/2018,Good,26
