"Date","AQI Category","PM2.5 AQI Value"
"01/01/2006","Moderate","66"
"01/02/2006","Moderate","71"
"01/03/2006","Good","38"
"01/04/2006","Moderate","58"
"01/05/2006","Unhealthy for Sensitive Groups","123"
"01/06/2006","Good","28"
"01/07/2006","Good","45"
"01/08/2006","Moderate","74"
"01/09/2006","Moderate","67"
"01/10/2006","Moderate","71"
"01/11/2006","Moderate","91"
"01/12/2006","Moderate","62"
"01/13/2006","Moderate","85"
"01/14/2006","Good","27"
"01/15/2006","Good","13"
"01/16/2006","Good","43"
"01/17/2006","Moderate","61"
"01/18/2006","Good","31"
"01/19/2006","Good","44"
"01/20/2006","Moderate","62"
"01/21/2006","Moderate","53"
"01/22/2006","Good","27"
"01/23/2006","Moderate","71"
"01/24/2006","Moderate","63"
"01/25/2006","Good","29"
"01/26/2006","Good","28"
"01/27/2006","Good","42"
"01/28/2006","Moderate","70"
"01/29/2006","Moderate","75"
"01/30/2006","Moderate","77"
"01/31/2006","Good","42"
"02/01/2006","Moderate","57"
"02/02/2006","Moderate","81"
"02/03/2006","Moderate","52"
"02/04/2006","Moderate","97"
"02/05/2006","Good","27"
"02/06/2006","Good","37"
"02/07/2006","Moderate","51"
"02/08/2006","Moderate","57"
"02/09/2006","Moderate","68"
"02/10/2006","Moderate","77"
"02/11/2006","Moderate","80"
"02/12/2006","Moderate","55"
"02/13/2006","Moderate","66"
"02/14/2006","Moderate","69"
"02/15/2006","Unhealthy for Sensitive Groups","103"
"02/16/2006","Unhealthy for Sensitive Groups","109"
"02/17/2006","Good","32"
"02/18/2006","Good","34"
"02/19/2006","Good","41"
"02/20/2006","Moderate","62"
"02/21/2006","Moderate","80"
"02/22/2006","Moderate","90"
"02/23/2006","Moderate","96"
"02/24/2006","Good","34"
"02/25/2006","Good","42"
"02/26/2006","Good","18"
"02/27/2006","Moderate","52"
"02/28/2006","Moderate","62"
"03/01/2006","Moderate","57"
"03/02/2006","Moderate","88"
"03/03/2006","Good","35"
"03/04/2006","Good","29"
"03/05/2006","Good","26"
"03/06/2006","Moderate","53"
"03/07/2006","Good","23"
"03/08/2006","Moderate","53"
"03/09/2006","Moderate","76"
"03/10/2006","Moderate","51"
"03/11/2006","Moderate","55"
"03/12/2006","Moderate","92"
"03/13/2006","Moderate","95"
"03/14/2006","Good","38"
"03/15/2006","Good","38"
"03/16/2006","Good","25"
"03/17/2006","Good","33"
"03/18/2006","Good","46"
"03/19/2006","Good","23"
"03/20/2006","Good","35"
"03/21/2006","Good","40"
"03/22/2006","Good","23"
"03/23/2006","Good","47"
"03/24/2006","Unhealthy","157"
"03/25/2006","Moderate","51"
"03/26/2006","Moderate","53"
"03/27/2006","Good","35"
"03/28/2006","Moderate","56"
"03/29/2006","Moderate","64"
"03/30/2006","Moderate","98"
"03/31/2006","Moderate","80"
"04/01/2006","Moderate","64"
"04/02/2006","Good","33"
"04/03/2006","Moderate","61"
"04/04/2006","Good","27"
"04/05/2006","Moderate","53"
"04/06/2006","Good","38"
"04/07/2006","Moderate","72"
"04/08/2006","Good","49"
"04/09/2006","Good","28"
"04/10/2006","Good","38"
"04/11/2006","Moderate","68"
"04/12/2006","Good","44"
"04/13/2006","Good","43"
"04/14/2006","Moderate","78"
"04/15/2006","Moderate","59"
"04/16/2006","Good","26"
"04/17/2006","Moderate","58"
"04/18/2006","Good","24"
"04/19/2006","Good","24"
"04/20/2006","Moderate","58"
"04/21/2006","Good","32"
"04/22/2006","Good","27"
"04/23/2006","Moderate","64"
"04/24/2006","Moderate","60"
"04/25/2006","Moderate","63"
"04/26/2006","Good","46"
"04/27/2006","Good","49"
"04/28/2006","Good","24"
"04/29/2006","Moderate","55"
"04/30/2006","Good","23"
"05/01/2006","Good","37"
"05/02/2006","Moderate","54"
"05/03/2006","Good","34"
"05/04/2006","Moderate","55"
"05/05/2006","Moderate","80"
"05/06/2006","Moderate","60"
"05/07/2006","Good","25"
"05/08/2006","Moderate","60"
"05/09/2006","Good","33"
"05/10/2006","Good","48"
"05/11/2006","Moderate","74"
"05/12/2006","Good","40"
"05/13/2006","Moderate","58"
"05/14/2006","Good","45"
"05/15/2006","Moderate","54"
"05/16/2006","Moderate","57"
"05/17/2006","Moderate","99"
"05/18/2006","Moderate","59"
"05/19/2006","Good","44"
"05/20/2006","Good","46"
"05/21/2006","Good","42"
"05/22/2006","Good","37"
"05/23/2006","Moderate","55"
"05/24/2006","Good","43"
"05/25/2006","Moderate","67"
"05/26/2006","Moderate","91"
"05/27/2006","Moderate","56"
"05/28/2006","Moderate","73"
"05/29/2006","Moderate","97"
"05/30/2006","Unhealthy for Sensitive Groups","109"
"05/31/2006","Moderate","71"
"06/01/2006","Moderate","85"
"06/02/2006","Moderate","80"
"06/03/2006","Good","48"
"06/04/2006","Moderate","56"
"06/05/2006","Good","41"
"06/06/2006","Moderate","58"
"06/07/2006","Moderate","52"
"06/08/2006","Good","49"
"06/09/2006","Good","42"
"06/10/2006","Unhealthy for Sensitive Groups","104"
"06/11/2006","Good","28"
"06/12/2006","Good","41"
"06/13/2006","Moderate","75"
"06/14/2006","Moderate","83"
"06/15/2006","Good","46"
"06/16/2006","Moderate","53"
"06/17/2006","Moderate","76"
"06/18/2006","Moderate","99"
"06/19/2006","Unhealthy for Sensitive Groups","122"
"06/20/2006","Moderate","73"
"06/21/2006","Moderate","69"
"06/22/2006","Unhealthy for Sensitive Groups","123"
"06/23/2006","Moderate","74"
"06/24/2006","Moderate","60"
"06/25/2006","Good","27"
"06/26/2006","Good","28"
"06/27/2006","Good","31"
"06/28/2006","Moderate","65"
"06/29/2006","Moderate","88"
"06/30/2006","Moderate","74"
"07/01/2006","Moderate","80"
"07/02/2006","Unhealthy for Sensitive Groups","112"
"07/03/2006","Unhealthy for Sensitive Groups","107"
"07/04/2006","Unhealthy","163"
"07/05/2006","Moderate","72"
"07/06/2006","Good","48"
"07/07/2006","Good","50"
"07/08/2006","Moderate","56"
"07/09/2006","Moderate","66"
"07/10/2006","Moderate","100"
"07/11/2006","Unhealthy","155"
"07/12/2006","Unhealthy for Sensitive Groups","117"
"07/13/2006","Moderate","76"
"07/14/2006","Moderate","62"
"07/15/2006","Moderate","92"
"07/16/2006","Moderate","60"
"07/17/2006","Moderate","78"
"07/18/2006","Unhealthy for Sensitive Groups","113"
"07/19/2006","Moderate","68"
"07/20/2006","Moderate","62"
"07/21/2006","Unhealthy for Sensitive Groups","108"
"07/22/2006","Unhealthy","152"
"07/23/2006","Good","33"
"07/24/2006","Moderate","59"
"07/25/2006","Moderate","67"
"07/26/2006","Moderate","76"
"07/27/2006","Moderate","82"
"07/28/2006","Moderate","89"
"07/29/2006","Moderate","93"
"07/30/2006","Moderate","94"
"07/31/2006","Moderate","77"
"08/01/2006","Unhealthy for Sensitive Groups","129"
"08/02/2006","Unhealthy for Sensitive Groups","142"
"08/03/2006","Unhealthy","155"
"08/04/2006","Moderate","59"
"08/05/2006","Good","41"
"08/06/2006","Moderate","61"
"08/07/2006","Moderate","89"
"08/08/2006","Moderate","56"
"08/09/2006","Moderate","66"
"08/10/2006","Moderate","65"
"08/11/2006","Good","45"
"08/12/2006","Good","31"
"08/13/2006","Moderate","68"
"08/14/2006","Moderate","74"
"08/15/2006","Unhealthy for Sensitive Groups","139"
"08/16/2006","Good","49"
"08/17/2006","Good","49"
"08/18/2006","Good","46"
"08/19/2006","Good","47"
"08/20/2006","Moderate","72"
"08/21/2006","Moderate","93"
"08/22/2006","Moderate","56"
"08/23/2006","Moderate","63"
"08/24/2006","Moderate","82"
"08/25/2006","Moderate","93"
"08/26/2006","Moderate","55"
"08/27/2006","Moderate","96"
"08/28/2006","Moderate","69"
"08/29/2006","Moderate","66"
"08/30/2006","Moderate","63"
"08/31/2006","Good","35"
"09/01/2006","Good","27"
"09/02/2006","Moderate","59"
"09/03/2006","Moderate","51"
"09/04/2006","Moderate","59"
"09/05/2006","Moderate","61"
"09/06/2006","Moderate","60"
"09/07/2006","Moderate","68"
"09/08/2006","Moderate","90"
