"Date","AQI Category","Ozone AQI Value"
"01/01/2002","Good","22"
"01/02/2002","Good","19"
"01/03/2002","Good","20"
"01/04/2002","Good","24"
"01/05/2002","Good","23"
"01/06/2002","Good","19"
"01/07/2002","Good","24"
"01/08/2002","Good","22"
"01/09/2002","Good","15"
"01/10/2002","Good","17"
"01/11/2002","Good","19"
"01/12/2002","Good","24"
"01/13/2002","Good","31"
"01/14/2002","Good","31"
"01/15/2002","Good","20"
"01/16/2002","Good","25"
"01/17/2002","Good","16"
"01/18/2002","Good","26"
"01/19/2002","Good","25"
"01/20/2002","Good","28"
"01/21/2002","Good","19"
"01/22/2002","Good","26"
"01/23/2002","Good","28"
"01/24/2002","Good","15"
"01/25/2002","Good","29"
"01/26/2002","Good","28"
"01/27/2002","Good","31"
"01/28/2002","Good","30"
"01/29/2002","Good","31"
"01/30/2002","Good","29"
"01/31/2002","Good","27"
"02/01/2002","Good","33"
"02/02/2002","Good","37"
"02/03/2002","Good","35"
"02/04/2002","Good","29"
"02/05/2002","Good","31"
"02/06/2002","Good","16"
"02/07/2002","Good","19"
"02/08/2002","Good","28"
"02/09/2002","Good","34"
"02/10/2002","Good","41"
"02/11/2002","Good","34"
"02/12/2002","Good","33"
"02/13/2002","Good","32"
"02/14/2002","Good","34"
"02/15/2002","Good","36"
"02/16/2002","Good","35"
"02/17/2002","Good","35"
"02/18/2002","Good","34"
"02/19/2002","Good","31"
"02/20/2002","Good","43"
"02/21/2002","Good","38"
"02/22/2002","Good","20"
"02/23/2002","Good","33"
"02/24/2002","Good","37"
"02/25/2002","Good","41"
"02/26/2002","Moderate","67"
"02/27/2002","Good","27"
"02/28/2002","Good","36"
"03/01/2002","Good","31"
"03/02/2002","Good","45"
"03/03/2002","Good","36"
"03/04/2002","Good","34"
"03/05/2002","Good","28"
"03/06/2002","Good","44"
"03/07/2002","Moderate","51"
"03/08/2002","Good","50"
"03/09/2002","Good","37"
"03/10/2002","Good","41"
"03/11/2002","Good","32"
"03/12/2002","Good","33"
"03/13/2002","Good","37"
"03/14/2002","Good","40"
"03/15/2002","Good","46"
"03/16/2002","Good","36"
"03/17/2002","Good","39"
"03/18/2002","Good","40"
"03/19/2002","Good","34"
"03/20/2002","Good","40"
"03/21/2002","Good","36"
"03/22/2002","Good","33"
"03/23/2002","Good","37"
"03/24/2002","Good","44"
"03/25/2002","Good","42"
"03/26/2002","Good","37"
"03/27/2002","Good","35"
"03/28/2002","Good","40"
"03/29/2002","Moderate","58"
"03/30/2002","Moderate","54"
"03/31/2002","Good","41"
"04/01/2002","Good","45"
"04/02/2002","Moderate","54"
"04/03/2002","Good","45"
"04/04/2002","Good","42"
"04/05/2002","Good","40"
"04/06/2002","Good","41"
"04/07/2002","Good","46"
"04/08/2002","Moderate","84"
"04/09/2002","Good","47"
"04/10/2002","Good","44"
"04/11/2002","Good","50"
"04/12/2002","Good","31"
"04/13/2002","Good","41"
"04/14/2002","Good","48"
"04/15/2002","Moderate","71"
"04/16/2002","Unhealthy for Sensitive Groups","136"
"04/17/2002","Unhealthy for Sensitive Groups","140"
"04/18/2002","Unhealthy for Sensitive Groups","122"
"04/19/2002","Moderate","87"
"04/20/2002","Good","49"
"04/21/2002","Good","42"
"04/22/2002","Good","42"
"04/23/2002","Good","49"
"04/24/2002","Moderate","61"
"04/25/2002","Good","43"
"04/26/2002","Good","47"
"04/27/2002","Good","46"
"04/28/2002","Good","44"
"04/29/2002","Good","40"
"04/30/2002","Good","46"
"05/01/2002","Moderate","71"
"05/02/2002","Good","48"
"05/03/2002","Moderate","51"
"05/04/2002","Good","48"
"05/05/2002","Moderate","90"
"05/06/2002","Unhealthy for Sensitive Groups","101"
"05/07/2002","Moderate","64"
"05/08/2002","Moderate","61"
"05/09/2002","Good","32"
"05/10/2002","Moderate","71"
"05/11/2002","Moderate","84"
"05/12/2002","Moderate","84"
"05/13/2002","Good","46"
"05/14/2002","Good","46"
"05/15/2002","Moderate","61"
"05/16/2002","Unhealthy for Sensitive Groups","112"
"05/17/2002","Unhealthy for Sensitive Groups","101"
"05/18/2002","Good","37"
"05/19/2002","Good","44"
"05/20/2002","Good","44"
"05/21/2002","Good","39"
"05/22/2002","Good","46"
"05/23/2002","Moderate","97"
"05/24/2002","Unhealthy","166"
"05/25/2002","Moderate","67"
"05/26/2002","Moderate","84"
"05/27/2002","Moderate","64"
"05/28/2002","Good","45"
"05/29/2002","Moderate","51"
"05/30/2002","Good","47"
"05/31/2002","Unhealthy for Sensitive Groups","108"
"06/01/2002","Unhealthy for Sensitive Groups","140"
"06/02/2002","Moderate","90"
"06/03/2002","Moderate","67"
"06/04/2002","Moderate","97"
"06/05/2002","Unhealthy","151"
"06/06/2002","Unhealthy","154"
"06/07/2002","Good","45"
