"Date","AQI Category","PM2.5 AQI Value"
"07/24/2013","Moderate","56"
"07/25/2013","Moderate","58"
"07/26/2013","Moderate","58"
"07/27/2013","Moderate","56"
"07/28/2013","Good","45"
"07/29/2013","Moderate","56"
"07/30/2013","Moderate","58"
"07/31/2013","Moderate","65"
"08/01/2013","Moderate","57"
"08/02/2013","Moderate","63"
"08/03/2013","Moderate","56"
"08/04/2013","Good","42"
"08/05/2013","Good","38"
"08/06/2013","Moderate","52"
"08/07/2013","Good","41"
"08/08/2013","Good","38"
"08/09/2013","Good","47"
"08/10/2013","Moderate","63"
"08/11/2013","Good","50"
"08/12/2013","Moderate","68"
"08/13/2013","Moderate","57"
"08/14/2013","Good","41"
"08/15/2013","Good","43"
"08/16/2013","Moderate","57"
"08/17/2013","Moderate","57"
"08/18/2013","Moderate","63"
"08/19/2013","Moderate","55"
"08/20/2013","Moderate","63"
"08/21/2013","Moderate","64"
"08/22/2013","Moderate","55"
"08/23/2013","Moderate","57"
"08/24/2013","Good","45"
"08/25/2013","Moderate","55"
"08/26/2013","Moderate","56"
"08/27/2013","Moderate","57"
"08/28/2013","Moderate","76"
"08/29/2013","Moderate","76"
"08/30/2013","Moderate","58"
"08/31/2013","Moderate","64"
"09/01/2013","Moderate","57"
"09/02/2013","Moderate","59"
"09/03/2013","Moderate","58"
"09/04/2013","Moderate","53"
"09/05/2013","Moderate","59"
"09/06/2013","Moderate","53"
"09/07/2013","Moderate","60"
"09/08/2013","Moderate","60"
"09/09/2013","Good","47"
"09/10/2013","Moderate","71"
"09/11/2013","Moderate","89"
"09/12/2013","Moderate","81"
"09/13/2013","Moderate","57"
"09/14/2013","Good","49"
"09/15/2013","Moderate","56"
"09/16/2013","Moderate","59"
"09/17/2013","Moderate","52"
"09/18/2013","Moderate","80"
"09/19/2013","Moderate","60"
"09/20/2013","Moderate","62"
"09/21/2013","Moderate","57"
"09/22/2013","Moderate","56"
"09/23/2013","Moderate","52"
"09/24/2013","Moderate","55"
"09/25/2013","Moderate","54"
"09/26/2013","Moderate","66"
"09/27/2013","Moderate","59"
"09/28/2013","Moderate","57"
"09/29/2013","Moderate","54"
"09/30/2013","Moderate","62"
"10/01/2013","Moderate","63"
"10/02/2013","Moderate","67"
"10/03/2013","Moderate","66"
"10/04/2013","Moderate","80"
"10/05/2013","Moderate","79"
"10/06/2013","Moderate","79"
"10/07/2013","Good","35"
"10/08/2013","Good","30"
"10/09/2013","Good","31"
"10/10/2013","Good","37"
"10/11/2013","Good","35"
"10/12/2013","Good","43"
"10/13/2013","Moderate","52"
"10/14/2013","Good","40"
"10/15/2013","Good","42"
"10/16/2013","Good","44"
"10/17/2013","Moderate","54"
"10/18/2013","Good","36"
"10/19/2013","Moderate","59"
"10/20/2013","Good","38"
"10/21/2013","Moderate","56"
"10/22/2013","Good","47"
"10/23/2013","Good","36"
"10/24/2013","Good","41"
"10/25/2013","Moderate","57"
"10/26/2013","Moderate","58"
"10/27/2013","Good","43"
"10/28/2013","Moderate","66"
"10/29/2013","Good","48"
"10/30/2013","Moderate","64"
"10/31/2013","Moderate","81"
"11/01/2013","Good","30"
"11/02/2013","Moderate","52"
"11/03/2013","Moderate","54"
"11/04/2013","Good","34"
"11/05/2013","Good","48"
"11/06/2013","Good","47"
"11/07/2013","Good","28"
"11/08/2013","Good","31"
"11/09/2013","Moderate","55"
"11/10/2013","Moderate","57"
"11/11/2013","Good","37"
"11/12/2013","Moderate","64"
"11/13/2013","Good","28"
"11/14/2013","Good","41"
"11/15/2013","Moderate","93"
"11/16/2013","Moderate","89"
"11/17/2013","Moderate","59"
"11/18/2013","Moderate","59"
"11/19/2013","Good","22"
"11/20/2013","Moderate","51"
"11/21/2013","Good","49"
"11/22/2013","Moderate","61"
"11/23/2013","Good","31"
"11/24/2013","Good","21"
"11/25/2013","Good","42"
"11/26/2013","Moderate","51"
"11/27/2013","Good","24"
"11/28/2013","Good","40"
"11/29/2013","Moderate","71"
"11/30/2013","Moderate","52"
"12/01/2013","Moderate","78"
"12/02/2013","Unhealthy for Sensitive Groups","123"
"12/03/2013","Unhealthy for Sensitive Groups","112"
"12/04/2013","Unhealthy for Sensitive Groups","133"
"12/05/2013","Moderate","93"
"12/06/2013","Good","47"
"12/07/2013","Good","50"
"12/08/2013","Moderate","51"
"12/09/2013","Moderate","63"
"12/10/2013","Moderate","87"
"12/11/2013","Moderate","79"
"12/12/2013","Moderate","68"
"12/13/2013","Moderate","67"
"12/14/2013","Moderate","84"
"12/15/2013","Moderate","59"
"12/16/2013","Moderate","66"
"12/17/2013","Moderate","75"
"12/18/2013","Moderate","80"
"12/19/2013","Moderate","75"
"12/20/2013","Moderate","89"
"12/21/2013","Moderate","65"
"12/22/2013","Good","26"
"12/23/2013","Good","33"
"12/24/2013","Good","36"
"12/25/2013","Good","41"
"12/26/2013","Moderate","77"
"12/27/2013","Moderate","98"
"12/28/2013","Moderate","93"
"12/29/2013","Moderate","53"
"12/30/2013","Moderate","57"
"12/31/2013","Moderate","52"
