"Date","AQI Category","PM2.5 AQI Value"
"01/01/2015","Moderate","54"
"01/02/2015","Moderate","68"
"01/03/2015","Moderate","84"
"01/04/2015","Good","43"
"01/05/2015","Good","37"
"01/06/2015","Moderate","65"
"01/07/2015","Moderate","67"
"01/08/2015","Moderate","54"
"01/09/2015","Moderate","52"
"01/10/2015","Moderate","57"
"01/11/2015","Moderate","77"
"01/12/2015","Moderate","68"
"01/13/2015","Good","42"
"01/14/2015","Moderate","65"
"01/15/2015","Moderate","92"
"01/16/2015","Moderate","74"
"01/17/2015","Good","45"
"01/18/2015","Moderate","69"
"01/19/2015","Moderate","64"
"01/20/2015","Moderate","75"
"01/21/2015","Moderate","80"
"01/22/2015","Unhealthy for Sensitive Groups","102"
"01/23/2015","Moderate","86"
"01/24/2015","Moderate","74"
"01/25/2015","Moderate","70"
"01/26/2015","Moderate","58"
"01/27/2015","Good","35"
"01/28/2015","Good","33"
"01/29/2015","Moderate","54"
"01/30/2015","Moderate","53"
"01/31/2015","Good","40"
"02/01/2015","Moderate","78"
"02/02/2015","Good","48"
"02/03/2015","Good","49"
"02/04/2015","Moderate","62"
"02/05/2015","Moderate","52"
"02/06/2015","Moderate","63"
"02/07/2015","Moderate","92"
"02/08/2015","Moderate","90"
"02/09/2015","Moderate","71"
"02/10/2015","Good","45"
"02/11/2015","Moderate","54"
"02/12/2015","Moderate","56"
"02/13/2015","Good","46"
"02/14/2015","Moderate","69"
"02/15/2015","Good","50"
"02/16/2015","Good","48"
"02/17/2015","Moderate","72"
"02/18/2015","Moderate","98"
"02/19/2015","Moderate","53"
"02/20/2015","Moderate","55"
"02/21/2015","Moderate","78"
"02/22/2015","Moderate","92"
"02/23/2015","Moderate","55"
"02/24/2015","Moderate","53"
"02/25/2015","Moderate","83"
"02/26/2015","Moderate","67"
"02/27/2015","Moderate","60"
"02/28/2015","Moderate","68"
"03/01/2015","Moderate","96"
"03/02/2015","Moderate","87"
"03/03/2015","Moderate","66"
"03/04/2015","Unhealthy for Sensitive Groups","101"
"03/05/2015","Moderate","55"
"03/06/2015","Moderate","58"
"03/07/2015","Moderate","80"
"03/08/2015","Moderate","83"
"03/09/2015","Moderate","76"
"03/10/2015","Moderate","76"
"03/11/2015","Moderate","70"
"03/12/2015","Good","43"
"03/13/2015","Good","36"
"03/14/2015","Moderate","51"
"03/15/2015","Good","47"
"03/16/2015","Moderate","57"
"03/17/2015","Moderate","55"
"03/18/2015","Good","31"
"03/19/2015","Moderate","58"
"03/20/2015","Moderate","59"
"03/21/2015","Moderate","72"
"03/22/2015","Good","33"
"03/23/2015","Moderate","52"
"03/24/2015","Moderate","54"
"03/25/2015","Moderate","74"
"03/26/2015","Moderate","68"
"03/27/2015","Good","49"
"03/28/2015","Good","43"
"03/29/2015","Moderate","56"
"03/30/2015","Good","34"
"03/31/2015","Good","45"
"04/01/2015","Good","43"
"04/02/2015","Moderate","58"
"04/03/2015","Moderate","62"
"04/04/2015","Good","37"
"04/05/2015","Good","35"
"04/06/2015","Good","40"
"04/07/2015","Moderate","55"
"04/08/2015","Good","45"
"04/09/2015","Good","36"
"04/10/2015","Moderate","56"
"04/11/2015","Good","49"
"04/12/2015","Good","48"
"04/13/2015","Moderate","53"
"04/14/2015","Good","31"
"04/15/2015","Good","35"
"04/16/2015","Good","38"
"04/17/2015","Moderate","51"
"04/18/2015","Moderate","58"
"04/19/2015","Good","35"
"04/20/2015","Good","38"
"04/21/2015","Good","41"
"04/22/2015","Good","41"
"04/23/2015","Good","38"
"04/24/2015","Good","32"
"04/25/2015","Moderate","54"
"04/26/2015","Good","34"
"04/27/2015","Good","46"
"04/28/2015","Good","35"
"04/29/2015","Moderate","52"
"04/30/2015","Moderate","56"
"05/01/2015","Good","33"
"05/02/2015","Moderate","54"
"05/03/2015","Moderate","55"
"05/04/2015","Moderate","71"
"05/05/2015","Moderate","67"
"05/06/2015","Moderate","62"
"05/07/2015","Moderate","67"
"05/08/2015","Moderate","82"
"05/09/2015","Moderate","56"
"05/10/2015","Moderate","53"
"05/11/2015","Moderate","68"
"05/12/2015","Moderate","55"
"05/13/2015","Good","40"
"05/14/2015","Good","40"
"05/15/2015","Moderate","51"
"05/16/2015","Moderate","57"
"05/17/2015","Moderate","62"
"05/18/2015","Moderate","70"
"05/19/2015","Moderate","72"
"05/20/2015","Moderate","53"
"05/21/2015","Moderate","53"
"05/22/2015","Moderate","62"
"05/23/2015","Moderate","54"
"05/24/2015","Moderate","66"
"05/25/2015","Moderate","67"
"05/26/2015","Moderate","59"
"05/27/2015","Moderate","57"
"05/28/2015","Moderate","60"
"05/29/2015","Moderate","52"
"05/30/2015","Good","42"
"05/31/2015","Good","47"
"06/01/2015","Good","45"
"06/02/2015","Good","21"
"06/03/2015","Good","28"
"06/04/2015","Moderate","53"
"06/05/2015","Good","33"
"06/06/2015","Moderate","51"
"06/07/2015","Good","38"
