Date,AQI Category,PM2.5 AQI Value
8/28/2018,Moderate,94
8/29/2018,Moderate,73
8/30/2018,Moderate,59
8/31/2018,Good,47
9/1/2018,Good,50
9/2/2018,Good,41
9/3/2018,Moderate,59
9/4/2018,Moderate,54
9/5/2018,Moderate,59
9/6/2018,Moderate,62
9/7/2018,Good,50
9/8/2018,Good,42
9/9/2018,Moderate,56
9/10/2018,Good,49
9/11/2018,Moderate,59
9/12/2018,Moderate,51
9/13/2018,Good,19
9/14/2018,Good,28
9/15/2018,Good,33
9/16/2018,Moderate,60
9/17/2018,Moderate,57
9/18/2018,Good,31
9/19/2018,Moderate,53
9/20/2018,Good,36
9/21/2018,Good,33
9/22/2018,Good,45
9/23/2018,Good,45
9/24/2018,Good,44
9/25/2018,Good,46
9/26/2018,Moderate,55
9/27/2018,Good,35
9/28/2018,Good,28
9/29/2018,Moderate,58
9/30/2018,Good,46
10/1/2018,Moderate,52
10/2/2018,Moderate,52
10/3/2018,Good,46
10/4/2018,Moderate,65
10/5/2018,Good,48
10/6/2018,Moderate,57
10/7/2018,Moderate,60
10/8/2018,Moderate,64
10/9/2018,Good,46
10/10/2018,Good,30
10/11/2018,Good,35
10/12/2018,Moderate,51
10/13/2018,Good,38
10/14/2018,Good,45
10/15/2018,Moderate,55
10/16/2018,Moderate,59
10/17/2018,Moderate,66
10/18/2018,Good,38
10/19/2018,Good,50
10/20/2018,Good,45
10/21/2018,Good,34
10/22/2018,Good,40
10/23/2018,Good,42
10/24/2018,Good,41
10/25/2018,Moderate,52
10/26/2018,Good,48
10/27/2018,Good,34
10/28/2018,Good,46
10/29/2018,Good,42
10/30/2018,Moderate,55
10/31/2018,Moderate,58
11/1/2018,Moderate,61
11/2/2018,Good,37
11/3/2018,Moderate,54
11/4/2018,Good,45
11/5/2018,Good,50
11/6/2018,Good,28
11/7/2018,Moderate,55
11/8/2018,Good,45
11/9/2018,Good,40
11/10/2018,Good,47
11/11/2018,Moderate,61
11/12/2018,Moderate,71
11/13/2018,Good,46
11/14/2018,Good,43
11/15/2018,Good,34
11/16/2018,Moderate,65
11/17/2018,Moderate,71
11/18/2018,Moderate,75
11/19/2018,Unhealthy for Sensitive Groups,108
11/20/2018,Moderate,84
11/21/2018,Moderate,66
11/22/2018,Good,32
11/23/2018,Good,43
11/24/2018,Moderate,68
11/25/2018,Moderate,60
11/26/2018,Moderate,65
11/27/2018,Moderate,55
11/28/2018,Good,32
11/29/2018,Good,49
11/30/2018,Moderate,60
12/1/2018,Moderate,81
12/2/2018,Good,40
12/3/2018,Moderate,60
12/4/2018,Good,28
12/5/2018,Moderate,51
12/6/2018,Moderate,64
12/7/2018,Good,45
12/8/2018,Moderate,80
12/9/2018,Moderate,79
12/10/2018,Moderate,80
12/11/2018,Moderate,94
12/12/2018,Moderate,88
12/13/2018,Moderate,77
12/14/2018,Moderate,72
12/15/2018,Moderate,71
12/16/2018,Good,47
12/17/2018,Good,48
12/18/2018,Good,30
12/19/2018,Moderate,77
12/20/2018,Moderate,100
12/21/2018,Moderate,56
12/22/2018,Moderate,54
12/23/2018,Moderate,68
12/24/2018,Moderate,73
12/25/2018,Moderate,65
12/26/2018,Moderate,90
12/27/2018,Unhealthy for Sensitive Groups,103
12/28/2018,Moderate,65
12/29/2018,Moderate,62
12/30/2018,Moderate,78
12/31/2018,Moderate,83
