"Date","AQI Category","PM2.5 AQI Value"
"01/01/2012","Moderate","55"
"01/02/2012","Good","33"
"01/03/2012","Good","37"
"01/04/2012","Moderate","76"
"01/05/2012","Moderate","84"
"01/06/2012","Unhealthy for Sensitive Groups","102"
"01/07/2012","Moderate","77"
"01/08/2012","Moderate","83"
"01/09/2012","Moderate","60"
"01/10/2012","Moderate","100"
"01/11/2012","Moderate","99"
"01/12/2012","Moderate","56"
"01/13/2012","Good","45"
"01/14/2012","Moderate","58"
"01/15/2012","Moderate","57"
"01/16/2012","Moderate","56"
"01/17/2012","Moderate","66"
"01/18/2012","Moderate","51"
"01/19/2012","Good","49"
"01/20/2012","Moderate","52"
"01/21/2012","Moderate","55"
"01/22/2012","Moderate","64"
"01/23/2012","Moderate","65"
"01/24/2012","Moderate","90"
"01/25/2012","Moderate","73"
"01/26/2012","Moderate","89"
"01/27/2012","Moderate","85"
"01/28/2012","Moderate","59"
"01/29/2012","Good","42"
"01/30/2012","Moderate","55"
"01/31/2012","Moderate","63"
"02/01/2012","Moderate","62"
"02/02/2012","Moderate","58"
"02/03/2012","Moderate","63"
"02/04/2012","Moderate","85"
"02/05/2012","Moderate","55"
"02/06/2012","Moderate","68"
"02/07/2012","Moderate","68"
"02/08/2012","Moderate","60"
"02/09/2012","Moderate","66"
"02/10/2012","Moderate","82"
"02/11/2012","Moderate","77"
"02/12/2012","Good","49"
"02/13/2012","Moderate","65"
"02/14/2012","Moderate","62"
"02/15/2012","Moderate","77"
"02/16/2012","Moderate","85"
"02/17/2012","Moderate","78"
"02/18/2012","Moderate","63"
"02/19/2012","Moderate","55"
"02/20/2012","Good","48"
"02/21/2012","Moderate","65"
"02/22/2012","Moderate","76"
"02/23/2012","Moderate","58"
"02/24/2012","Moderate","60"
"02/25/2012","Good","36"
"02/26/2012","Good","39"
"02/27/2012","Moderate","63"
"02/28/2012","Moderate","55"
"02/29/2012","Moderate","67"
"03/01/2012","Moderate","55"
"03/02/2012","Moderate","51"
"03/03/2012","Good","48"
"03/04/2012","Moderate","56"
"03/05/2012","Moderate","54"
"03/06/2012","Moderate","57"
"03/07/2012","Moderate","59"
"03/08/2012","Moderate","55"
"03/09/2012","Good","44"
"03/10/2012","Moderate","54"
"03/11/2012","Moderate","56"
"03/12/2012","Moderate","53"
"03/13/2012","Moderate","56"
"03/14/2012","Moderate","54"
"03/15/2012","Moderate","62"
"03/16/2012","Moderate","58"
"03/17/2012","Moderate","75"
"03/18/2012","Moderate","75"
"03/19/2012","Moderate","54"
"03/20/2012","Good","36"
"03/21/2012","Moderate","51"
"03/22/2012","Moderate","76"
"03/23/2012","Moderate","82"
"03/24/2012","Moderate","52"
"03/25/2012","Moderate","52"
"03/26/2012","Moderate","51"
"03/27/2012","Moderate","76"
"03/28/2012","Moderate","63"
"03/29/2012","Good","43"
"03/30/2012","Good","47"
"03/31/2012","Good","45"
"04/01/2012","Moderate","65"
"04/02/2012","Good","33"
"04/03/2012","Moderate","53"
"04/04/2012","Moderate","58"
"04/05/2012","Good","48"
"04/06/2012","Good","40"
"04/07/2012","Good","46"
"04/08/2012","Good","47"
"04/09/2012","Moderate","54"
"04/10/2012","Moderate","53"
"04/11/2012","Good","29"
"04/12/2012","Good","26"
"04/13/2012","Good","48"
"04/14/2012","Moderate","60"
"04/15/2012","Moderate","69"
"04/16/2012","Moderate","68"
"04/17/2012","Moderate","51"
"04/18/2012","Good","43"
"04/19/2012","Moderate","64"
"04/20/2012","Moderate","52"
"04/21/2012","Good","42"
