"Date","AQI Category","Ozone AQI Value"
"01/01/2014","Good","23"
"01/02/2014","Good","24"
"01/03/2014","Good","37"
"01/04/2014","Good","35"
"01/05/2014","Good","24"
"01/06/2014","Good","31"
"01/07/2014","Good","33"
"01/08/2014","Good","29"
"01/09/2014","Good","22"
"01/10/2014","Good","4"
"01/11/2014","Good","26"
"01/12/2014","Good","26"
"01/13/2014","Good","31"
"01/14/2014","Good","27"
"01/15/2014","Good","23"
"01/16/2014","Good","23"
"01/17/2014","Good","19"
"01/18/2014","Good","27"
"01/19/2014","Good","28"
"01/20/2014","Good","29"
"01/21/2014","Good","33"
"01/22/2014","Good","35"
"01/23/2014","Good","31"
"01/24/2014","Good","32"
"01/25/2014","Good","35"
"01/26/2014","Good","39"
"01/27/2014","Good","39"
"01/28/2014","Good","35"
"01/29/2014","Good","33"
"01/30/2014","Good","30"
"01/31/2014","Good","36"
"02/01/2014","Good","32"
"02/02/2014","Good","30"
"02/03/2014","Good","29"
"02/04/2014","Good","32"
"02/05/2014","Good","36"
"02/06/2014","Good","39"
"02/07/2014","Good","37"
"02/08/2014","Good","37"
"02/09/2014","Good","33"
"02/10/2014","Good","44"
"02/11/2014","Good","46"
"02/12/2014","Good","26"
"02/13/2014","Good","34"
"02/14/2014","Good","44"
"02/15/2014","Good","44"
"02/16/2014","Good","43"
"02/17/2014","Good","39"
"02/18/2014","Good","39"
"02/19/2014","Good","39"
"02/20/2014","Good","42"
"02/21/2014","Good","24"
"02/22/2014","Good","42"
"02/23/2014","Good","46"
"02/24/2014","Good","41"
"02/25/2014","Good","37"
"02/26/2014","Good","41"
"02/27/2014","Good","40"
"02/28/2014","Good","40"
"03/01/2014","Good","35"
"03/02/2014","Good","39"
"03/03/2014","Good","40"
"03/04/2014","Good","33"
"03/05/2014","Good","39"
"03/06/2014","Good","36"
"03/07/2014","Good","27"
"03/08/2014","Good","46"
"03/09/2014","Moderate","51"
"03/10/2014","Good","42"
"03/11/2014","Good","49"
"03/12/2014","Good","46"
"03/13/2014","Good","40"
"03/14/2014","Good","40"
"03/15/2014","Good","47"
"03/16/2014","Good","44"
"03/17/2014","Good","34"
"03/18/2014","Good","38"
"03/19/2014","Good","36"
"03/20/2014","Good","43"
"03/21/2014","Good","44"
"03/22/2014","Good","50"
"03/23/2014","Good","44"
"03/24/2014","Good","39"
"03/25/2014","Good","38"
"03/26/2014","Good","43"
"03/27/2014","Good","43"
"03/28/2014","Good","45"
"03/29/2014","Good","28"
