"Date","AQI Category","Ozone AQI Value"
"01/01/1993","Good","25"
"01/02/1993","Good","27"
"01/03/1993","Good","16"
"01/04/1993","Good","29"
"01/05/1993","Good","28"
"01/06/1993","Good","11"
"01/07/1993","Good","7"
"01/08/1993","Good","12"
"01/09/1993","Good","18"
"01/10/1993","Good","18"
"01/11/1993","Good","10"
"01/12/1993","Good","22"
"01/13/1993","Good","22"
"01/14/1993","Good","10"
"01/15/1993","Good","6"
"01/16/1993","Good","6"
"01/17/1993","Good","29"
"01/18/1993","Good","27"
"01/19/1993","Good","23"
"01/20/1993","Good","22"
"01/21/1993","Good","31"
"01/22/1993","Good","31"
"01/23/1993","Good","23"
"01/24/1993","Good","37"
"01/25/1993","Good","27"
"01/26/1993","Good","23"
"01/27/1993","Good","22"
"01/28/1993","Good","24"
"01/29/1993","Good","31"
"01/30/1993","Good","28"
"01/31/1993","Good","31"
"02/01/1993","Good","28"
"02/02/1993","Good","28"
"02/03/1993","Good","21"
"02/04/1993","Good","34"
"02/05/1993","Good","26"
"02/06/1993","Good","31"
"02/07/1993","Good","33"
"02/08/1993","Good","28"
"02/09/1993","Good","32"
"02/10/1993","Good","33"
"02/11/1993","Good","33"
"02/12/1993","Good","33"
"02/13/1993","Good","30"
"02/14/1993","Good","40"
"02/15/1993","Good","33"
"02/16/1993","Good","35"
"02/17/1993","Good","38"
"02/18/1993","Good","32"
"02/19/1993","Good","31"
"02/20/1993","Good","30"
"02/21/1993","Good","26"
"02/22/1993","Good","31"
"02/23/1993","Good","40"
"02/24/1993","Good","34"
"02/25/1993","Good","31"
"02/26/1993","Good","29"
"02/27/1993","Good","35"
"02/28/1993","Good","44"
"03/01/1993","Good","39"
"03/02/1993","Good","33"
"03/03/1993","Good","47"
"03/04/1993","Good","47"
"03/05/1993","Good","37"
"03/06/1993","Good","28"
"03/07/1993","Good","38"
"03/08/1993","Good","36"
"03/09/1993","Good","36"
"03/10/1993","Good","27"
"03/11/1993","Good","35"
"03/12/1993","Good","38"
"03/13/1993","Good","42"
"03/14/1993","Good","45"
"03/15/1993","Good","45"
"03/16/1993","Good","46"
"03/17/1993","Good","37"
"03/18/1993","Good","41"
"03/19/1993","Good","40"
"03/20/1993","Good","44"
"03/21/1993","Good","39"
"03/22/1993","Good","31"
"03/23/1993","Moderate","54"
"03/24/1993","Good","49"
"03/25/1993","Good","32"
"03/26/1993","Good","40"
"03/27/1993","Good","39"
"03/28/1993","Good","33"
"03/29/1993","Good","30"
"03/30/1993","Good","44"
"03/31/1993","Good","48"
"04/01/1993","Good","45"
"04/02/1993","Good","29"
"04/03/1993","Good","39"
"04/04/1993","Good","41"
"04/05/1993","Good","46"
"04/06/1993","Good","47"
"04/07/1993","Good","46"
"04/08/1993","Good","48"
"04/09/1993","Good","44"
"04/10/1993","Good","46"
"04/11/1993","Good","46"
"04/12/1993","Good","37"
"04/13/1993","Good","40"
"04/14/1993","Good","44"
"04/15/1993","Good","50"
"04/16/1993","Good","35"
"04/17/1993","Good","40"
"04/18/1993","Good","46"
"04/19/1993","Unhealthy for Sensitive Groups","108"
"04/20/1993","Moderate","90"
"04/21/1993","Moderate","61"
"04/22/1993","Good","39"
"04/23/1993","Good","44"
"04/24/1993","Moderate","97"
"04/25/1993","Unhealthy for Sensitive Groups","136"
"04/26/1993","Good","48"
"04/27/1993","Moderate","51"
"04/28/1993","Good","48"
"04/29/1993","Moderate","67"
"04/30/1993","Moderate","93"
"05/01/1993","Unhealthy","159"
"05/02/1993","Unhealthy","164"
"05/03/1993","Unhealthy for Sensitive Groups","105"
"05/04/1993","Good","37"
"05/05/1993","Good","28"
"05/06/1993","Moderate","97"
"05/07/1993","Moderate","87"
"05/08/1993","Unhealthy for Sensitive Groups","119"
"05/09/1993","Unhealthy","164"
"05/10/1993","Very Unhealthy","201"
"05/11/1993","Very Unhealthy","205"
"05/12/1993","Unhealthy for Sensitive Groups","147"
"05/13/1993","Good","35"
"05/14/1993","Moderate","71"
"05/15/1993","Unhealthy","156"
"05/16/1993","Unhealthy for Sensitive Groups","126"
"05/17/1993","Moderate","58"
"05/18/1993","Good","47"
"05/19/1993","Good","45"
"05/20/1993","Good","43"
"05/21/1993","Good","44"
"05/22/1993","Moderate","61"
"05/23/1993","Moderate","90"
"05/24/1993","Unhealthy","159"
"05/25/1993","Unhealthy for Sensitive Groups","147"
"05/26/1993","Moderate","74"
"05/27/1993","Moderate","84"
"05/28/1993","Unhealthy","172"
"05/29/1993","Good","46"
"05/30/1993","Good","48"
"05/31/1993","Good","46"
"06/01/1993","Moderate","51"
"06/02/1993","Moderate","64"
"06/03/1993","Moderate","93"
"06/04/1993","Moderate","54"
"06/05/1993","Moderate","64"
"06/06/1993","Good","50"
"06/07/1993","Unhealthy for Sensitive Groups","133"
"06/08/1993","Unhealthy for Sensitive Groups","119"
"06/09/1993","Very Unhealthy","204"
"06/10/1993","Unhealthy for Sensitive Groups","150"
"06/11/1993","Unhealthy for Sensitive Groups","126"
"06/12/1993","Good","49"
"06/13/1993","Moderate","67"
"06/14/1993","Moderate","84"
"06/15/1993","Unhealthy for Sensitive Groups","108"
"06/16/1993","Unhealthy","159"
"06/17/1993","Unhealthy","192"
"06/18/1993","Very Unhealthy","223"
"06/19/1993","Very Unhealthy","210"
"06/20/1993","Unhealthy","200"
"06/21/1993","Unhealthy for Sensitive Groups","143"
"06/22/1993","Unhealthy for Sensitive Groups","112"
"06/23/1993","Moderate","90"
"06/24/1993","Unhealthy for Sensitive Groups","126"
"06/25/1993","Unhealthy","161"
"06/26/1993","Unhealthy for Sensitive Groups","136"
"06/27/1993","Unhealthy","177"
"06/28/1993","Unhealthy","177"
"06/29/1993","Unhealthy","187"
"06/30/1993","Very Unhealthy","202"
"07/01/1993","Unhealthy for Sensitive Groups","133"
"07/02/1993","Good","40"
"07/03/1993","Unhealthy","177"
"07/04/1993","Unhealthy","195"
"07/05/1993","Very Unhealthy","204"
"07/06/1993","Unhealthy for Sensitive Groups","140"
"07/07/1993","Very Unhealthy","204"
"07/08/1993","Very Unhealthy","220"
"07/09/1993","Very Unhealthy","204"
"07/10/1993","Very Unhealthy","202"
"07/11/1993","Very Unhealthy","202"
"07/12/1993","Unhealthy","164"
"07/13/1993","Very Unhealthy","202"
"07/14/1993","Unhealthy","174"
"07/15/1993","Unhealthy","154"
"07/16/1993","Unhealthy for Sensitive Groups","122"
"07/17/1993","Moderate","61"
"07/18/1993","Moderate","100"
"07/19/1993","Good","43"
"07/20/1993","Unhealthy","151"
"07/21/1993","Moderate","80"
"07/22/1993","Moderate","77"
"07/23/1993","Moderate","97"
"07/24/1993","Unhealthy","179"
"07/25/1993","Very Unhealthy","216"
"07/26/1993","Good","46"
"07/27/1993","Unhealthy","179"
"07/28/1993","Unhealthy","200"
"07/29/1993","Unhealthy","161"
"07/30/1993","Moderate","51"
"07/31/1993","Moderate","71"
"08/01/1993","Unhealthy for Sensitive Groups","115"
"08/02/1993","Very Unhealthy","203"
"08/03/1993","Unhealthy","190"
"08/04/1993","Unhealthy","197"
"08/05/1993","Unhealthy for Sensitive Groups","105"
"08/06/1993","Moderate","77"
"08/07/1993","Unhealthy for Sensitive Groups","105"
"08/08/1993","Unhealthy for Sensitive Groups","147"
"08/09/1993","Unhealthy for Sensitive Groups","122"
"08/10/1993","Unhealthy for Sensitive Groups","126"
"08/11/1993","Moderate","54"
"08/12/1993","Unhealthy for Sensitive Groups","133"
"08/13/1993","Unhealthy","190"
"08/14/1993","Unhealthy","151"
"08/15/1993","Unhealthy","174"
"08/16/1993","Unhealthy for Sensitive Groups","112"
"08/17/1993","Moderate","71"
"08/18/1993","Good","50"
"08/19/1993","Unhealthy","151"
