GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0600000US4202979480,4202979480,"Uwchlan township, Chester County, Pennsylvania",1450,177,107,92,135,98,223,101,252,120,259,122,115,68,78,58,44,40,135,65,102,90
0600000US4202979544,4202979544,"Valley township, Chester County, Pennsylvania",234,95,9,15,22,25,37,45,0,109,24,28,9,15,32,34,19,29,82,68,0,109
0600000US4202980616,4202980616,"Wallace township, Chester County, Pennsylvania",123,42,0,109,19,16,6,10,11,12,43,30,7,12,0,109,0,109,19,16,18,15
0600000US4202981160,4202981160,"Warwick township, Chester County, Pennsylvania",208,58,7,11,24,19,33,29,21,18,31,35,12,14,6,10,36,27,19,30,19,14
0600000US4202982544,4202982544,"West Bradford township, Chester County, Pennsylvania",193,107,64,74,0,109,30,31,41,45,0,109,43,64,0,109,0,109,0,109,15,24
0600000US4202982576,4202982576,"West Brandywine township, Chester County, Pennsylvania",186,92,0,109,26,30,0,109,78,58,0,109,16,26,0,109,0,109,50,47,16,26
0600000US4202982664,4202982664,"West Caln township, Chester County, Pennsylvania",301,136,0,109,16,24,75,66,82,92,49,62,13,22,14,20,38,61,0,109,14,22
0600000US4202982704,4202982704,"West Chester borough, Chester County, Pennsylvania",3705,290,90,68,126,68,400,126,500,148,418,143,342,130,127,81,242,110,1177,204,283,123
0600000US4202982936,4202982936,"West Fallowfield township, Chester County, Pennsylvania",161,62,0,109,0,109,46,44,0,109,0,109,12,14,0,109,0,109,90,47,13,13
0600000US4202983080,4202983080,"West Goshen township, Chester County, Pennsylvania",1896,198,20,24,94,75,309,144,201,107,177,98,96,77,144,101,285,150,467,157,103,98
0600000US4202983104,4202983104,"West Grove borough, Chester County, Pennsylvania",234,65,0,109,14,14,28,33,54,42,16,16,21,31,37,33,18,19,46,33,0,109
0600000US4202983464,4202983464,"West Marlborough township, Chester County, Pennsylvania",135,32,15,10,21,14,20,14,22,13,3,4,4,6,20,15,5,8,15,14,10,9
0600000US4202983664,4202983664,"West Nantmeal township, Chester County, Pennsylvania",118,38,10,11,3,5,7,9,16,12,8,6,4,6,6,7,28,34,21,18,15,13
0600000US4202983712,4202983712,"West Nottingham township, Chester County, Pennsylvania",128,63,5,7,34,40,5,7,12,14,23,34,0,109,13,21,5,9,19,18,12,13
0600000US4202983832,4202983832,"West Pikeland township, Chester County, Pennsylvania",34,31,0,109,0,109,0,109,10,18,0,109,0,109,0,109,0,109,12,18,12,18
0600000US4202983968,4202983968,"West Sadsbury township, Chester County, Pennsylvania",129,55,0,109,40,36,12,13,27,22,5,7,26,35,0,109,5,8,0,109,14,15
0600000US4202984104,4202984104,"Westtown township, Chester County, Pennsylvania",655,138,9,16,42,58,122,77,173,94,25,30,17,27,0,109,56,43,138,66,73,57
0600000US4202984160,4202984160,"West Vincent township, Chester County, Pennsylvania",92,50,0,109,13,14,9,15,18,21,4,7,0,109,0,109,10,15,0,109,38,34
0600000US4202984192,4202984192,"West Whiteland township, Chester County, Pennsylvania",2110,172,47,40,264,125,569,180,481,141,199,105,117,63,56,45,73,52,230,106,74,68
0600000US4202985352,4202985352,"Willistown township, Chester County, Pennsylvania",376,113,0,109,9,15,31,28,41,47,38,34,39,48,63,57,0,109,108,72,47,35
0600000US4204500676,4204500676,"Aldan borough, Delaware County, Pennsylvania",271,98,48,64,14,23,61,57,43,35,27,30,0,109,0,109,12,17,66,39,0,109
0600000US4204503336,4204503336,"Aston township, Delaware County, Pennsylvania",584,122,0,109,23,30,98,68,54,55,22,27,36,34,20,24,55,54,169,94,107,60
0600000US4204506024,4204506024,"Bethel township, Delaware County, Pennsylvania",62,56,0,109,0,109,10,16,0,109,0,109,0,109,18,27,0,109,16,27,18,28
0600000US4204509080,4204509080,"Brookhaven borough, Delaware County, Pennsylvania",516,129,14,23,48,71,56,51,104,61,39,40,0,109,25,27,44,46,161,106,25,30
0600000US4204512442,4204512442,"Chadds Ford township, Delaware County, Pennsylvania",151,63,0,109,23,37,22,26,8,12,7,12,0,109,0,109,29,29,62,35,0,109
0600000US4204513208,4204513208,"Chester city, Delaware County, Pennsylvania",7672,467,194,91,520,230,432,137,615,182,897,234,821,181,203,103,825,211,2331,351,834,232
0600000US4204513212,4204513212,"Chester township, Delaware County, Pennsylvania",651,140,14,19,81,53,135,81,55,49,156,99,0,109,16,18,50,36,131,71,13,20
0600000US4204513232,4204513232,"Chester Heights borough, Delaware County, Pennsylvania",264,50,7,10,37,22,42,26,19,18,17,16,39,37,13,14,13,14,72,31,5,8
0600000US4204514264,4204514264,"Clifton Heights borough, Delaware County, Pennsylvania",1134,183,0,109,26,30,90,74,172,113,117,111,111,86,136,112,88,61,385,118,9,14
0600000US4204515232,4204515232,"Collingdale borough, Delaware County, Pennsylvania",1027,178,0,109,0,109,82,54,106,67,26,30,126,77,86,64,101,73,441,128,59,34
0600000US4204515432,4204515432,"Colwyn borough, Delaware County, Pennsylvania",212,58,0,109,3,5,8,13,59,43,27,31,27,28,24,27,21,32,43,34,0,109
0600000US4204515488,4204515488,"Concord township, Delaware County, Pennsylvania",931,161,9,14,47,33,113,60,148,82,161,83,90,74,85,54,76,58,152,76,50,37
0600000US4204518152,4204518152,"Darby borough, Delaware County, Pennsylvania",1511,180,10,16,73,56,111,64,117,82,116,80,154,77,90,54,154,72,641,149,45,31
0600000US4204518160,4204518160,"Darby township, Delaware County, Pennsylvania",823,110,15,17,50,37,105,73,89,46,113,76,77,66,45,53,93,63,163,87,73,54
0600000US4204521384,4204521384,"East Lansdowne borough, Delaware County, Pennsylvania",224,63,8,13,25,30,30,29,85,56,8,11,19,30,22,34,7,12,15,14,5,8
0600000US4204522296,4204522296,"Eddystone borough, Delaware County, Pennsylvania",390,77,6,10,47,39,30,24,46,36,54,47,39,33,43,34,25,30,73,40,27,21
0600000US4204522584,4204522584,"Edgmont township, Delaware County, Pennsylvania",421,107,13,20,0,109,27,30,36,33,58,61,13,20,14,22,37,34,160,71,63,47
0600000US4204526408,4204526408,"Folcroft borough, Delaware County, Pennsylvania",551,121,33,49,63,58,58,65,93,66,76,52,87,68,12,18,29,28,100,77,0,109
0600000US4204529720,4204529720,"Glenolden borough, Delaware County, Pennsylvania",906,151,8,14,29,38,142,58,97,56,98,67,47,52,53,42,16,25,399,119,17,19
0600000US4204533144,4204533144,"Haverford township, Delaware County, Pennsylvania",2656,294,107,53,301,128,363,115,392,121,360,134,154,60,114,76,191,83,553,159,121,74
0600000US4204541440,4204541440,"Lansdowne borough, Delaware County, Pennsylvania",1440,223,89,50,170,96,294,106,159,83,115,91,84,67,58,48,134,66,303,140,34,39
0600000US4204544888,4204544888,"Lower Chichester township, Delaware County, Pennsylvania",413,116,55,58,40,61,41,49,58,68,11,17,0,109,55,70,23,25,107,80,23,25
0600000US4204547344,4204547344,"Marcus Hook borough, Delaware County, Pennsylvania",414,97,27,36,66,43,42,35,35,33,31,24,38,33,0,109,86,57,75,46,14,15
0600000US4204547616,4204547616,"Marple township, Delaware County, Pennsylvania",1254,164,47,43,163,103,172,69,160,66,203,129,85,52,36,38,57,33,304,104,27,19
0600000US4204548480,4204548480,"Media borough, Delaware County, Pennsylvania",1644,219,57,34,267,119,164,89,191,89,135,83,65,41,41,28,140,89,494,146,90,71
0600000US4204549136,4204549136,"Middletown township, Delaware County, Pennsylvania",1302,163,20,23,79,54,40,29,125,55,97,54,73,54,52,35,86,53,676,135,54,40
0600000US4204549504,4204549504,"Millbourne borough, Delaware County, Pennsylvania",226,41,10,10,31,20,44,29,30,23,36,24,34,24,8,12,0,109,33,18,0,109
0600000US4204551176,4204551176,"Morton borough, Delaware County, Pennsylvania",495,75,13,21,83,40,98,62,42,27,42,28,34,24,8,12,56,36,88,40,31,33
0600000US4204553104,4204553104,"Nether Providence township, Delaware County, Pennsylvania",580,137,0,109,67,62,73,65,76,51,37,32,0,109,10,16,38,55,186,99,93,60
0600000US4204554224,4204554224,"Newtown township, Delaware County, Pennsylvania",763,124,21,24,81,59,77,44,94,58,54,40,47,36,104,69,68,57,139,56,78,42
0600000US4204555664,4204555664,"Norwood borough, Delaware County, Pennsylvania",503,95,0,109,50,45,56,51,80,70,63,54,42,52,48,52,38,49,111,65,15,19
0600000US4204558176,4204558176,"Parkside borough, Delaware County, Pennsylvania",156,52,0,109,8,11,27,26,11,13,8,14,0,109,7,11,0,109,71,39,24,20
0600000US4204562792,4204562792,"Prospect Park borough, Delaware County, Pennsylvania",967,189,123,150,173,90,151,121,34,31,184,96,85,72,28,31,35,34,103,86,51,52
0600000US4204563264,4204563264,"Radnor township, Delaware County, Pennsylvania",3416,320,117,63,397,133,346,118,182,70,265,91,254,124,236,120,157,72,1208,228,254,102
0600000US4204564800,4204564800,"Ridley township, Delaware County, Pennsylvania",2662,272,88,74,281,130,399,128,207,84,372,164,193,109,110,78,225,91,564,197,223,100
0600000US4204564832,4204564832,"Ridley Park borough, Delaware County, Pennsylvania",936,125,34,41,142,88,110,59,140,86,95,69,124,84,71,42,66,38,108,71,46,47
0600000US4204566192,4204566192,"Rose Valley borough, Delaware County, Pennsylvania",16,15,0,109,3,4,0,109,2,4,0,109,0,109,0,109,0,109,8,13,3,4
0600000US4204566928,4204566928,"Rutledge borough, Delaware County, Pennsylvania",41,17,3,5,14,14,0,109,7,7,2,4,6,8,3,4,3,4,3,5,0,109
0600000US4204569752,4204569752,"Sharon Hill borough, Delaware County, Pennsylvania",745,196,13,23,52,52,85,85,81,68,0,109,42,65,13,21,55,61,322,158,82,59
0600000US4204573032,4204573032,"Springfield township, Delaware County, Pennsylvania",454,101,11,19,48,39,43,34,19,22,44,40,20,23,33,32,49,41,114,59,73,45
0600000US4204575648,4204575648,"Swarthmore borough, Delaware County, Pennsylvania",447,130,9,15,77,52,111,85,120,82,13,21,11,18,0,109,17,27,61,47,28,33
0600000US4204576576,4204576576,"Thornbury township, Delaware County, Pennsylvania",224,102,0,109,0,109,85,81,0,109,26,30,0,109,0,109,23,28,0,109,90,50
0600000US4204576792,4204576792,"Tinicum township, Delaware County, Pennsylvania",518,91,17,25,89,59,84,56,126,62,47,41,6,13,21,25,51,45,44,35,33,29
0600000US4204577288,4204577288,"Trainer borough, Delaware County, Pennsylvania",173,41,0,109,20,22,19,19,36,21,14,12,17,17,6,8,8,7,41,24,12,15
0600000US4204578712,4204578712,"Upland borough, Delaware County, Pennsylvania",439,94,37,24,27,33,86,53,41,26,73,58,24,30,10,12,8,13,119,57,14,19
0600000US4204578776,4204578776,"Upper Chichester township, Delaware County, Pennsylvania",1741,202,60,67,98,63,221,109,205,116,242,93,204,120,87,57,140,90,335,126,149,85
0600000US4204579000,4204579000,"Upper Darby township, Delaware County, Pennsylvania",11317,598,473,162,877,169,1485,230,1682,270,1125,230,747,190,764,225,994,219,2623,363,547,205
0600000US4204579248,4204579248,"Upper Providence township, Delaware County, Pennsylvania",1093,161,50,44,175,80,175,85,145,78,178,84,13,20,80,67,61,60,168,94,48,61
0600000US4204586968,4204586968,"Yeadon borough, Delaware County, Pennsylvania",1584,221,53,52,85,51,283,110,259,127,139,70,222,98,91,60,193,82,186,91,73,59
0600000US4209100156,4209100156,"Abington township, Montgomery County, Pennsylvania",4237,283,85,55,278,106,695,158,613,167,324,106,221,92,248,106,395,142,1096,207,282,104
0600000US4209102264,4209102264,"Ambler borough, Montgomery County, Pennsylvania",1219,191,30,30,21,24,186,101,192,97,71,50,146,80,187,109,105,69,257,108,24,27
0600000US4209108568,4209108568,"Bridgeport borough, Montgomery County, Pennsylvania",1183,189,0,109,38,38,126,72,173,83,172,123,116,84,114,70,120,99,281,113,43,42
0600000US4209109696,4209109696,"Bryn Athyn borough, Montgomery County, Pennsylvania",85,32,2,3,10,14,13,16,8,12,6,10,8,12,0,109,0,109,12,14,26,21
0600000US4209112968,4209112968,"Cheltenham township, Montgomery County, Pennsylvania",4700,326,77,61,271,98,508,152,581,162,608,183,334,187,323,134,388,162,1197,266,413,160
0600000US4209115192,4209115192,"Collegeville borough, Montgomery County, Pennsylvania",336,99,8,12,42,40,53,47,44,36,46,30,22,26,8,12,27,29,48,37,38,46
0600000US4209115848,4209115848,"Conshohocken borough, Montgomery County, Pennsylvania",1799,246,72,76,279,147,333,146,141,81,181,125,176,92,59,59,190,129,323,139,45,39
0600000US4209119672,4209119672,"Douglass township, Montgomery County, Pennsylvania",824,128,26,29,28,36,66,41,89,61,124,76,63,39,49,40,0,109,249,106,130,100
0600000US4209121200,4209121200,"East Greenville borough, Montgomery County, Pennsylvania",317,86,25,23,7,10,56,30,36,36,58,36,12,13,15,16,6,9,89,53,13,15
0600000US4209121600,4209121600,"East Norriton township, Montgomery County, Pennsylvania",976,150,30,29,84,56,90,48,226,92,116,67,85,45,34,29,119,66,171,73,21,22
0600000US4209127280,4209127280,"Franconia township, Montgomery County, Pennsylvania",887,150,39,31,19,22,104,50,145,84,69,60,75,80,44,38,84,57,244,84,64,49
0600000US4209131088,4209131088,"Green Lane borough, Montgomery County, Pennsylvania",59,29,10,13,7,8,0,109,14,17,13,16,0,109,0,109,4,6,11,12,0,109
0600000US4209133088,4209133088,"Hatboro borough, Montgomery County, Pennsylvania",961,159,33,30,81,72,92,50,160,84,209,97,105,83,11,17,44,32,202,85,24,27
0600000US4209133112,4209133112,"Hatfield borough, Montgomery County, Pennsylvania",633,74,18,19,88,44,143,62,80,38,61,40,30,22,9,11,23,24,141,57,40,29
0600000US4209133120,4209133120,"Hatfield township, Montgomery County, Pennsylvania",2050,174,52,49,210,81,315,104,312,94,260,121,180,71,130,56,208,105,292,100,91,59
0600000US4209135808,4209135808,"Horsham township, Montgomery County, Pennsylvania",2055,265,34,39,316,147,286,143,301,138,178,80,216,130,105,63,138,83,308,129,173,110
0600000US4209138000,4209138000,"Jenkintown borough, Montgomery County, Pennsylvania",661,157,0,109,110,99,87,77,102,67,44,39,46,47,72,75,8,13,176,103,16,26
0600000US4209141432,4209141432,"Lansdale borough, Montgomery County, Pennsylvania",2686,230,103,65,248,116,365,103,475,128,346,122,172,86,149,85,214,69,600,136,14,18
0600000US4209143312,4209143312,"Limerick township, Montgomery County, Pennsylvania",1170,162,15,24,86,46,146,67,185,86,160,72,207,96,0,109,185,81,162,76,24,26
0600000US4209144912,4209144912,"Lower Frederick township, Montgomery County, Pennsylvania",135,76,0,109,0,109,0,109,11,17,32,29,10,16,0,109,0,109,48,35,34,52
0600000US4209144920,4209144920,"Lower Gwynedd township, Montgomery County, Pennsylvania",984,185,15,23,9,16,128,94,22,25,86,58,43,53,44,32,88,45,435,123,114,83
0600000US4209144976,4209144976,"Lower Merion township, Montgomery County, Pennsylvania",5437,339,290,107,616,158,703,165,810,192,408,123,345,120,213,113,523,163,1220,186,309,126
0600000US4209145008,4209145008,"Lower Moreland township, Montgomery County, Pennsylvania",440,95,10,16,20,25,34,28,27,24,62,38,16,29,20,22,93,58,124,60,34,34
0600000US4209145072,4209145072,"Lower Pottsgrove township, Montgomery County, Pennsylvania",817,142,29,49,86,71,135,57,66,63,41,37,11,17,59,51,167,104,195,96,28,33
0600000US4209145080,4209145080,"Lower Providence township, Montgomery County, Pennsylvania",1679,211,30,29,123,73,259,108,318,105,85,42,221,118,125,63,104,58,327,105,87,49
0600000US4209145096,4209145096,"Lower Salford township, Montgomery County, Pennsylvania",1247,154,45,42,147,80,177,92,271,110,137,63,108,74,32,30,104,57,151,53,75,61
0600000US4209147592,4209147592,"Marlborough township, Montgomery County, Pennsylvania",130,70,0,109,0,109,61,55,15,16,0,109,0,109,0,109,22,29,0,109,32,38
0600000US4209150640,4209150640,"Montgomery township, Montgomery County, Pennsylvania",492,196,12,19,59,45,0,109,67,55,81,50,0,109,0,109,183,166,35,29,55,37
0600000US4209152664,4209152664,"Narberth borough, Montgomery County, Pennsylvania",641,121,9,14,86,50,136,70,92,57,69,55,64,51,7,13,52,53,96,68,30,30
0600000US4209153664,4209153664,"New Hanover township, Montgomery County, Pennsylvania",124,65,12,19,16,28,9,15,8,13,23,25,0,109,0,109,0,109,0,109,56,57
0600000US4209154656,4209154656,"Norristown borough, Montgomery County, Pennsylvania",6547,417,141,88,694,212,635,200,807,218,696,205,635,184,345,123,717,205,1689,303,188,105
0600000US4209155512,4209155512,"North Wales borough, Montgomery County, Pennsylvania",357,89,0,109,12,19,71,41,51,41,67,71,13,23,8,14,13,21,107,74,15,24
