GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",81,32,14,15,15,17,8,13,7,11,12,16,0,92,0,92,6,6,13,11,6,8
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",309,81,0,92,32,35,22,23,25,19,0,92,31,34,21,33,12,15,136,63,30,41
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",790,142,0,92,37,37,77,49,65,54,104,73,92,68,28,44,98,82,239,107,50,46
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",881,173,0,92,124,74,132,66,195,93,127,96,74,73,18,20,50,51,105,53,56,63
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",1450,144,9,15,60,53,164,62,121,49,206,98,148,81,55,37,134,71,424,117,129,66
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",1805,261,75,80,180,116,236,125,173,94,225,118,226,106,130,101,121,63,365,146,74,59
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",127,63,11,16,0,92,6,9,23,24,0,92,9,16,0,92,17,26,34,45,27,22
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",311,120,0,92,87,93,13,22,48,54,15,24,0,92,63,70,10,15,44,39,31,29
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",192,64,0,92,8,13,11,17,24,22,28,25,10,14,8,12,46,67,47,49,10,16
