GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",101,45,9,14,19,21,8,13,0,12,9,14,8,13,0,12,13,11,28,24,7,10
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",281,68,0,12,0,12,8,11,16,16,7,10,56,35,11,12,45,42,85,44,53,37
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",892,125,8,13,113,66,74,47,241,98,70,41,55,37,66,54,62,48,184,76,19,20
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",928,204,41,38,107,63,140,81,176,106,94,65,97,83,32,26,57,46,105,79,79,65
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",1356,190,22,28,87,52,113,49,58,34,197,75,112,65,100,50,236,100,341,103,90,62
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",1808,275,57,50,55,40,170,113,399,159,173,97,89,53,243,117,115,94,416,139,91,90
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",169,72,0,17,13,21,60,57,23,24,12,21,23,26,0,17,10,15,9,14,19,22
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",715,142,14,19,78,69,87,53,126,69,74,55,53,34,39,35,97,65,122,76,25,23
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",416,101,25,29,15,13,74,74,46,39,66,52,74,66,59,47,18,22,39,26,0,12
0600000US3400517440,3400517440,"Delran township, Burlington County, New Jersey",1525,211,47,52,172,114,235,120,289,136,123,96,116,83,81,59,77,73,327,111,58,75
0600000US3400518790,3400518790,"Eastampton township, Burlington County, New Jersey",623,121,30,51,52,60,39,51,72,62,166,99,35,42,69,65,48,58,52,49,60,56
0600000US3400520050,3400520050,"Edgewater Park township, Burlington County, New Jersey",1416,177,0,17,104,106,144,81,165,107,301,159,85,83,37,35,251,142,254,137,75,67
0600000US3400522110,3400522110,"Evesham township, Burlington County, New Jersey",4278,261,72,46,293,128,511,114,825,185,368,110,271,112,216,80,359,113,1213,189,150,69
