GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate number of vehicles available:,Margin of Error; Aggregate number of vehicles available:,Estimate; Aggregate number of vehicles available: - Owner occupied,Margin of Error; Aggregate number of vehicles available: - Owner occupied,Estimate; Aggregate number of vehicles available: - Renter occupied,Margin of Error; Aggregate number of vehicles available: - Renter occupied
0500000US34005,34005,"Burlington County, New Jersey",320300,6568,263839,8217,56461,4721
0500000US34007,34007,"Camden County, New Jersey",309816,7483,243778,7743,66038,4826
0500000US34015,34015,"Gloucester County, New Jersey",196749,5149,171166,5466,25583,3233
0500000US34021,34021,"Mercer County, New Jersey",220452,7120,169140,7799,51312,4322
0500000US42017,42017,"Bucks County, Pennsylvania",448529,7492,372722,8575,75807,5205
0500000US42029,42029,"Chester County, Pennsylvania",362879,7163,301129,7263,61750,5318
0500000US42045,42045,"Delaware County, Pennsylvania",332608,6840,270562,7085,62046,3951
0500000US42091,42091,"Montgomery County, Pennsylvania",567213,8823,453859,8113,113354,5954
0500000US42101,42101,"Philadelphia County, Pennsylvania",577068,11711,381469,10627,195599,8392
