GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",466,62,289,54,8,8,37,21,54,25,59,28,40,23,26,17,12,10,14,16,30,18,9,13,177,46,38,20,36,23,18,15,20,18,9,8,9,8,3,4,0,12,35,26,9,14
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",659,76,486,66,24,18,45,20,89,30,71,39,36,21,51,30,50,31,19,16,101,44,0,12,173,59,24,18,44,33,16,15,30,31,12,13,5,9,9,10,14,21,19,30,0,12
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",902,121,646,110,40,52,56,38,142,55,137,69,35,30,63,43,26,18,38,38,101,61,8,12,256,66,85,44,77,38,38,33,21,26,9,14,0,12,0,12,17,19,9,14,0,12
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",3330,248,2435,221,143,78,276,115,409,134,310,106,380,130,198,105,127,75,125,75,467,174,0,19,895,199,296,108,144,81,121,69,77,54,39,34,73,49,62,53,35,34,48,41,0,19
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",2434,227,1561,188,47,34,130,51,319,111,376,134,246,106,113,59,57,30,101,58,172,79,0,17,873,151,171,62,143,55,108,47,67,38,100,56,76,48,14,17,37,38,137,68,20,22
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",6024,283,4631,277,122,76,567,155,918,188,770,136,651,147,382,128,296,124,369,144,556,186,0,22,1393,221,275,94,287,88,230,97,132,78,109,87,46,40,111,87,71,62,132,104,0,22
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",1686,163,1350,159,77,55,136,61,241,85,361,92,178,91,104,47,95,61,37,30,121,75,0,17,336,81,67,45,50,29,72,40,25,23,20,22,28,23,0,17,9,14,48,34,17,24
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",5041,195,3287,183,127,70,580,129,568,110,604,104,351,95,231,68,166,83,307,96,322,86,31,40,1754,170,366,100,401,98,240,69,150,61,145,64,81,31,44,25,88,35,227,76,12,12
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",1414,119,1023,129,47,33,94,41,209,63,176,77,200,84,63,48,50,42,20,22,164,66,0,12,391,79,85,52,55,38,82,42,29,27,26,32,40,30,16,17,28,27,21,24,9,12
