GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0600000US4202903656,4202903656,"Avondale borough, Chester County, Pennsylvania",207,47,149,42,2,4,5,7,42,35,11,16,15,10,32,28,9,10,7,8,26,23,0,10,58,27,22,21,15,14,9,8,4,5,5,8,0,10,0,10,0,10,3,5,0,10
0600000US4202906544,4202906544,"Birmingham township, Chester County, Pennsylvania",1393,100,908,92,126,51,89,43,252,79,149,54,139,69,67,41,7,11,26,25,53,35,0,10,485,113,247,65,38,28,52,34,20,17,20,22,20,22,9,14,0,10,79,67,0,10
0600000US4202910824,4202910824,"Caln township, Chester County, Pennsylvania",3758,284,2744,276,133,70,389,146,491,159,374,107,440,160,222,98,199,119,276,135,220,98,0,16,1014,214,277,108,197,106,161,85,172,82,18,29,41,39,14,23,49,52,85,73,0,16
0600000US4202912744,4202912744,"Charlestown township, Chester County, Pennsylvania",1737,97,1316,115,149,57,219,84,223,85,201,66,120,51,83,39,60,49,52,31,209,63,0,15,421,92,187,65,76,44,64,46,15,17,8,12,0,15,9,14,8,12,46,42,8,12
0600000US4202914712,4202914712,"Coatesville city, Chester County, Pennsylvania",1619,163,1169,146,53,41,178,85,133,65,254,76,91,47,130,57,58,47,140,75,132,59,0,16,450,83,96,43,99,48,36,26,66,34,7,9,10,13,25,22,24,22,87,40,0,16
0600000US4202919752,4202919752,"Downingtown borough, Chester County, Pennsylvania",1943,183,1261,156,66,37,180,75,257,74,163,64,155,64,193,85,83,60,86,78,78,43,0,15,682,127,264,86,99,48,52,43,58,55,52,45,32,33,15,22,32,30,78,86,0,15
0600000US4202920824,4202920824,"East Bradford township, Chester County, Pennsylvania",2962,319,2159,293,210,85,391,111,380,150,283,105,276,93,222,102,97,56,100,58,177,83,23,25,803,146,388,107,117,64,91,68,0,16,52,44,63,44,38,39,15,24,39,37,0,16
0600000US4202920864,4202920864,"East Brandywine township, Chester County, Pennsylvania",2368,110,1793,145,69,54,206,99,414,133,395,131,187,73,143,72,92,60,39,37,234,85,14,21,575,145,264,104,164,79,33,31,11,18,37,41,16,26,0,15,12,19,38,38,0,15
0600000US4202920920,4202920920,"East Caln township, Chester County, Pennsylvania",1260,142,855,113,28,23,148,71,160,66,158,60,74,45,80,71,64,50,69,51,74,51,0,10,405,117,191,81,82,61,18,30,36,35,0,10,29,25,0,10,19,29,16,27,14,22
0600000US4202921008,4202921008,"East Coventry township, Chester County, Pennsylvania",2022,175,1373,178,103,78,127,75,191,81,271,100,148,82,123,79,115,62,112,59,183,96,0,15,649,134,183,79,174,88,118,64,80,68,14,22,23,27,23,25,12,19,22,26,0,15
0600000US4202921104,4202921104,"East Fallowfield township, Chester County, Pennsylvania",2446,118,1919,131,69,52,200,81,269,117,452,150,251,110,176,80,109,65,158,90,210,107,25,38,527,114,147,65,121,67,58,49,15,26,15,24,0,15,32,36,59,74,80,70,0,15
0600000US4202921192,4202921192,"East Goshen township, Chester County, Pennsylvania",5878,271,3802,286,202,75,507,126,729,195,635,160,503,149,282,107,206,82,169,84,543,127,26,40,2076,235,531,141,417,109,283,89,217,87,185,80,43,35,90,50,81,48,217,79,12,19
0600000US4202921480,4202921480,"East Marlborough township, Chester County, Pennsylvania",2278,150,1680,154,73,52,213,74,207,83,255,86,297,92,169,90,129,81,114,84,223,103,0,15,598,136,215,75,173,81,83,47,63,53,27,32,14,22,6,11,0,15,10,17,7,11
0600000US4202921576,4202921576,"East Nantmeal township, Chester County, Pennsylvania",572,37,352,46,43,26,32,16,84,30,50,18,36,16,33,16,7,8,25,13,42,22,0,10,220,35,72,22,32,14,22,12,8,7,14,9,15,17,15,11,8,7,34,21,0,10
0600000US4202921624,4202921624,"East Nottingham township, Chester County, Pennsylvania",2424,246,1997,244,96,57,211,82,214,77,550,142,175,70,292,98,101,63,202,109,156,78,0,15,427,118,140,55,79,55,84,53,38,40,13,21,0,15,9,14,21,24,43,38,0,15
0600000US4202921696,4202921696,"East Pikeland township, Chester County, Pennsylvania",2528,270,1779,212,119,68,220,93,396,131,288,105,280,114,132,87,138,62,66,48,140,73,0,15,749,182,131,71,140,79,90,103,148,91,49,48,18,29,45,44,15,23,113,63,0,15
0600000US4202921928,4202921928,"Easttown township, Chester County, Pennsylvania",3298,163,2360,171,325,87,299,107,577,117,178,77,189,91,187,57,79,48,160,72,366,118,0,16,938,154,280,96,182,85,109,58,65,45,54,35,24,28,32,26,58,42,117,62,17,26
0600000US4202922000,4202922000,"East Vincent township, Chester County, Pennsylvania",1922,142,1337,138,32,38,224,89,284,105,169,82,237,110,146,75,122,79,29,31,94,63,0,15,585,129,227,110,75,56,79,57,42,39,76,47,14,22,15,23,13,22,29,34,15,24
0600000US4202922056,4202922056,"East Whiteland township, Chester County, Pennsylvania",2434,233,1851,209,86,47,249,87,400,124,428,113,140,75,88,51,48,40,161,85,246,83,5,8,583,132,194,70,149,64,11,19,83,52,18,29,0,16,13,20,39,40,51,50,25,31
0600000US4202923032,4202923032,"Elk township, Chester County, Pennsylvania",518,49,396,38,23,19,37,15,70,24,79,21,48,19,33,20,28,18,21,15,57,22,0,10,122,28,34,15,13,12,18,11,5,5,9,9,9,8,16,16,10,14,8,8,0,10
0600000US4202923440,4202923440,"Elverson borough, Chester County, Pennsylvania",474,60,270,51,19,17,13,10,43,23,82,33,25,14,37,22,12,8,6,7,30,15,3,6,204,37,41,19,49,17,28,15,23,13,22,12,13,15,9,8,7,7,12,9,0,10
0600000US4202927376,4202927376,"Franklin township, Chester County, Pennsylvania",1305,65,1095,79,42,30,179,57,200,60,247,91,131,56,62,38,41,28,47,28,140,54,6,9,210,67,118,52,34,24,13,20,0,10,16,26,7,11,6,10,8,14,8,12,0,10
