GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total races tallied for householders:,Total races tallied for Not Hispanic or Latino householders:,Total races tallied for Not Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Not Hispanic or Latino householders: - Some other race alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders:,Total races tallied for Hispanic or Latino householders: - White alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Black or African American alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - American Indian and Alaska Native alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Asian alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Total races tallied for Hispanic or Latino householders: - Some other race alone or in combination with one or more other races
0500000US42043,42043,"Dauphin County, Pennsylvania",103882,100664,81974,16132,484,1701,47,326,3218,1293,293,42,24,19,1547
0500000US42045,42045,"Delaware County, Pennsylvania",208187,205772,170306,28283,715,5671,92,705,2415,1296,310,43,41,3,722
0500000US42047,42047,"Elk County, Pennsylvania",14165,14124,14024,18,34,34,6,8,41,32,1,2,1,1,4
0500000US42049,42049,"Erie County, Pennsylvania",107322,105617,98862,5380,425,696,42,212,1705,859,100,42,19,7,678
0500000US42051,42051,"Fayette County, Pennsylvania",60235,60045,57504,2147,191,126,17,60,190,144,13,6,5,0,22
0500000US42053,42053,"Forest County, Pennsylvania",2004,1999,1987,0,9,1,0,2,5,4,0,0,0,0,1
0500000US42055,42055,"Franklin County, Pennsylvania",50886,50258,48689,1111,173,218,17,50,628,339,36,7,6,5,235
0500000US42057,42057,"Fulton County, Pennsylvania",5689,5675,5594,39,33,6,1,2,14,11,2,1,0,0,0
0500000US42059,42059,"Greene County, Pennsylvania",15148,15090,14899,66,74,34,7,10,58,47,1,4,2,1,3
0500000US42061,42061,"Huntingdon County, Pennsylvania",16818,16768,16493,184,50,28,2,11,50,38,0,2,0,0,10
0500000US42063,42063,"Indiana County, Pennsylvania",34275,34145,33343,415,78,261,9,39,130,105,0,4,0,0,21
0500000US42065,42065,"Jefferson County, Pennsylvania",18452,18395,18267,12,69,31,0,16,57,41,3,7,2,0,4
0500000US42067,42067,"Juniata County, Pennsylvania",8625,8508,8440,14,23,21,2,8,117,57,7,0,0,11,42
0500000US42069,42069,"Lackawanna County, Pennsylvania",86560,85739,84047,879,187,511,16,99,821,464,38,11,5,2,301
0500000US42071,42071,"Lancaster County, Pennsylvania",173970,166028,158904,4204,572,1971,65,312,7942,3182,416,94,32,29,4189
0500000US42073,42073,"Lawrence County, Pennsylvania",37266,37137,35750,1137,118,87,2,43,129,91,5,4,1,1,27
0500000US42075,42075,"Lebanon County, Pennsylvania",46830,45011,44067,434,121,293,16,80,1819,828,88,26,8,5,864
0500000US42077,42077,"Lehigh County, Pennsylvania",123420,113833,107345,3443,344,2183,54,464,9587,3878,466,111,24,17,5091
0500000US42079,42079,"Luzerne County, Pennsylvania",131193,130220,127981,1193,277,624,33,112,973,529,56,19,3,9,357
0500000US42081,42081,"Lycoming County, Pennsylvania",47248,47049,45095,1521,198,160,9,66,199,126,15,5,4,2,47
0500000US42083,42083,"McKean County, Pennsylvania",18097,18030,17849,27,87,46,7,14,67,51,2,1,1,1,11
0500000US42085,42085,"Mercer County, Pennsylvania",46999,46802,44219,2164,178,166,16,59,197,129,15,9,5,1,38
0500000US42087,42087,"Mifflin County, Pennsylvania",18458,18385,18234,64,31,45,3,8,73,50,2,3,0,0,18
0500000US42089,42089,"Monroe County, Pennsylvania",50190,47719,44042,2584,306,490,19,278,2471,1353,148,33,14,6,917
