GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US42059,42059,"Greene County, Pennsylvania",19,4,4,0,0,5,0,1,0,5,0,0,0,0,0,0,0
0500000US42061,42061,"Huntingdon County, Pennsylvania",12,0,0,3,0,2,0,0,0,0,0,3,2,2,0,0,0
0500000US42063,42063,"Indiana County, Pennsylvania",34,0,7,8,0,0,2,0,0,0,10,7,0,0,0,0,0
0500000US42065,42065,"Jefferson County, Pennsylvania",24,0,0,8,3,0,0,8,0,0,3,2,0,0,0,0,0
0500000US42067,42067,"Juniata County, Pennsylvania",5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
0500000US42069,42069,"Lackawanna County, Pennsylvania",84,12,16,5,7,0,7,0,0,18,0,12,0,7,0,0,0
0500000US42071,42071,"Lancaster County, Pennsylvania",252,17,20,10,22,24,26,14,11,26,33,6,30,13,0,0,0
0500000US42073,42073,"Lawrence County, Pennsylvania",57,5,5,7,12,0,2,0,8,0,0,10,2,0,6,0,0
0500000US42075,42075,"Lebanon County, Pennsylvania",52,0,0,0,17,21,0,0,4,0,0,6,4,0,0,0,0
0500000US42077,42077,"Lehigh County, Pennsylvania",245,44,18,35,5,17,14,0,9,16,26,25,23,5,0,0,8
0500000US42079,42079,"Luzerne County, Pennsylvania",154,53,24,6,20,2,10,4,8,3,8,8,8,0,0,0,0
0500000US42081,42081,"Lycoming County, Pennsylvania",125,11,11,5,17,8,18,4,33,3,7,8,0,0,0,0,0
0500000US42083,42083,"McKean County, Pennsylvania",18,6,0,3,2,0,0,3,1,0,0,0,1,2,0,0,0
0500000US42085,42085,"Mercer County, Pennsylvania",43,17,0,5,3,0,2,0,14,0,0,0,2,0,0,0,0
0500000US42087,42087,"Mifflin County, Pennsylvania",8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0500000US42089,42089,"Monroe County, Pennsylvania",126,0,12,15,0,3,9,0,0,17,35,6,21,0,0,0,8
0500000US42091,42091,"Montgomery County, Pennsylvania",437,15,34,3,50,41,6,23,40,14,52,19,88,30,7,10,5
0500000US42093,42093,"Montour County, Pennsylvania",17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US42095,42095,"Northampton County, Pennsylvania",112,18,9,21,0,0,7,0,12,2,8,0,23,12,0,0,0
0500000US42097,42097,"Northumberland County, Pennsylvania",24,17,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0
0500000US42099,42099,"Perry County, Pennsylvania",6,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
0500000US42101,42101,"Philadelphia County, Pennsylvania",1630,328,129,185,155,113,154,145,62,64,84,46,80,63,9,0,13
0500000US42103,42103,"Pike County, Pennsylvania",9,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0
0500000US42105,42105,"Potter County, Pennsylvania",10,4,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0
