GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US34001,34001,"Atlantic County, New Jersey",47765
0500000US34003,34003,"Bergen County, New Jersey",67464
0500000US34005,34005,"Burlington County, New Jersey",60241
0500000US34007,34007,"Camden County, New Jersey",53271
0500000US34009,34009,"Cape May County, New Jersey",42490
0500000US34011,34011,"Cumberland County, New Jersey",44120
0500000US34013,34013,"Essex County, New Jersey",65372
0500000US34015,34015,"Gloucester County, New Jersey",55651
0500000US34017,34017,"Hudson County, New Jersey",47097
0500000US34019,34019,"Hunterdon County, New Jersey",80024
0500000US34021,34021,"Mercer County, New Jersey",64310
0500000US34023,34023,"Middlesex County, New Jersey",61729
0500000US34025,34025,"Monmouth County, New Jersey",67300
0500000US34027,34027,"Morris County, New Jersey",79064
0500000US34029,34029,"Ocean County, New Jersey",46524
0500000US34031,34031,"Passaic County, New Jersey",58699
0500000US34033,34033,"Salem County, New Jersey",49961
0500000US34035,34035,"Somerset County, New Jersey",79181
0500000US34037,34037,"Sussex County, New Jersey",65631
0500000US34039,34039,"Union County, New Jersey",62331
0500000US34041,34041,"Warren County, New Jersey",56385
0500000US42001,42001,"Adams County, Pennsylvania",43199
0500000US42003,42003,"Allegheny County, Pennsylvania",40880
0500000US42005,42005,"Armstrong County, Pennsylvania",31607
0500000US42007,42007,"Beaver County, Pennsylvania",38060
0500000US42009,42009,"Bedford County, Pennsylvania",32772
0500000US42011,42011,"Berks County, Pennsylvania",46931
0500000US42013,42013,"Blair County, Pennsylvania",33028
0500000US42015,42015,"Bradford County, Pennsylvania",34998
0500000US42017,42017,"Bucks County, Pennsylvania",60755
0500000US42019,42019,"Butler County, Pennsylvania",42280
0500000US42021,42021,"Cambria County, Pennsylvania",30395
0500000US42023,42023,"Cameron County, Pennsylvania",32168
0500000US42025,42025,"Carbon County, Pennsylvania",35080
0500000US42027,42027,"Centre County, Pennsylvania",37379
0500000US42029,42029,"Chester County, Pennsylvania",67967
0500000US42031,42031,"Clarion County, Pennsylvania",30833
0500000US42033,42033,"Clearfield County, Pennsylvania",31268
0500000US42035,42035,"Clinton County, Pennsylvania",31058
0500000US42037,42037,"Columbia County, Pennsylvania",34362
0500000US42039,42039,"Crawford County, Pennsylvania",33830
0500000US42041,42041,"Cumberland County, Pennsylvania",46998
0500000US42043,42043,"Dauphin County, Pennsylvania",45347
0500000US42045,42045,"Delaware County, Pennsylvania",52947
0500000US42047,42047,"Elk County, Pennsylvania",37581
0500000US42049,42049,"Erie County, Pennsylvania",37881
0500000US42051,42051,"Fayette County, Pennsylvania",27755
0500000US42053,42053,"Forest County, Pennsylvania",27997
0500000US42055,42055,"Franklin County, Pennsylvania",40884
0500000US42057,42057,"Fulton County, Pennsylvania",35070
0500000US42059,42059,"Greene County, Pennsylvania",30260
0500000US42061,42061,"Huntingdon County, Pennsylvania",33495
0500000US42063,42063,"Indiana County, Pennsylvania",30470
0500000US42065,42065,"Jefferson County, Pennsylvania",31752
0500000US42067,42067,"Juniata County, Pennsylvania",34955
0500000US42069,42069,"Lackawanna County, Pennsylvania",34664
0500000US42071,42071,"Lancaster County, Pennsylvania",46725
0500000US42073,42073,"Lawrence County, Pennsylvania",33782
0500000US42075,42075,"Lebanon County, Pennsylvania",41608
0500000US42077,42077,"Lehigh County, Pennsylvania",45901
0500000US42079,42079,"Luzerne County, Pennsylvania",33988
0500000US42081,42081,"Lycoming County, Pennsylvania",34673
0500000US42083,42083,"McKean County, Pennsylvania",33115
0500000US42085,42085,"Mercer County, Pennsylvania",35421
0500000US42087,42087,"Mifflin County, Pennsylvania",32139
0500000US42089,42089,"Monroe County, Pennsylvania",45299
0500000US42091,42091,"Montgomery County, Pennsylvania",62035
0500000US42093,42093,"Montour County, Pennsylvania",38136
0500000US42095,42095,"Northampton County, Pennsylvania",46588
0500000US42097,42097,"Northumberland County, Pennsylvania",31353
0500000US42099,42099,"Perry County, Pennsylvania",41934
0500000US42101,42101,"Philadelphia County, Pennsylvania",37073
0500000US42103,42103,"Pike County, Pennsylvania",44046
0500000US42105,42105,"Potter County, Pennsylvania",32224
0500000US42107,42107,"Schuylkill County, Pennsylvania",32738
0500000US42109,42109,"Snyder County, Pennsylvania",36239
0500000US42111,42111,"Somerset County, Pennsylvania",30942
0500000US42113,42113,"Sullivan County, Pennsylvania",30489
0500000US42115,42115,"Susquehanna County, Pennsylvania",33692
0500000US42117,42117,"Tioga County, Pennsylvania",32061
0500000US42119,42119,"Union County, Pennsylvania",40412
0500000US42121,42121,"Venango County, Pennsylvania",32302
0500000US42123,42123,"Warren County, Pennsylvania",36130
0500000US42125,42125,"Washington County, Pennsylvania",38117
0500000US42127,42127,"Wayne County, Pennsylvania",33996
0500000US42129,42129,"Westmoreland County, Pennsylvania",37246
0500000US42131,42131,"Wyoming County, Pennsylvania",36318
0500000US42133,42133,"York County, Pennsylvania",46119
