GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Total:
HD02_VD02,Margin of Error; Total:
HD01_VD03,Estimate; Male
HD02_VD03,Margin of Error; Male
HD01_VD04,Estimate; Female
HD02_VD04,Margin of Error; Female
