GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US42079,42079,"Luzerne County, Pennsylvania",10162,735,24426,1212,41935,1597,65013,1971,133128,9784,228310,34664
0500000US42081,42081,"Lycoming County, Pennsylvania",10855,1155,25343,1831,41495,2418,62549,3214,127405,12044,214333,40347
0500000US42085,42085,"Mercer County, Pennsylvania",10608,1158,26134,1862,41160,2061,60300,2115,115863,9257,196210,30128
0500000US42089,42089,"Monroe County, Pennsylvania",15556,1481,35324,2763,56630,2845,82135,4671,137731,6515,190500,13611
0500000US42091,42091,"Montgomery County, Pennsylvania",18826,1062,47539,1542,78138,1692,115681,2094,252923,11754,462353,40183
0500000US42095,42095,"Northampton County, Pennsylvania",15690,1115,37373,1695,59872,1912,88022,2757,177570,14456,305779,47667
0500000US42097,42097,"Northumberland County, Pennsylvania",10761,1151,25002,1894,40407,2034,58630,3239,107709,5677,155216,11817
0500000US42101,42101,"Philadelphia County, Pennsylvania",6740,370,19785,685,37148,1044,60266,1279,129153,3988,217808,13207
0500000US42107,42107,"Schuylkill County, Pennsylvania",10475,1390,25532,1549,43181,2452,64314,2436,116101,7481,177703,23436
0500000US42111,42111,"Somerset County, Pennsylvania",10559,1124,23132,1746,37877,2559,56889,3299,107020,8303,180372,26883
0500000US42125,42125,"Washington County, Pennsylvania",12651,950,30156,1896,51569,2201,77259,2830,145898,7728,227546,20798
0500000US42129,42129,"Westmoreland County, Pennsylvania",11661,780,28383,1509,47488,1887,72948,2369,146223,8809,244685,27146
0500000US42133,42133,"York County, Pennsylvania",16256,1043,36581,1502,57159,1744,82733,2317,151307,6308,237196,18248
