GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
42091206901,"Census Tract 2069.01, Montgomery County, Pennsylvania",4725,3725,4725,4482,3577,4725,42091,3781
42091206904,"Census Tract 2069.04, Montgomery County, Pennsylvania",5267,4757,5267,5104,4691,5267,42091,4585
42091206905,"Census Tract 2069.05, Montgomery County, Pennsylvania",4495,3704,4495,4455,3664,4495,42091,4392
42091206906,"Census Tract 2069.06, Montgomery County, Pennsylvania",3099,2780,3099,2957,2729,3099,42091,2907
42091207001,"Census Tract 2070.01, Montgomery County, Pennsylvania",7331,6720,7331,7127,6542,7290,42091,6305
42091207003,"Census Tract 2070.03, Montgomery County, Pennsylvania",2933,2632,2933,2933,2632,2933,42091,2654
42091207004,"Census Tract 2070.04, Montgomery County, Pennsylvania",4326,3977,4326,4262,3933,4326,42091,3759
42091207101,"Census Tract 2071.01, Montgomery County, Pennsylvania",5864,5742,5864,5837,5715,5686,42091,4919
42091207103,"Census Tract 2071.03, Montgomery County, Pennsylvania",4223,3927,4223,4187,3916,4223,42091,4097
42091207104,"Census Tract 2071.04, Montgomery County, Pennsylvania",2621,2530,2621,2621,2530,2604,42091,2344
42091207201,"Census Tract 2072.01, Montgomery County, Pennsylvania",2434,2096,2434,2152,1972,2419,42091,2104
42091207202,"Census Tract 2072.02, Montgomery County, Pennsylvania",4268,4085,4268,4009,3850,4086,42091,2998
42091207300,"Census Tract 2073, Montgomery County, Pennsylvania",2629,2242,2629,2424,2037,2594,42091,2193
42091207400,"Census Tract 2074, Montgomery County, Pennsylvania",2488,2457,2488,2488,2457,2488,42091,2256
42091207500,"Census Tract 2075, Montgomery County, Pennsylvania",3249,3216,3249,3238,3205,3249,42091,2797
42091207600,"Census Tract 2076, Montgomery County, Pennsylvania",3612,3551,3612,3472,3411,3543,42091,2934
42091207800,"Census Tract 2078, Montgomery County, Pennsylvania",6175,6103,6175,6166,6094,6135,42091,5235
42091207900,"Census Tract 2079, Montgomery County, Pennsylvania",2507,2389,2507,2353,2262,2486,42091,2019
42091208000,"Census Tract 2080, Montgomery County, Pennsylvania",3633,3410,3633,3498,3382,3546,42091,2762
42091208100,"Census Tract 2081, Montgomery County, Pennsylvania",2983,2789,2983,2808,2728,2972,42091,2066
42091208201,"Census Tract 2082.01, Montgomery County, Pennsylvania",2659,2659,2659,2648,2648,2637,42091,2015
42091208203,"Census Tract 2082.03, Montgomery County, Pennsylvania",4003,3922,4003,3914,3833,3963,42091,3013
42091208204,"Census Tract 2082.04, Montgomery County, Pennsylvania",3322,3208,3322,3299,3185,3322,42091,3090
42091208301,"Census Tract 2083.01, Montgomery County, Pennsylvania",2656,2602,2656,2656,2602,2656,42091,2298
42091208302,"Census Tract 2083.02, Montgomery County, Pennsylvania",7637,7167,7637,7404,6948,7637,42091,7230
42091208400,"Census Tract 2084, Montgomery County, Pennsylvania",3451,3335,3451,3376,3288,3420,42091,2904
42091208500,"Census Tract 2085, Montgomery County, Pennsylvania",4838,4604,4838,4722,4546,4838,42091,4471
42091208601,"Census Tract 2086.01, Montgomery County, Pennsylvania",6158,5684,6158,5939,5501,6158,42091,5264
42091208603,"Census Tract 2086.03, Montgomery County, Pennsylvania",6091,5566,6091,6076,5551,6091,42091,5411
42091208604,"Census Tract 2086.04, Montgomery County, Pennsylvania",5019,4552,5019,4884,4460,5019,42091,4247
42091208702,"Census Tract 2087.02, Montgomery County, Pennsylvania",3450,3361,3450,3430,3341,3450,42091,3107
42091208703,"Census Tract 2087.03, Montgomery County, Pennsylvania",3805,3562,3805,3805,3562,3805,42091,3196
42091208704,"Census Tract 2087.04, Montgomery County, Pennsylvania",4645,3160,4645,4567,3096,4467,42091,3348
42091208801,"Census Tract 2088.01, Montgomery County, Pennsylvania",1219,864,1219,1139,784,1219,42091,591
42091208802,"Census Tract 2088.02, Montgomery County, Pennsylvania",3215,2924,3215,3102,2902,3215,42091,2099
42091208901,"Census Tract 2089.01, Montgomery County, Pennsylvania",3610,2979,3610,3595,2964,3599,42091,2834
42091208903,"Census Tract 2089.03, Montgomery County, Pennsylvania",3006,1947,3006,2830,1771,2995,42091,1835
42091208904,"Census Tract 2089.04, Montgomery County, Pennsylvania",2680,1755,2680,2561,1711,2680,42091,1336
42091208905,"Census Tract 2089.05, Montgomery County, Pennsylvania",2628,2275,2628,2532,2264,2628,42091,1958
42091208906,"Census Tract 2089.06, Montgomery County, Pennsylvania",4164,2897,4164,3859,2687,3893,42091,2435
42091209000,"Census Tract 2090, Montgomery County, Pennsylvania",1780,1108,1780,1553,1108,1769,42091,890
42091209100,"Census Tract 2091, Montgomery County, Pennsylvania",5094,4826,5094,4898,4656,5066,42091,4474
42091209201,"Census Tract 2092.01, Montgomery County, Pennsylvania",1685,1533,1685,1681,1533,1685,42091,1173
42091209202,"Census Tract 2092.02, Montgomery County, Pennsylvania",2163,1746,2163,2154,1746,2163,42091,1558
42091210100,"Census Tract 2101, Montgomery County, Pennsylvania",3671,3288,3671,3516,3274,3671,42091,3398
42091210200,"Census Tract 2102, Montgomery County, Pennsylvania",2730,2339,2730,2665,2274,2730,42091,2450
42091210300,"Census Tract 2103, Montgomery County, Pennsylvania",3715,3294,3715,3625,3224,3419,42091,3185
42091210400,"Census Tract 2104, Montgomery County, Pennsylvania",4759,3901,4759,4600,3786,4499,42091,3530
42091210500,"Census Tract 2105, Montgomery County, Pennsylvania",4583,3496,4583,4531,3455,4027,42091,3498
42091210600,"Census Tract 2106, Montgomery County, Pennsylvania",3759,2859,3759,3659,2759,3759,42091,3421
42091210700,"Census Tract 2107, Montgomery County, Pennsylvania",5628,4758,5628,5539,4697,5628,42091,5407
