Year,34005_NH,34005_H,34007_NH,34007_H,34015_NH,34015_H,34021_NH,34021_H,42017_NH,42017_H,42029_NH,42029_H,42045_NH,42045_H,42091_NH,42091_H,42101_NH,42101_H,NJCnt_NH,NJCnt_H,PASub_NH,PASub_H,DVRPC_NH,DVRPC_H
2010,420089,29111,439937,73569,275155,13839,312175,55755,598403,27028,467190,32730,542252,16649,766561,34420,1339117,189154,1447356,172274,2374406,110827,5160879,472255
2011,419971,30515,437714,75466,275266,14339,310911,57290,598260,27807,469735,33669,541828,17251,769964,35222,1343514,196135,1443862,177610,2379787,113949,5167163,487694
2012,419464,31792,435581,77246,274998,14914,311838,58581,597182,28390,471752,34531,542690,18092,772625,36287,1348521,203423,1441881,182533,2384249,117300,5174651,503256
2013,417322,32536,433198,78600,274647,15504,312286,60051,596012,29309,473946,35442,542877,18732,775267,37571,1348869,209240,1437453,186691,2388102,121054,5174424,516985
2014,416778,33540,430707,80206,275004,16147,311497,61477,595726,30080,476632,36232,543437,19476,777287,38660,1348328,215714,1433986,191370,2393082,124448,5175396,531532
2015,414606,34238,428751,82058,274911,16740,310117,62987,595057,31152,477968,37258,543634,20071,778159,39710,1348568,221939,1428385,196023,2394818,128191,5171771,546153
2016,413160,35182,426408,84333,274223,17480,309057,64603,594234,32517,478329,38160,543276,20719,779528,41128,1346955,227810,1422848,201598,2395367,132524,5165170,561932
2017,412312,36284,423937,86782,274073,18133,308070,66663,594414,33927,480064,39229,543202,21494,783287,42788,1346680,234183,1418392,207862,2400967,137438,5166039,579483
