Year,34005_WA,34005_BA,34005_IA,34005_AA,34005_NA,34005_TOM,34007_WA,34007_BA,34007_IA,34007_AA,34007_NA,34007_TOM,34015_WA,34015_BA,34015_IA,34015_AA,34015_NA,34015_TOM,34021_WA,34021_BA,34021_IA,34021_AA,34021_NA,34021_TOM,42017_WA,42017_BA,42017_IA,42017_AA,42017_NA,42017_TOM,42029_WA,42029_BA,42029_IA,42029_AA,42029_NA,42029_TOM,42045_WA,42045_BA,42045_IA,42045_AA,42045_NA,42045_TOM,42091_WA,42091_BA,42091_IA,42091_AA,42091_NA,42091_TOM,42101_WA,42101_BA,42101_IA,42101_AA,42101_NA,42101_TOM,NJCnt_WA,NJCnt_BA,NJCnt_IA,NJCnt_AA,NJCnt_NA,NJCnt_TOM,PASub_WA,PASub_BA,PASub_IA,PASub_AA,PASub_NA,PASub_TOM,DVRPC_WA,DVRPC_BA,DVRPC_IA,DVRPC_AA,DVRPC_NA,DVRPC_TOM
2010,339040,77348,1247,20102,286,11177,364768,107846,2952,27027,449,10464,245245,29870,589,7863,150,5277,246571,77642,2157,33861,658,7041,566732,23249,1613,24877,323,8637,438873,31875,1272,19907,296,7697,408950,112171,1026,26873,211,9670,661143,71206,1633,52861,443,13695,697292,683048,12228,100010,1944,33749,1195624,292706,6945,88853,1543,33959,2075698,238501,5544,124518,1273,39699,3968614,1214255,24717,313381,4760,107407
2011,338757,77743,1286,20906,308,11486,363447,107776,2991,27697,469,10800,245139,30163,615,8015,161,5512,245453,77801,2158,34876,676,7237,565688,23696,1608,25736,330,9009,441038,32021,1281,20771,303,7990,406249,113645,1029,27786,217,10153,661845,72446,1663,54532,445,14255,698627,688463,12379,103267,1986,34927,1192796,293483,7050,91494,1614,35035,2074820,241808,5581,128825,1295,41407,3966243,1223754,25010,323586,4895,111369
2012,338483,78004,1347,21382,307,11733,362088,107930,3062,28216,479,11052,244797,30499,639,8203,175,5599,245568,78297,2125,36238,696,7495,563435,24239,1594,26707,360,9237,442244,32184,1354,21927,305,8269,404534,115872,1055,28608,233,10480,661381,73785,1708,56656,455,14927,701950,693011,12533,106215,2027,36208,1190936,294730,7173,94039,1657,35879,2071594,246080,5711,133898,1353,42913,3964480,1233821,25417,334152,5037,115000
2013,336283,78432,1341,21622,323,11857,359941,108085,3117,28824,485,11346,244431,30734,689,8368,179,5750,244963,78882,2170,37814,729,7779,561691,24711,1609,27358,355,9597,444038,32087,1403,22924,322,8614,402044,117932,1103,29425,237,10868,661272,75436,1720,58460,463,15487,701162,695458,12853,109146,2128,37362,1185618,296133,7317,96628,1716,36732,2069045,250166,5835,138167,1377,44566,3955825,1241757,26005,343941,5221,118660
2014,335583,78769,1363,22154,333,12116,358051,108167,3133,29346,491,11725,244359,31381,681,8617,185,5928,243432,79372,2156,39188,722,8104,560177,25413,1636,28342,355,9883,445168,32541,1438,24450,306,8961,400081,119791,1061,30500,241,11239,661184,76466,1735,60156,463,15943,701783,696534,13039,111882,2214,38590,1181425,297689,7333,99305,1731,37873,2066610,254211,5870,143448,1365,46026,3949818,1248434,26242,354635,5310,122489
2015,332861,79065,1393,22901,350,12274,356563,108496,3129,29926,499,12196,244378,31576,722,8721,195,6059,241735,79555,2172,40443,757,8442,558685,25903,1680,29388,351,10202,445671,32538,1453,25962,316,9286,398211,121084,1123,31481,246,11560,660158,77130,1766,61744,483,16588,702509,697870,13278,114817,2349,39684,1175537,298692,7416,101991,1801,38971,2062725,256655,6022,148575,1396,47636,3940771,1253217,26716,365383,5546,126291
2016,330860,79648,1433,23504,337,12560,354989,109156,3181,30505,505,12405,243782,31787,777,8949,199,6209,240366,80018,2181,41656,776,8663,557354,26499,1694,30221,361,10622,445504,32458,1465,27186,320,9556,395439,122627,1194,32601,254,11880,659113,78673,1872,63427,489,17082,704281,696488,13322,117575,2383,40716,1169997,300609,7572,104614,1817,39837,2057410,260257,6225,153435,1424,49140,3931688,1257354,27119,375624,5624,129693
2017,329474,80347,1423,24157,375,12820,353473,109673,3296,31138,545,12594,243333,32353,779,9217,202,6322,239420,80144,2243,43267,775,8884,557096,27000,1716,31231,372,10926,446388,32484,1446,28871,314,9790,392472,124878,1175,33690,252,12229,660015,80636,1934,65404,506,17580,707778,694154,13395,121251,2378,41907,1165700,302517,7741,107779,1897,40620,2055971,264998,6271,159196,1444,50525,3929449,1261669,27407,388226,5719,133052
