Year,34005_<20,34005_20-34,34005_35-49,34005_50-64,34005_65+,34007_<20,34007_20-34,34007_35-49,34007_50-64,34007_65+,34015_<20,34015_20-34,34015_35-49,34015_50-64,34015_65+,34021_<20,34021_20-34,34021_35-49,34021_50-64,34021_65+,42017_<20,42017_20-34,42017_35-49,42017_50-64,42017_65+,42029_<20,42029_20-34,42029_35-49,42029_50-64,42029_65+,42045_<20,42045_20-34,42045_35-49,42045_50-64,42045_65+,42091_<20,42091_20-34,42091_35-49,42091_50-64,42091_65+,42101_<20,42101_20-34,42101_35-49,42101_50-64,42101_65+,NJCnt_<20,NJCnt_20-34,NJCnt_35-49,NJCnt_50-64,NJCnt_65+,PASub_<20,PASub_20-34,PASub_35-49,PASub_50-64,PASub_65+,DVRPC_<20,DVRPC_20-34,DVRPC_35-49,DVRPC_50-64,DVRPC_65+
2010,114832,78397,100576,92990,62405,137936,100177,108450,101075,65868,78143,52393,64578,57984,35896,95624,74920,80346,70494,46546,157553,99445,137499,139276,91658,138294,85088,109833,102430,64275,149556,106121,111773,111697,79754,202028,140455,172541,164898,121059,399586,394897,286251,262064,185473,426535,305887,353950,322543,210715,647431,431109,531646,518301,356746,1473552,1131893,1171847,1102908,752934
2011,113603,80153,97812,95294,63624,135973,101665,105775,103036,66731,76948,53159,63189,59743,36566,95285,74487,78954,72282,47193,155908,100543,132911,143332,93373,138274,85789,107652,105674,66015,148101,107356,109070,114558,79994,202327,142113,168697,169615,122434,396893,403923,284684,267690,186459,421809,309464,345730,330355,214114,644610,435801,518330,533179,361816,1463312,1149188,1148744,1131224,762389
2012,111723,81875,95294,96052,66312,133759,102532,103748,103436,69352,75848,53787,61581,60381,38315,95057,75468,77954,73069,48871,153074,101713,128634,144469,97682,137324,87093,105387,107057,69422,147058,109242,106932,115458,82092,201117,144152,165706,171177,126760,395930,410314,284899,269907,190894,416387,313662,338577,332938,222850,638573,442200,506659,538161,375956,1450890,1166176,1130135,1141006,789700
2013,109403,82790,92231,97199,68235,131952,102951,101917,103805,71173,74795,54163,60217,61374,39602,94720,76397,76820,74092,50308,150260,103062,124791,146208,101000,136207,88667,103559,108923,72032,145225,110818,105311,116752,83503,200065,146479,163301,173040,129953,394038,413009,284041,272268,194753,410870,316301,331185,336470,229318,631757,449026,496962,544923,386488,1436665,1178336,1112188,1153661,810559
2014,108021,84141,89778,98388,69990,130450,102999,100328,104337,72799,74259,54539,59118,62384,40851,94205,76413,76039,74739,51578,148009,104272,121424,147930,104171,135689,90113,102044,110546,74472,144114,111970,103875,117927,85027,199318,148086,160518,174829,133196,392812,413679,283482,275463,198606,406935,318092,325263,339848,235218,627130,454441,487861,551232,396866,1426877,1186212,1096606,1166543,830690
2015,106035,83838,88068,99437,71466,129441,102688,99574,104633,74473,73303,54713,58210,63167,42258,93639,76284,75156,75289,52736,146301,104999,118959,148821,107129,135181,90806,100548,111703,76988,143172,112392,102946,118599,86596,198050,148763,158728,176165,136163,392246,412891,284793,277772,202805,402418,317523,321008,342526,240933,622704,456960,481181,555288,406876,1417368,1187374,1086982,1175586,850614
2016,104431,84184,86989,99757,72981,128688,102788,98767,104450,76048,72545,54801,57517,63293,43547,93266,76351,74434,75541,54068,144923,105391,117436,148657,110344,134230,91265,99786,111790,79418,142270,112126,102625,118464,88510,197593,149555,157899,176180,139429,390434,414149,285126,277744,207312,398930,318124,317707,343041,246644,619016,458337,477746,555091,417701,1408380,1190610,1080579,1175876,871657
2017,103437,84595,86357,99495,74712,127976,102279,98613,103986,77865,71801,54968,57194,63397,44846,93224,76644,74129,75390,55346,143767,106047,116576,148296,113655,133736,92216,99681,111591,82069,141595,112056,102573,117698,90774,197533,151200,158275,175891,143176,389567,415212,286981,277479,211624,396438,318486,316293,342268,252769,616631,461519,477105,553476,429674,1402636,1195217,1080379,1173223,894067
