SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,34,005,New Jersey,Burlington County,1,0,448734,220534,228200,166438,172638,38467,38656,683,552,9385,10530,136,151,5425,5673,170894,177363,41901,42372,2249,2220,11176,12283,335,341,205290,214613,155332,162854,35714,36146,346,329,9223,10369,90,115,4585,4800,159089,166836,38515,39205,1603,1662,10849,11979,257,277,15244,13587,11106,9784,2753,2510,337,223,162,161,46,36,840,873,11805,10527,3386,3167,646,558,327,304,78,64
050,34,005,New Jersey,Burlington County,1,1,25964,13206,12758,9144,8664,2375,2365,42,48,749,740,5,19,891,922,9951,9517,2994,3009,189,187,1041,1016,30,44,11786,11334,8182,7726,2102,2079,17,20,734,718,2,10,749,781,8865,8450,2616,2613,118,114,996,976,25,35,1420,1424,962,938,273,286,25,28,15,22,3,9,142,141,1086,1067,378,396,71,73,45,40,5,9
050,34,005,New Jersey,Burlington County,1,2,28434,14434,14000,10259,9839,2556,2542,36,40,766,806,13,11,804,762,10990,10534,3105,3069,153,152,1040,1065,41,30,13153,12707,9417,8979,2292,2279,17,19,744,783,7,7,676,640,10036,9562,2738,2712,108,102,983,1016,31,18,1281,1293,842,860,264,263,19,21,22,23,6,4,128,122,954,972,367,357,45,50,57,49,10,12
050,34,005,New Jersey,Burlington County,1,3,30318,15476,14842,11093,10532,3011,2912,43,38,620,687,8,11,701,662,11697,11119,3490,3382,169,183,867,893,28,31,14266,13641,10261,9735,2757,2663,24,23,607,672,4,10,613,538,10794,10211,3162,3038,121,135,840,853,20,23,1210,1201,832,797,254,249,19,15,13,15,4,1,88,124,903,908,328,344,48,48,27,40,8,8
050,34,005,New Jersey,Burlington County,1,4,30330,15771,14559,11225,10327,3450,3084,42,33,521,529,11,16,522,570,11663,10810,3813,3484,166,185,682,706,30,30,14471,13455,10315,9584,3189,2837,18,19,507,515,5,11,437,489,10682,10001,3486,3176,114,136,654,677,22,24,1300,1104,910,743,261,247,24,14,14,14,6,5,85,81,981,809,327,308,52,49,28,29,8,6
050,34,005,New Jersey,Burlington County,1,5,26334,14710,11624,9630,8333,3996,2391,95,44,511,455,15,10,463,391,9980,8643,4305,2647,258,170,660,573,31,31,12991,10570,8552,7586,3546,2182,29,21,493,445,6,9,365,327,8825,7847,3787,2394,146,112,622,549,16,28,1719,1054,1078,747,450,209,66,23,18,10,9,1,98,64,1155,796,518,253,112,58,38,24,15,3
050,34,005,New Jersey,Burlington County,1,6,26175,13635,12540,9857,9067,2692,2271,65,49,642,770,11,11,368,372,10142,9377,2916,2506,210,164,753,878,20,22,12162,11397,8778,8255,2434,2046,17,27,627,759,6,10,300,300,9009,8506,2606,2226,128,114,728,860,14,20,1473,1143,1079,812,258,225,48,22,15,11,5,1,68,72,1133,871,310,280,82,50,25,18,6,2
050,34,005,New Jersey,Burlington County,1,7,25433,12487,12946,9096,9276,2242,2353,46,36,771,946,11,12,321,323,9345,9538,2427,2536,153,141,881,1057,25,30,11275,11889,8188,8491,2047,2151,21,20,754,937,9,9,256,281,8383,8722,2183,2303,105,107,853,1038,20,26,1212,1057,908,785,195,202,25,16,17,9,2,3,65,42,962,816,244,233,48,34,28,19,5,4
050,34,005,New Jersey,Burlington County,1,8,28609,13970,14639,10315,10597,2464,2708,49,39,897,971,6,12,239,312,10500,10835,2592,2913,151,153,977,1067,20,21,12918,13637,9495,9864,2310,2528,22,24,890,959,5,6,196,256,9645,10056,2407,2691,102,109,962,1047,16,15,1052,1002,820,733,154,180,27,15,7,12,1,6,43,56,855,779,185,222,49,44,15,20,4,6
050,34,005,New Jersey,Burlington County,1,9,33802,16595,17207,12494,13031,2977,2972,54,36,830,887,10,9,230,272,12672,13238,3094,3145,158,149,910,966,22,19,15476,16232,11625,12296,2803,2812,25,21,819,873,8,8,196,222,11775,12461,2898,2943,112,111,893,950,17,15,1119,975,869,735,174,160,29,15,11,14,2,1,34,50,897,777,196,202,46,38,17,16,5,4
050,34,005,New Jersey,Burlington County,1,10,38753,19026,19727,14778,15324,3192,3300,63,45,723,753,10,17,260,288,14973,15540,3325,3472,166,166,825,845,18,29,18028,18829,13993,14640,3029,3156,46,28,716,740,7,15,237,250,14168,14824,3149,3303,135,131,814,825,14,25,998,898,785,684,163,144,17,17,7,13,3,2,23,38,805,716,176,169,31,35,11,20,4,4
050,34,005,New Jersey,Burlington County,1,11,36753,18157,18596,14483,14643,2771,2919,46,36,616,728,16,8,225,262,14654,14829,2883,3070,138,160,701,816,24,16,17324,17865,13824,14065,2641,2810,34,24,607,722,15,6,203,238,13973,14233,2738,2943,120,133,688,808,23,13,833,731,659,578,130,109,12,12,9,6,1,2,22,24,681,596,145,127,18,27,13,8,1,3
050,34,005,New Jersey,Burlington County,1,12,29719,14390,15329,11810,12145,1886,2311,38,35,518,645,5,4,133,189,11896,12272,1954,2418,112,133,561,708,11,9,13822,14794,11340,11720,1826,2243,23,23,514,644,2,4,117,160,11413,11823,1881,2332,91,105,555,703,7,9,568,535,470,425,60,68,15,12,4,1,3,0,16,29,483,449,73,86,21,28,6,5,4,0
050,34,005,New Jersey,Burlington County,1,13,25920,12446,13474,10262,10854,1576,1944,23,20,471,549,6,3,108,104,10342,10925,1635,2008,85,85,492,570,14,7,11996,13079,9881,10531,1528,1887,21,18,468,544,5,3,93,96,9950,10595,1574,1945,76,79,487,564,13,7,450,395,381,323,48,57,2,2,3,5,1,0,15,8,392,330,61,63,9,6,5,6,1,0
050,34,005,New Jersey,Burlington County,1,14,18562,8643,9919,7161,7951,1098,1471,20,19,312,397,5,4,47,77,7190,8001,1126,1514,49,70,318,410,8,10,8415,9681,6964,7763,1077,1436,16,14,308,396,5,3,45,69,6992,7807,1103,1472,44,62,314,409,8,8,228,238,197,188,21,35,4,5,4,1,0,1,2,8,198,194,23,42,5,8,4,1,0,2
050,34,005,New Jersey,Burlington County,1,15,13884,6134,7750,4946,6219,893,1205,12,11,237,260,0,2,46,53,4972,6262,918,1235,44,35,246,277,2,6,5986,7556,4831,6056,871,1180,9,9,235,259,0,2,40,50,4853,6096,892,1208,38,33,243,275,2,6,148,194,115,163,22,25,3,2,2,1,0,0,6,3,119,166,26,27,6,2,3,2,0,0
050,34,005,New Jersey,Burlington County,1,16,11612,4951,6661,4107,5525,693,875,2,9,119,203,3,1,27,48,4123,5563,708,903,15,33,130,214,6,1,4848,6513,4016,5409,683,856,2,5,119,200,3,1,25,42,4031,5442,697,879,15,26,128,211,5,1,103,148,91,116,10,19,0,4,0,3,0,0,2,6,92,121,11,24,0,7,2,3,1,0
050,34,005,New Jersey,Burlington County,1,17,9417,3617,5800,3148,5071,384,550,3,10,52,125,1,1,29,43,3166,5103,400,569,24,36,58,138,3,4,3537,5685,3083,4979,373,531,2,10,51,124,1,1,27,40,3101,5009,388,549,22,36,55,135,2,3,80,115,65,92,11,19,1,0,1,1,0,0,2,3,65,94,12,20,2,0,3,3,1,1
050,34,005,New Jersey,Burlington County,1,18,8715,2886,5829,2630,5240,211,483,4,4,30,79,0,0,11,23,2638,5257,216,492,9,18,34,84,2,1,2836,5749,2587,5175,206,470,3,4,30,79,0,0,10,21,2594,5191,210,478,8,17,34,83,2,1,50,80,43,65,5,13,1,0,0,0,0,0,1,2,44,66,6,14,1,1,0,1,0,0
050,34,005,New Jersey,Burlington County,2,0,448738,220535,228203,166438,172640,38468,38656,683,552,9385,10530,136,151,5425,5674,170894,177366,41902,42373,2249,2220,11176,12283,335,341,205293,214616,155334,162856,35715,36146,346,329,9223,10369,90,115,4585,4801,159091,166839,38516,39206,1603,1662,10849,11979,257,277,15242,13587,11104,9784,2753,2510,337,223,162,161,46,36,840,873,11803,10527,3386,3167,646,558,327,304,78,64
050,34,005,New Jersey,Burlington County,2,1,25964,13206,12758,9144,8664,2375,2365,42,48,749,740,5,19,891,922,9951,9517,2994,3009,189,187,1041,1016,30,44,11786,11334,8182,7726,2102,2079,17,20,734,718,2,10,749,781,8865,8450,2616,2613,118,114,996,976,25,35,1420,1424,962,938,273,286,25,28,15,22,3,9,142,141,1086,1067,378,396,71,73,45,40,5,9
050,34,005,New Jersey,Burlington County,2,2,28434,14434,14000,10259,9839,2556,2542,36,40,766,806,13,11,804,762,10990,10534,3105,3069,153,152,1040,1065,41,30,13153,12707,9417,8979,2292,2279,17,19,744,783,7,7,676,640,10036,9562,2738,2712,108,102,983,1016,31,18,1281,1293,842,860,264,263,19,21,22,23,6,4,128,122,954,972,367,357,45,50,57,49,10,12
050,34,005,New Jersey,Burlington County,2,3,30318,15476,14842,11093,10532,3011,2912,43,38,620,687,8,11,701,662,11697,11119,3490,3382,169,183,867,893,28,31,14266,13641,10261,9735,2757,2663,24,23,607,672,4,10,613,538,10794,10211,3162,3038,121,135,840,853,20,23,1210,1201,832,797,254,249,19,15,13,15,4,1,88,124,903,908,328,344,48,48,27,40,8,8
050,34,005,New Jersey,Burlington County,2,4,30329,15770,14559,11224,10327,3450,3084,42,33,521,529,11,16,522,570,11662,10810,3813,3484,166,185,682,706,30,30,14471,13455,10315,9584,3189,2837,18,19,507,515,5,11,437,489,10682,10001,3486,3176,114,136,654,677,22,24,1299,1104,909,743,261,247,24,14,14,14,6,5,85,81,980,809,327,308,52,49,28,29,8,6
050,34,005,New Jersey,Burlington County,2,5,26334,14710,11624,9630,8333,3996,2391,95,44,511,455,15,10,463,391,9980,8643,4305,2647,258,170,660,573,31,31,12991,10570,8552,7586,3546,2182,29,21,493,445,6,9,365,327,8825,7847,3787,2394,146,112,622,549,16,28,1719,1054,1078,747,450,209,66,23,18,10,9,1,98,64,1155,796,518,253,112,58,38,24,15,3
050,34,005,New Jersey,Burlington County,2,6,26175,13635,12540,9857,9067,2692,2271,65,49,642,770,11,11,368,372,10142,9377,2916,2506,210,164,753,878,20,22,12162,11397,8778,8255,2434,2046,17,27,627,759,6,10,300,300,9009,8506,2606,2226,128,114,728,860,14,20,1473,1143,1079,812,258,225,48,22,15,11,5,1,68,72,1133,871,310,280,82,50,25,18,6,2
050,34,005,New Jersey,Burlington County,2,7,25433,12487,12946,9096,9276,2242,2353,46,36,771,946,11,12,321,323,9345,9538,2427,2536,153,141,881,1057,25,30,11275,11889,8188,8491,2047,2151,21,20,754,937,9,9,256,281,8383,8722,2183,2303,105,107,853,1038,20,26,1212,1057,908,785,195,202,25,16,17,9,2,3,65,42,962,816,244,233,48,34,28,19,5,4
