GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQ1T,PAYANT
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US42017,42017,"Bucks County, Pennsylvania",56,Administrative and support and waste management and remediation services,2005,1162,24701,127043,562508
0500000US42017,42017,"Bucks County, Pennsylvania",61,Educational services,2005,214,4850,31333,133930
0500000US42017,42017,"Bucks County, Pennsylvania",62,Health care and social assistance,2005,1887,34427,279205,1222301
0500000US42017,42017,"Bucks County, Pennsylvania",71,"Arts, entertainment, and recreation",2005,275,4645,19132,83275
0500000US42017,42017,"Bucks County, Pennsylvania",72,Accommodation and food services,2005,1231,18039,51692,228577
0500000US42017,42017,"Bucks County, Pennsylvania",81,Other services (except public administration),2005,1721,12795,72157,309949
0500000US42017,42017,"Bucks County, Pennsylvania",99,Industries not classified,2005,34,22,93,396
0500000US42029,42029,"Chester County, Pennsylvania",00,Total for all sectors,2005,13713,223180,2807132,11561668
0500000US42029,42029,"Chester County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2005,49,e,D,D
0500000US42029,42029,"Chester County, Pennsylvania",21,Mining ,2005,9,c,D,D
0500000US42029,42029,"Chester County, Pennsylvania",22,Utilities,2005,27,g,D,D
0500000US42029,42029,"Chester County, Pennsylvania",23,Construction,2005,1493,11206,126222,596678
0500000US42029,42029,"Chester County, Pennsylvania",31-33,Manufacturing,2005,599,16850,204611,837794
0500000US42029,42029,"Chester County, Pennsylvania",42,Wholesale trade,2005,1002,11021,176286,759295
0500000US42029,42029,"Chester County, Pennsylvania",44-45,Retail trade,2005,1548,27543,223717,834129
0500000US42029,42029,"Chester County, Pennsylvania",48-49,Transportation and warehousing,2005,244,6789,56489,238128
0500000US42029,42029,"Chester County, Pennsylvania",51,Information,2005,316,8354,139057,555950
0500000US42029,42029,"Chester County, Pennsylvania",52,Finance and insurance,2005,975,22242,410523,1781286
0500000US42029,42029,"Chester County, Pennsylvania",53,Real estate and rental and leasing,2005,464,2957,30026,136413
0500000US42029,42029,"Chester County, Pennsylvania",54,"Professional, scientific, and technical services",2005,2213,25393,468597,1967762
0500000US42029,42029,"Chester County, Pennsylvania",55,Management of companies and enterprises,2005,218,14016,400812,1486244
0500000US42029,42029,"Chester County, Pennsylvania",56,Administrative and support and waste management and remediation services,2005,836,13286,99074,453776
0500000US42029,42029,"Chester County, Pennsylvania",61,Educational services,2005,181,5071,32980,143647
0500000US42029,42029,"Chester County, Pennsylvania",62,Health care and social assistance,2005,1271,27899,229183,1004121
0500000US42029,42029,"Chester County, Pennsylvania",71,"Arts, entertainment, and recreation",2005,198,2987,12011,62382
0500000US42029,42029,"Chester County, Pennsylvania",72,Accommodation and food services,2005,832,14631,46367,202460
0500000US42029,42029,"Chester County, Pennsylvania",81,Other services (except public administration),2005,1218,10718,67555,286871
0500000US42029,42029,"Chester County, Pennsylvania",99,Industries not classified,2005,20,b,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",00,Total for all sectors,2005,13263,216353,2334165,9561721
0500000US42045,42045,"Delaware County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2005,3,a,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",21,Mining ,2005,4,b,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",22,Utilities,2005,18,g,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",23,Construction,2005,1431,12613,142269,674025
0500000US42045,42045,"Delaware County, Pennsylvania",31-33,Manufacturing,2005,425,12753,264118,1080626
0500000US42045,42045,"Delaware County, Pennsylvania",42,Wholesale trade,2005,682,7627,105218,507458
0500000US42045,42045,"Delaware County, Pennsylvania",44-45,Retail trade,2005,1919,26998,140378,616651
0500000US42045,42045,"Delaware County, Pennsylvania",48-49,Transportation and warehousing,2005,267,8612,65776,276800
0500000US42045,42045,"Delaware County, Pennsylvania",51,Information,2005,271,8412,311763,923139
0500000US42045,42045,"Delaware County, Pennsylvania",52,Finance and insurance,2005,851,16136,278377,1065080
0500000US42045,42045,"Delaware County, Pennsylvania",53,Real estate and rental and leasing,2005,448,4259,40600,177550
0500000US42045,42045,"Delaware County, Pennsylvania",54,"Professional, scientific, and technical services",2005,1692,11702,168268,759510
0500000US42045,42045,"Delaware County, Pennsylvania",55,Management of companies and enterprises,2005,73,3303,88735,319707
0500000US42045,42045,"Delaware County, Pennsylvania",56,Administrative and support and waste management and remediation services,2005,770,16031,102989,460572
0500000US42045,42045,"Delaware County, Pennsylvania",61,Educational services,2005,162,12016,80529,341120
0500000US42045,42045,"Delaware County, Pennsylvania",62,Health care and social assistance,2005,1536,43949,390613,1694810
0500000US42045,42045,"Delaware County, Pennsylvania",71,"Arts, entertainment, and recreation",2005,188,3066,12434,60528
0500000US42045,42045,"Delaware County, Pennsylvania",72,Accommodation and food services,2005,1048,15769,46591,202953
0500000US42045,42045,"Delaware County, Pennsylvania",81,Other services (except public administration),2005,1446,11674,64553,277742
0500000US42045,42045,"Delaware County, Pennsylvania",99,Industries not classified,2005,29,b,D,D
0500000US42091,42091,"Montgomery County, Pennsylvania",00,Total for all sectors,2005,26274,482042,6025265,23463961
0500000US42091,42091,"Montgomery County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2005,11,19,142,656
0500000US42091,42091,"Montgomery County, Pennsylvania",21,Mining ,2005,19,301,3457,16025
0500000US42091,42091,"Montgomery County, Pennsylvania",22,Utilities,2005,26,2711,76855,238012
0500000US42091,42091,"Montgomery County, Pennsylvania",23,Construction,2005,2437,26716,376684,1662363
0500000US42091,42091,"Montgomery County, Pennsylvania",31-33,Manufacturing,2005,1175,54302,786421,3025142
0500000US42091,42091,"Montgomery County, Pennsylvania",42,Wholesale trade,2005,1806,28079,474883,1929317
0500000US42091,42091,"Montgomery County, Pennsylvania",44-45,Retail trade,2005,3447,57009,312515,1410324
0500000US42091,42091,"Montgomery County, Pennsylvania",48-49,Transportation and warehousing,2005,366,11180,81557,334775
0500000US42091,42091,"Montgomery County, Pennsylvania",51,Information,2005,603,14377,222646,873361
0500000US42091,42091,"Montgomery County, Pennsylvania",52,Finance and insurance,2005,2029,43844,1100470,3317266
0500000US42091,42091,"Montgomery County, Pennsylvania",53,Real estate and rental and leasing,2005,1055,8338,106644,445806
0500000US42091,42091,"Montgomery County, Pennsylvania",54,"Professional, scientific, and technical services",2005,3744,48726,892210,3523054
0500000US42091,42091,"Montgomery County, Pennsylvania",55,Management of companies and enterprises,2005,218,18365,446699,1646812
0500000US42091,42091,"Montgomery County, Pennsylvania",56,Administrative and support and waste management and remediation services,2005,1606,34516,278584,1265265
0500000US42091,42091,"Montgomery County, Pennsylvania",61,Educational services,2005,374,15836,104671,435345
0500000US42091,42091,"Montgomery County, Pennsylvania",62,Health care and social assistance,2005,2708,63232,530688,2340580
0500000US42091,42091,"Montgomery County, Pennsylvania",71,"Arts, entertainment, and recreation",2005,383,6060,21689,113365
0500000US42091,42091,"Montgomery County, Pennsylvania",72,Accommodation and food services,2005,1724,27587,90658,392872
0500000US42091,42091,"Montgomery County, Pennsylvania",81,Other services (except public administration),2005,2499,20787,117563,492488
0500000US42091,42091,"Montgomery County, Pennsylvania",99,Industries not classified,2005,44,57,229,1133
0500000US42101,42101,"Philadelphia County, Pennsylvania",00,Total for all sectors,2005,26610,567656,6214266,25042937
0500000US42101,42101,"Philadelphia County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2005,7,b,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",22,Utilities,2005,12,g,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",23,Construction,2005,1191,12422,180212,864048
0500000US42101,42101,"Philadelphia County, Pennsylvania",31-33,Manufacturing,2005,1019,35519,350915,1476483
0500000US42101,42101,"Philadelphia County, Pennsylvania",42,Wholesale trade,2005,1241,21073,259342,1090170
0500000US42101,42101,"Philadelphia County, Pennsylvania",44-45,Retail trade,2005,4553,51885,256448,1102074
0500000US42101,42101,"Philadelphia County, Pennsylvania",48-49,Transportation and warehousing,2005,401,19964,178905,749301
0500000US42101,42101,"Philadelphia County, Pennsylvania",51,Information,2005,481,15816,253381,993775
0500000US42101,42101,"Philadelphia County, Pennsylvania",52,Finance and insurance,2005,1439,45888,1069350,3288435
0500000US42101,42101,"Philadelphia County, Pennsylvania",53,Real estate and rental and leasing,2005,1038,j,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",54,"Professional, scientific, and technical services",2005,2856,48802,835790,3770216
0500000US42101,42101,"Philadelphia County, Pennsylvania",55,Management of companies and enterprises,2005,198,11466,352208,1169806
0500000US42101,42101,"Philadelphia County, Pennsylvania",56,Administrative and support and waste management and remediation services,2005,989,23795,143339,609103
0500000US42101,42101,"Philadelphia County, Pennsylvania",61,Educational services,2005,429,67260,645202,2711380
0500000US42101,42101,"Philadelphia County, Pennsylvania",62,Health care and social assistance,2005,3531,118960,1050398,4532970
0500000US42101,42101,"Philadelphia County, Pennsylvania",71,"Arts, entertainment, and recreation",2005,379,9896,112851,552475
0500000US42101,42101,"Philadelphia County, Pennsylvania",72,Accommodation and food services,2005,3441,45275,192731,817999
0500000US42101,42101,"Philadelphia County, Pennsylvania",81,Other services (except public administration),2005,3359,27880,181918,765295
0500000US42101,42101,"Philadelphia County, Pennsylvania",99,Industries not classified,2005,46,b,D,D
