GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US34005,34005,"Burlington County, New Jersey",00,Total for all sectors,2013,10557,179487,2302821,9132171
0500000US34005,34005,"Burlington County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2013,20,125,1433,5710
0500000US34005,34005,"Burlington County, New Jersey",21,"Mining, quarrying, and oil and gas extraction",2013,4,34,592,2588
0500000US34005,34005,"Burlington County, New Jersey",22,Utilities,2013,23,f,D,D
0500000US34005,34005,"Burlington County, New Jersey",23,Construction,2013,964,6876,92401,412405
0500000US34005,34005,"Burlington County, New Jersey",31-33,Manufacturing,2013,342,15611,275870,1065044
0500000US34005,34005,"Burlington County, New Jersey",42,Wholesale trade,2013,599,12184,186641,754124
0500000US34005,34005,"Burlington County, New Jersey",44-45,Retail trade,2013,1436,24264,162962,665255
0500000US34005,34005,"Burlington County, New Jersey",48-49,Transportation and warehousing,2013,289,7876,89316,370833
0500000US34005,34005,"Burlington County, New Jersey",51,Information,2013,166,3719,83429,307445
0500000US34005,34005,"Burlington County, New Jersey",52,Finance and insurance,2013,652,17283,347385,1275706
0500000US34005,34005,"Burlington County, New Jersey",53,Real estate and rental and leasing,2013,379,3474,S,228236
0500000US34005,34005,"Burlington County, New Jersey",54,"Professional, scientific, and technical services",2013,1322,17996,351334,1423008
0500000US34005,34005,"Burlington County, New Jersey",55,Management of companies and enterprises,2013,94,6108,139221,506385
0500000US34005,34005,"Burlington County, New Jersey",56,Administrative and support and waste management and remediation services,2013,694,11532,110667,455684
0500000US34005,34005,"Burlington County, New Jersey",61,Educational services,2013,176,2417,16561,63174
0500000US34005,34005,"Burlington County, New Jersey",62,Health care and social assistance,2013,1286,25480,250008,1071685
0500000US34005,34005,"Burlington County, New Jersey",71,"Arts, entertainment, and recreation",2013,142,2332,8339,40005
0500000US34005,34005,"Burlington County, New Jersey",72,Accommodation and food services,2013,925,14666,52881,223478
0500000US34005,34005,"Burlington County, New Jersey",81,Other services (except public administration),2013,1030,6583,40316,169232
0500000US34005,34005,"Burlington County, New Jersey",99,Industries not classified,2013,14,a,S,296
0500000US34007,34007,"Camden County, New Jersey",00,Total for all sectors,2013,11449,171022,1799511,7625855
0500000US34007,34007,"Camden County, New Jersey",11,"Agriculture, forestry, fishing and hunting",2013,5,61,346,1399
