GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US42029,42029,"Chester County, Pennsylvania",22,Utilities,2011,20,g,D,D
0500000US42029,42029,"Chester County, Pennsylvania",23,Construction,2011,1341,9169,113582,528157
0500000US42029,42029,"Chester County, Pennsylvania",31-33,Manufacturing,2011,518,15218,221259,905337
0500000US42029,42029,"Chester County, Pennsylvania",42,Wholesale trade,2011,948,15722,351240,1453501
0500000US42029,42029,"Chester County, Pennsylvania",44-45,Retail trade,2011,1465,26557,213174,853581
0500000US42029,42029,"Chester County, Pennsylvania",48-49,Transportation and warehousing,2011,243,7406,74176,311831
0500000US42029,42029,"Chester County, Pennsylvania",51,Information,2011,289,7719,186055,715294
0500000US42029,42029,"Chester County, Pennsylvania",52,Finance and insurance,2011,998,22629,459977,2048778
0500000US42029,42029,"Chester County, Pennsylvania",53,Real estate and rental and leasing,2011,440,2467,30118,128096
0500000US42029,42029,"Chester County, Pennsylvania",54,"Professional, scientific, and technical services",2011,2253,21969,509988,2103417
0500000US42029,42029,"Chester County, Pennsylvania",55,Management of companies and enterprises,2011,130,15479,488410,1771329
0500000US42029,42029,"Chester County, Pennsylvania",56,Administrative and support and waste management and remediation services,2011,894,15499,145629,667975
0500000US42029,42029,"Chester County, Pennsylvania",61,Educational services,2011,212,6205,47540,199778
0500000US42029,42029,"Chester County, Pennsylvania",62,Health care and social assistance,2011,1421,32416,304598,1338022
0500000US42029,42029,"Chester County, Pennsylvania",71,"Arts, entertainment, and recreation",2011,213,4084,17179,86710
0500000US42029,42029,"Chester County, Pennsylvania",72,Accommodation and food services,2011,940,15430,57932,250369
0500000US42029,42029,"Chester County, Pennsylvania",81,Other services (except public administration),2011,1287,10830,79724,322672
0500000US42029,42029,"Chester County, Pennsylvania",99,Industries not classified,2011,23,b,174,1399
0500000US42045,42045,"Delaware County, Pennsylvania",00,Total for all sectors,2011,12629,204707,2854053,10721220
0500000US42045,42045,"Delaware County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2011,1,a,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",21,"Mining, quarrying, and oil and gas extraction",2011,1,a,D,D
0500000US42045,42045,"Delaware County, Pennsylvania",22,Utilities,2011,16,632,21461,73240
0500000US42045,42045,"Delaware County, Pennsylvania",23,Construction,2011,1267,9255,126801,559821
0500000US42045,42045,"Delaware County, Pennsylvania",31-33,Manufacturing,2011,379,13781,266033,1030659
0500000US42045,42045,"Delaware County, Pennsylvania",42,Wholesale trade,2011,642,7811,172842,602767
0500000US42045,42045,"Delaware County, Pennsylvania",44-45,Retail trade,2011,1758,24890,151674,660650
0500000US42045,42045,"Delaware County, Pennsylvania",48-49,Transportation and warehousing,2011,279,6931,68918,295884
0500000US42045,42045,"Delaware County, Pennsylvania",51,Information,2011,212,10678,S,1586628
0500000US42045,42045,"Delaware County, Pennsylvania",52,Finance and insurance,2011,841,12535,299401,1017629
0500000US42045,42045,"Delaware County, Pennsylvania",53,Real estate and rental and leasing,2011,407,4813,63900,250589
0500000US42045,42045,"Delaware County, Pennsylvania",54,"Professional, scientific, and technical services",2011,1519,11433,176149,764128
0500000US42045,42045,"Delaware County, Pennsylvania",55,Management of companies and enterprises,2011,82,5142,149037,570746
0500000US42045,42045,"Delaware County, Pennsylvania",56,Administrative and support and waste management and remediation services,2011,763,15322,123822,558284
0500000US42045,42045,"Delaware County, Pennsylvania",61,Educational services,2011,199,13195,108708,454420
0500000US42045,42045,"Delaware County, Pennsylvania",62,Health care and social assistance,2011,1593,37491,380926,1623492
0500000US42045,42045,"Delaware County, Pennsylvania",71,"Arts, entertainment, and recreation",2011,190,3275,17261,81212
0500000US42045,42045,"Delaware County, Pennsylvania",72,Accommodation and food services,2011,1071,17101,67391,288326
0500000US42045,42045,"Delaware County, Pennsylvania",81,Other services (except public administration),2011,1395,10399,71078,302414
0500000US42045,42045,"Delaware County, Pennsylvania",99,Industries not classified,2011,14,9,S,192
0500000US42091,42091,"Montgomery County, Pennsylvania",00,Total for all sectors,2011,25632,465939,6861353,25974357
0500000US42091,42091,"Montgomery County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2011,15,25,148,1167
0500000US42091,42091,"Montgomery County, Pennsylvania",21,"Mining, quarrying, and oil and gas extraction",2011,17,177,1997,9912
0500000US42091,42091,"Montgomery County, Pennsylvania",22,Utilities,2011,25,h,D,D
0500000US42091,42091,"Montgomery County, Pennsylvania",23,Construction,2011,2122,22419,306976,1505643
0500000US42091,42091,"Montgomery County, Pennsylvania",31-33,Manufacturing,2011,994,37603,634857,2398354
0500000US42091,42091,"Montgomery County, Pennsylvania",42,Wholesale trade,2011,1598,27137,596760,2202377
0500000US42091,42091,"Montgomery County, Pennsylvania",44-45,Retail trade,2011,3292,55904,352162,1505868
0500000US42091,42091,"Montgomery County, Pennsylvania",48-49,Transportation and warehousing,2011,393,9818,93814,398138
0500000US42091,42091,"Montgomery County, Pennsylvania",51,Information,2011,562,13716,237758,931191
0500000US42091,42091,"Montgomery County, Pennsylvania",52,Finance and insurance,2011,1976,34626,1054488,3170290
0500000US42091,42091,"Montgomery County, Pennsylvania",53,Real estate and rental and leasing,2011,923,7425,98983,404311
0500000US42091,42091,"Montgomery County, Pennsylvania",54,"Professional, scientific, and technical services",2011,3724,44817,914837,3714113
0500000US42091,42091,"Montgomery County, Pennsylvania",55,Management of companies and enterprises,2011,276,30158,1030092,3182920
0500000US42091,42091,"Montgomery County, Pennsylvania",56,Administrative and support and waste management and remediation services,2011,1671,38193,342581,1522768
0500000US42091,42091,"Montgomery County, Pennsylvania",61,Educational services,2011,420,15904,121243,509919
0500000US42091,42091,"Montgomery County, Pennsylvania",62,Health care and social assistance,2011,2930,71139,714364,3073630
0500000US42091,42091,"Montgomery County, Pennsylvania",71,"Arts, entertainment, and recreation",2011,355,7333,26917,135224
0500000US42091,42091,"Montgomery County, Pennsylvania",72,Accommodation and food services,2011,1853,27853,107824,461907
0500000US42091,42091,"Montgomery County, Pennsylvania",81,Other services (except public administration),2011,2460,18868,122567,522258
0500000US42091,42091,"Montgomery County, Pennsylvania",99,Industries not classified,2011,26,12,S,1028
0500000US42101,42101,"Philadelphia County, Pennsylvania",00,Total for all sectors,2011,26772,585909,7193508,29041146
0500000US42101,42101,"Philadelphia County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2011,3,a,S,163
0500000US42101,42101,"Philadelphia County, Pennsylvania",22,Utilities,2011,8,g,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",23,Construction,2011,1105,9656,156010,681998
0500000US42101,42101,"Philadelphia County, Pennsylvania",31-33,Manufacturing,2011,783,23141,285748,1202444
0500000US42101,42101,"Philadelphia County, Pennsylvania",42,Wholesale trade,2011,1106,16913,257407,1045731
0500000US42101,42101,"Philadelphia County, Pennsylvania",44-45,Retail trade,2011,4508,47652,272468,1181302
0500000US42101,42101,"Philadelphia County, Pennsylvania",48-49,Transportation and warehousing,2011,443,21799,246360,967280
0500000US42101,42101,"Philadelphia County, Pennsylvania",51,Information,2011,477,21621,347652,1169189
0500000US42101,42101,"Philadelphia County, Pennsylvania",52,Finance and insurance,2011,1347,28619,984308,2926351
0500000US42101,42101,"Philadelphia County, Pennsylvania",53,Real estate and rental and leasing,2011,1003,8658,109954,428771
0500000US42101,42101,"Philadelphia County, Pennsylvania",54,"Professional, scientific, and technical services",2011,2752,43743,844050,3853807
0500000US42101,42101,"Philadelphia County, Pennsylvania",55,Management of companies and enterprises,2011,163,12614,382600,1238544
0500000US42101,42101,"Philadelphia County, Pennsylvania",56,Administrative and support and waste management and remediation services,2011,955,24863,199367,877598
0500000US42101,42101,"Philadelphia County, Pennsylvania",61,Educational services,2011,502,80025,878431,3752770
0500000US42101,42101,"Philadelphia County, Pennsylvania",62,Health care and social assistance,2011,3871,153100,1531136,6597602
0500000US42101,42101,"Philadelphia County, Pennsylvania",71,"Arts, entertainment, and recreation",2011,356,11620,146660,788480
0500000US42101,42101,"Philadelphia County, Pennsylvania",72,Accommodation and food services,2011,4020,53401,270695,1224194
0500000US42101,42101,"Philadelphia County, Pennsylvania",81,Other services (except public administration),2011,3337,26781,211693,888448
0500000US42101,42101,"Philadelphia County, Pennsylvania",99,Industries not classified,2011,33,29,119,743
