GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
0500000US42091,42091,"Montgomery County, Pennsylvania",56,Administrative and support and waste management and remediation services,2007,1634,33832,G,309159,G,1346781,G
0500000US42091,42091,"Montgomery County, Pennsylvania",61,Educational services,2007,389,16317,G,125181,G,499073,G
0500000US42091,42091,"Montgomery County, Pennsylvania",62,Health care and social assistance,2007,2751,62350,G,609980,G,2657050,G
0500000US42091,42091,"Montgomery County, Pennsylvania",71,"Arts, entertainment, and recreation",2007,357,6366,G,24329,G,122133,G
0500000US42091,42091,"Montgomery County, Pennsylvania",72,Accommodation and food services,2007,1784,28425,G,104895,G,433062,G
0500000US42091,42091,"Montgomery County, Pennsylvania",81,Other services (except public administration),2007,2505,20559,G,129683,G,540201,G
0500000US42091,42091,"Montgomery County, Pennsylvania",99,Industries not classified,2007,16,a,S,S,S,454,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",00,Total for all sectors,2007,26352,586562,G,7085959,G,27241828,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",11,"Agriculture, forestry, fishing and hunting",2007,6,a,D,D,D,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",21,Mining ,2007,5,e,D,D,D,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",22,Utilities,2007,7,g,D,D,D,D,D
0500000US42101,42101,"Philadelphia County, Pennsylvania",23,Construction,2007,1218,11717,G,164385,G,722335,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",31-33,Manufacturing,2007,934,31733,G,351373,G,1428029,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",42,Wholesale trade,2007,1153,20216,G,286804,G,1179864,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",44-45,Retail trade,2007,4514,51783,G,282857,G,1185183,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",48-49,Transportation and warehousing,2007,414,23982,H,243118,H,926263,H
0500000US42101,42101,"Philadelphia County, Pennsylvania",51,Information,2007,463,17379,H,301699,H,1007240,H
0500000US42101,42101,"Philadelphia County, Pennsylvania",52,Finance and insurance,2007,1567,46011,H,1131323,H,3487627,H
0500000US42101,42101,"Philadelphia County, Pennsylvania",53,Real estate and rental and leasing,2007,1069,9820,G,107508,G,427602,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",54,"Professional, scientific, and technical services",2007,2821,50178,G,937128,G,3934507,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",55,Management of companies and enterprises,2007,140,12597,G,421687,G,1271351,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",56,Administrative and support and waste management and remediation services,2007,950,24497,G,182591,G,748843,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",61,Educational services,2007,462,66144,G,701437,H,2933128,H
0500000US42101,42101,"Philadelphia County, Pennsylvania",62,Health care and social assistance,2007,3582,133789,G,1328706,G,5540081,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",71,"Arts, entertainment, and recreation",2007,358,9918,G,190560,G,627810,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",72,Accommodation and food services,2007,3326,47542,G,200168,G,845802,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",81,Other services (except public administration),2007,3338,27318,G,190626,G,793300,G
0500000US42101,42101,"Philadelphia County, Pennsylvania",99,Industries not classified,2007,25,a,S,53,G,235,G
