GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0500000US34005,34005,"Burlington County, New Jersey",35066,2634,956,550,3188,1016,3466,973,4240,1310,4856,1082,3241,953,1141,543,3903,1132,7286,1431,2789,1168
0500000US34007,34007,"Camden County, New Jersey",59232,3226,1884,664,5164,1144,7016,1529,6690,1302,5601,1212,4541,1116,4477,1023,5533,1216,16110,2292,2216,843
0500000US34015,34015,"Gloucester County, New Jersey",20680,2060,520,341,2037,835,1747,749,2416,804,1845,663,1954,749,2000,865,1695,698,4147,990,2319,823
0500000US34021,34021,"Mercer County, New Jersey",41530,2850,1115,530,5197,1278,4313,938,5228,1129,3904,1019,3882,1079,3602,1191,2989,1115,9029,1741,2271,899
0500000US42017,42017,"Bucks County, Pennsylvania",50742,3205,1560,671,3821,1070,6848,1275,7382,1592,5960,1020,4769,1279,3283,1020,3751,1291,11168,1830,2200,725
0500000US42029,42029,"Chester County, Pennsylvania",37835,2913,1347,553,3661,1099,6001,1537,5120,1182,4268,879,3673,1100,1697,521,2800,954,7820,1506,1448,594
0500000US42045,42045,"Delaware County, Pennsylvania",59462,2839,2003,565,5420,1058,7108,1363,7883,1419,5658,1097,4368,1127,2656,924,5879,1196,15596,2064,2891,823
0500000US42091,42091,"Montgomery County, Pennsylvania",80524,3724,2687,829,8850,1425,11766,1693,10683,1630,8347,1572,7033,1463,3786,1093,6530,1328,17581,1710,3261,982
0500000US42101,42101,"Philadelphia County, Pennsylvania",253084,7064,8604,1443,17136,2679,28551,3194,29945,3297,22111,2348,19478,2979,12880,2186,18732,2646,74470,5341,21177,2859
