GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0500000US34005,34005,"Burlington County, New Jersey",35173,2279,447,357,1985,765,5260,1261,4890,1108,2997,926,3660,859,2424,955,3790,1159,6955,1272,2765,840
0500000US34007,34007,"Camden County, New Jersey",55343,2643,2212,765,4177,1155,8078,1264,6720,1329,5490,1146,5104,1079,4277,1119,3728,938,13359,1791,2198,662
0500000US34015,34015,"Gloucester County, New Jersey",17881,1746,1157,672,1608,816,2102,669,2215,612,1811,619,1390,652,1239,566,991,646,3975,965,1393,567
0500000US34021,34021,"Mercer County, New Jersey",39954,2709,1182,473,4161,1123,4719,1232,3159,982,5618,1301,3893,1008,1574,571,3942,1135,9566,1626,2140,822
0500000US42017,42017,"Bucks County, Pennsylvania",51155,3007,1875,744,3832,1019,7810,1631,5404,1168,5524,1085,4423,1201,2884,937,4210,978,12701,2065,2492,713
0500000US42029,42029,"Chester County, Pennsylvania",38210,2397,1444,662,3855,998,5661,1415,5391,1029,3487,1013,2899,897,2247,821,3033,913,7515,1417,2678,850
0500000US42045,42045,"Delaware County, Pennsylvania",55327,3101,1143,549,4544,1118,6197,1140,7373,1334,6473,1188,3698,1019,2411,654,4811,1187,15045,1957,3632,1031
0500000US42091,42091,"Montgomery County, Pennsylvania",71603,2975,1903,694,6574,1272,11624,1674,11227,1562,8736,1576,4772,1033,2820,808,5056,1190,14765,1625,4126,972
0500000US42101,42101,"Philadelphia County, Pennsylvania",231323,7437,8230,1838,15208,2181,22180,2828,23122,2542,21922,2261,16588,2050,13945,2000,18820,2379,70257,5006,21051,2806
