GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US34005,34005,"Burlington County, New Jersey",34609,2479,506,357,1720,602,4982,1228,4157,1021,3393,998,3416,826,2402,747,3375,1046,8781,1619,1877,630
0500000US34007,34007,"Camden County, New Jersey",62530,2826,2206,625,2535,942,7383,1338,4858,1142,5624,1309,5186,1128,3180,903,7341,1573,19891,2681,4326,1083
0500000US34015,34015,"Gloucester County, New Jersey",20869,2224,409,384,1722,808,2007,788,2728,991,2289,744,1666,733,1273,589,1187,535,6381,1382,1207,645
0500000US34021,34021,"Mercer County, New Jersey",42688,2789,1263,565,4327,1124,4171,1110,3867,931,5192,1177,3381,1080,3495,1010,2542,766,12169,1745,2281,754
0500000US42017,42017,"Bucks County, Pennsylvania",47531,2844,952,524,2200,626,4550,1218,6201,1617,4967,1238,6061,1408,4181,1098,4358,1163,12068,1811,1993,686
0500000US42029,42029,"Chester County, Pennsylvania",44651,2867,1925,724,4798,1137,6013,1242,5666,1366,5937,1295,2764,801,2697,825,2200,711,9217,1462,3434,678
0500000US42045,42045,"Delaware County, Pennsylvania",61100,3184,2561,871,4101,1002,6579,1112,7589,1437,6205,1389,3748,968,3637,1040,6373,1200,15477,2161,4830,1143
0500000US42091,42091,"Montgomery County, Pennsylvania",83238,3464,3017,993,8071,1586,11485,1778,9765,1845,10171,1377,6095,1177,4705,1179,7008,1392,19366,2260,3555,992
0500000US42101,42101,"Philadelphia County, Pennsylvania",264129,6251,6635,1323,13739,1593,26471,3191,25494,3409,25721,2913,20434,2843,16014,2681,20748,2756,83176,5601,25697,2720
