Year,BurlPool,BurlTransit,BurlBus,BurlRail,BurlSubw,BurlTroll,BurlFerry,BurlWalk,BurlBike,BurlTMO,BurlMcyc,BurlOther,BurlTaxi,BurlWFH,CamdPool,CamdTransit,CamdBus,CamdRail,CamdSubw,CamdTroll,CamdFerry,CamdWalk,CamdBike,CamdTMO,CamdMcyc,CamdOther,CamdTaxi,CamdWFH,GlocPool,GlocTransit,GlocBus,GlocRail,GlocSubw,GlocTroll,GlocFerry,GlocWalk,GlocBike,GlocTMO,GlocMcyc,GlocOther,GlocTaxi,GlocWFH,MercPool,MercTransit,MercBus,MercRail,MercSubw,MercTroll,MercFerry,MercWalk,MercBike,MercTMO,MercMcyc,MercOther,MercTaxi,MercWFH,BuckPool,BuckTransit,BuckBus,BuckRail,BuckSubw,BuckTroll,BuckFerry,BuckWalk,BuckBike,BuckTMO,BuckMcyc,BuckOther,BuckTaxi,BuckWFH,ChesPool,ChesTransit,ChesBus,ChesRail,ChesSubw,ChesTroll,ChesFerry,ChesWalk,ChesBike,ChesTMO,ChesMcyc,ChesOther,ChesTaxi,ChesWFH,DelaPool,DelaTransit,DelaBus,DelaRail,DelaSubw,DelaTroll,DelaFerry,DelaWalk,DelaBike,DelaTMO,DelaMcyc,DelaOther,DelaTaxi,DelaWFH,MontPool,MontTransit,MontBus,MontRail,MontSubw,MontTroll,MontFerry,MontWalk,MontBike,MontTMO,MontMcyc,MontOther,MontTaxi,MontWFH,PhilPool,PhilTransit,PhilBus,PhilRail,PhilSubw,PhilTroll,PhilFerry,PhilWalk,PhilBike,PhilTMO,PhilMcyc,PhilOther,PhilTaxi,PhilWFH,NJCosPool,NJCosTransit,NJCosBus,NJCosRail,NJCosSubw,NJCosTroll,NJCosFerry,NJCosWalk,NJCosBike,NJCosTMO,NJCosMcyc,NJCosOther,NJCosTaxi,NJCosWFH,PASubPool,PASubTransit,PASubBus,PASubRail,PASubSubw,PASubTroll,PASubFerry,PASubWalk,PASubBike,PASubTMO,PASubMcyc,PASubOther,PASubTaxi,PASubWFH,DVRPCPool,DVRPCTransit,DVRPCBus,DVRPCRail,DVRPCSubw,DVRPCTroll,DVRPCFerry,DVRPCWalk,DVRPCBike,DVRPCTMO,DVRPCMcyc,DVRPCOther,DVRPCTaxi,DVRPCWFH
2006,0.088,0.019,0.014,0.004,0,0,0,0.021,0.002,0.002,0.002,0.001,0.008,0.03,0.094,0.046,0.035,0.005,0.006,0,0,0.026,0.001,0.009,0.002,0.001,0.006,0.035,0.081,0.021,0.019,0.001,0.001,0,0,0.02,0.003,0.003,0,0.001,0.002,0.034,0.096,0.037,0.025,0.009,0.003,0,0,0.035,0.004,0.008,0,0.002,0.006,0.027,0.097,0.016,0.012,0.003,0.001,0,0,0.028,0.001,0.005,0,0.001,0.005,0.042,0.093,0.012,0.009,0.003,0,0,0,0.026,0.001,0.009,0.002,0.001,0.006,0.054,0.081,0.051,0.041,0.006,0.002,0.001,0,0.046,0.003,0.005,0,0,0.005,0.036,0.084,0.028,0.019,0.006,0.002,0.001,0,0.027,0.002,0.009,0,0.001,0.008,0.032,0.094,0.272,0.155,0.058,0.051,0.007,0,0.066,0.01,0.011,0.001,0.001,0.008,0.02,0.091,0.032,0.024,0.005,0.003,0,0,0.026,0.003,0.006,0.001,0.001,0.006,0.031,0.088,0.026,0.02,0.005,0.001,0,0,0.03,0.002,0.008,0,0.001,0.006,0.039,0.091,0.09,0.055,0.018,0.014,0.002,0,0.038,0.004,0.008,0.001,0.001,0.007,0.032
2007,0.083,0.016,0.013,0.001,0.001,0,0,0.015,0.003,0.002,0.002,0.001,0.01,0.04,0.112,0.039,0.025,0.01,0.004,0,0,0.026,0.003,0.006,0.001,0,0.005,0.031,0.109,0.02,0.02,0,0.001,0,0,0.032,0.001,0.006,0,0,0,0.05,0.103,0.027,0.019,0.008,0,0.001,0,0.032,0.004,0.01,0.002,0.001,0.008,0.027,0.094,0.012,0.009,0.003,0,0,0,0.021,0.002,0.006,0,0.001,0.005,0.047,0.078,0.015,0.011,0.002,0.001,0,0,0.024,0,0.004,0,0,0.003,0.058,0.086,0.057,0.046,0.006,0.003,0.001,0,0.044,0.003,0.009,0.002,0.001,0.006,0.045,0.085,0.025,0.02,0.004,0.001,0,0,0.028,0.002,0.005,0,0.001,0.004,0.033,0.09,0.27,0.148,0.062,0.055,0.005,0,0.069,0.009,0.011,0.002,0,0.009,0.024,0.101,0.027,0.019,0.006,0.002,0,0,0.026,0.003,0.006,0.001,0.001,0.008,0.035,0.086,0.026,0.02,0.004,0.001,0,0,0.028,0.002,0.006,0,0.001,0.005,0.043,0.091,0.09,0.053,0.02,0.015,0.001,0,0.038,0.004,0.007,0.001,0.001,0.007,0.036
2008,0.089,0.012,0.011,0.002,0,0,0,0.011,0.002,0.002,0.002,0,0.005,0.039,0.095,0.033,0.025,0.004,0.004,0,0,0.024,0.003,0.009,0.003,0,0.006,0.03,0.089,0.017,0.014,0.001,0.002,0,0,0.022,0.002,0.017,0.001,0.001,0.015,0.04,0.108,0.035,0.021,0.013,0.001,0,0,0.028,0.007,0.013,0.003,0.001,0.009,0.035,0.095,0.012,0.009,0.003,0,0,0,0.018,0.003,0.008,0,0.001,0.007,0.059,0.083,0.011,0.006,0.004,0.001,0,0,0.023,0.002,0.008,0,0.003,0.005,0.051,0.083,0.058,0.047,0.007,0.001,0.003,0,0.043,0.003,0.006,0,0.001,0.005,0.036,0.083,0.027,0.02,0.004,0.002,0,0,0.031,0.003,0.007,0,0.001,0.005,0.033,0.09,0.277,0.149,0.067,0.058,0.004,0,0.071,0.014,0.01,0.001,0.001,0.008,0.02,0.097,0.026,0.018,0.006,0.002,0,0,0.022,0.004,0.01,0.002,0.001,0.008,0.035,0.086,0.026,0.019,0.004,0.001,0.001,0,0.029,0.003,0.007,0,0.001,0.006,0.043,0.09,0.092,0.053,0.021,0.016,0.001,0,0.038,0.006,0.009,0.001,0.001,0.007,0.035
2009,0.074,0.012,0.008,0.003,0.001,0,0,0.019,0.002,0.001,0.001,0,0.008,0.065,0.085,0.035,0.026,0.005,0.004,0,0,0.019,0.005,0.019,0.002,0.002,0.015,0.035,0.092,0.017,0.015,0.001,0.001,0,0,0.02,0.001,0.006,0,0,0,0.046,0.094,0.023,0.015,0.006,0.001,0.001,0,0.028,0.006,0.013,0.003,0.001,0.01,0.037,0.097,0.012,0.01,0.001,0.001,0,0,0.018,0.003,0.006,0.001,0.001,0.004,0.046,0.071,0.016,0.012,0.004,0,0,0,0.016,0.002,0.004,0,0,0.004,0.051,0.084,0.047,0.036,0.005,0.003,0.003,0,0.041,0.004,0.003,0.001,0,0.002,0.042,0.068,0.034,0.024,0.007,0.002,0,0,0.032,0.004,0.005,0,0.001,0.004,0.034,0.082,0.264,0.141,0.067,0.05,0.006,0,0.072,0.019,0.012,0.003,0.001,0.009,0.029,0.085,0.022,0.016,0.004,0.002,0,0,0.022,0.004,0.01,0.002,0.001,0.009,0.046,0.078,0.028,0.021,0.005,0.002,0.001,0,0.027,0.004,0.005,0.001,0.001,0.004,0.042,0.081,0.092,0.053,0.022,0.015,0.002,0,0.038,0.008,0.008,0.002,0.001,0.007,0.039
2010,0.091,0.013,0.011,0.003,0,0,0,0.011,0.002,0.001,0,0.001,0.007,0.04,0.085,0.04,0.028,0.006,0.007,0,0,0.019,0.001,0.007,0,0.001,0.005,0.031,0.069,0.014,0.012,0.001,0,0.001,0,0.019,0,0.009,0,0.001,0.009,0.035,0.089,0.034,0.023,0.01,0.001,0,0,0.036,0.004,0.009,0.001,0,0.008,0.037,0.093,0.008,0.007,0.001,0,0,0,0.02,0.001,0.005,0,0,0.005,0.054,0.077,0.013,0.009,0.004,0,0,0,0.025,0.001,0.012,0,0.001,0.011,0.061,0.071,0.051,0.044,0.005,0.001,0.001,0,0.045,0.001,0.008,0,0,0.008,0.044,0.075,0.036,0.029,0.005,0.002,0,0,0.024,0.001,0.006,0,0.001,0.005,0.039,0.085,0.279,0.158,0.067,0.048,0.005,0,0.07,0.015,0.011,0.002,0.001,0.008,0.023,0.086,0.027,0.02,0.006,0.002,0,0,0.022,0.002,0.006,0,0.001,0.007,0.036,0.078,0.028,0.023,0.004,0.001,0,0,0.027,0.001,0.008,0,0.001,0.007,0.048,0.082,0.096,0.059,0.022,0.014,0.001,0,0.037,0.005,0.008,0.001,0.001,0.007,0.038
2011,0.078,0.019,0.016,0.001,0.001,0.002,0,0.017,0.004,0.001,0,0.001,0.009,0.046,0.087,0.03,0.022,0.003,0.005,0,0,0.017,0.003,0.01,0.001,0.001,0.008,0.044,0.083,0.017,0.016,0,0.001,0,0,0.021,0.003,0.015,0,0,0.015,0.029,0.082,0.037,0.023,0.012,0.003,0,0,0.037,0.002,0.008,0.002,0,0.006,0.035,0.094,0.016,0.012,0.002,0,0,0.001,0.021,0.002,0.008,0.001,0.001,0.007,0.057,0.075,0.011,0.008,0.003,0.001,0,0,0.019,0.001,0.007,0,0.001,0.006,0.067,0.074,0.047,0.041,0.004,0.001,0.001,0,0.047,0.001,0.009,0.001,0.001,0.007,0.046,0.08,0.032,0.024,0.005,0.002,0,0,0.027,0.002,0.006,0.001,0.001,0.004,0.038,0.081,0.277,0.144,0.074,0.054,0.005,0,0.077,0.015,0.012,0.002,0.001,0.009,0.025,0.082,0.027,0.02,0.005,0.003,0,0,0.024,0.003,0.008,0.001,0.001,0.009,0.04,0.081,0.027,0.021,0.004,0.001,0,0,0.027,0.002,0.007,0,0.001,0.006,0.049,0.081,0.095,0.054,0.023,0.016,0.001,0,0.04,0.006,0.009,0.001,0.001,0.007,0.04
2012,0.086,0.011,0.01,0,0.001,0,0,0.011,0.005,0.001,0,0.001,0.008,0.042,0.081,0.039,0.028,0.003,0.008,0,0,0.017,0.002,0.009,0,0,0.008,0.039,0.062,0.014,0.012,0.001,0,0,0.001,0.029,0.001,0.009,0,0,0,0.041,0.075,0.027,0.017,0.008,0.002,0,0,0.023,0.007,0.011,0.001,0,0.009,0.044,0.087,0.009,0.007,0.002,0.001,0,0,0.022,0.002,0.003,0,0.001,0.003,0.058,0.067,0.014,0.01,0.004,0,0,0,0.038,0.002,0.004,0,0.001,0.003,0.066,0.079,0.049,0.043,0.004,0.001,0.001,0,0.037,0.002,0.007,0,0,0.006,0.047,0.077,0.033,0.026,0.005,0.002,0,0,0.032,0.002,0.004,0,0.001,0.003,0.041,0.085,0.282,0.153,0.065,0.06,0.003,0,0.069,0.019,0.012,0.002,0.002,0.009,0.027,0.078,0.024,0.017,0.003,0.003,0,0,0.019,0.004,0.007,0.001,0,0.007,0.041,0.077,0.027,0.022,0.004,0.001,0,0,0.032,0.002,0.005,0,0.001,0.003,0.051,0.08,0.095,0.056,0.02,0.018,0.001,0,0.039,0.007,0.007,0.001,0.001,0.006,0.042
2013,0.07,0.009,0.007,0.001,0,0,0,0.013,0.004,0.008,0,0.001,0.007,0.04,0.067,0.033,0.025,0.005,0.002,0.001,0,0.031,0.003,0.008,0.001,0,0.007,0.04,0.067,0.025,0.025,0,0,0,0,0.021,0.006,0.006,0,0,0.006,0.031,0.099,0.038,0.028,0.01,0.001,0,0,0.023,0.007,0.013,0.001,0.001,0.012,0.04,0.077,0.014,0.013,0.002,0,0,0,0.023,0.003,0.01,0,0.001,0.008,0.058,0.061,0.015,0.011,0.004,0,0,0,0.042,0.001,0.006,0.001,0.001,0.005,0.064,0.076,0.066,0.054,0.005,0.006,0.001,0,0.047,0.003,0.007,0.001,0.001,0.005,0.046,0.073,0.035,0.023,0.009,0.003,0,0,0.028,0.002,0.01,0,0.001,0.008,0.044,0.08,0.291,0.15,0.073,0.065,0.004,0,0.07,0.02,0.013,0.001,0.001,0.01,0.025,0.078,0.027,0.021,0.005,0.001,0,0,0.022,0.005,0.009,0.001,0,0.008,0.039,0.072,0.032,0.024,0.006,0.002,0,0,0.033,0.002,0.008,0.001,0.001,0.007,0.052,0.075,0.102,0.058,0.024,0.019,0.001,0,0.04,0.008,0.01,0.001,0.001,0.008,0.041
2014,0.086,0.013,0.011,0.001,0,0,0,0.011,0.003,0.012,0,0.001,0.011,0.036,0.076,0.025,0.017,0.002,0.005,0,0,0.03,0.003,0.009,0.001,0,0.008,0.036,0.078,0.019,0.017,0.001,0,0.001,0,0.014,0.008,0.011,0,0,0,0.052,0.103,0.034,0.024,0.008,0.001,0.001,0,0.022,0.006,0.005,0.002,0,0.004,0.047,0.091,0.015,0.011,0.004,0,0,0,0.022,0.002,0.005,0.001,0,0.004,0.055,0.088,0.01,0.007,0.003,0,0,0,0.039,0.003,0.009,0,0.001,0.007,0.06,0.077,0.057,0.044,0.005,0.004,0.003,0,0.038,0.002,0.009,0,0.001,0.007,0.049,0.079,0.031,0.023,0.005,0.002,0,0,0.025,0.002,0.006,0.001,0.001,0.005,0.053,0.074,0.293,0.151,0.073,0.064,0.005,0,0.069,0.016,0.012,0.001,0,0.01,0.025,0.087,0.023,0.017,0.004,0.002,0.001,0,0.02,0.005,0.009,0.001,0,0.006,0.042,0.083,0.027,0.021,0.004,0.002,0.001,0,0.029,0.002,0.007,0.001,0.001,0.005,0.054,0.082,0.099,0.056,0.023,0.019,0.002,0,0.038,0.007,0.009,0.001,0.001,0.007,0.043
2015,0.088,0.013,0.01,0.001,0.001,0.001,0,0.016,0,0.008,0,0.002,0.007,0.034,0.067,0.031,0.024,0.002,0.005,0,0,0.026,0.002,0.013,0.002,0,0.011,0.04,0.075,0.021,0.018,0,0.002,0,0,0.016,0.002,0.02,0,0,0,0.037,0.078,0.031,0.021,0.008,0.002,0,0,0.029,0.004,0.006,0.001,0.001,0.004,0.031,0.079,0.013,0.011,0.002,0.001,0,0,0.022,0.002,0.007,0.002,0.001,0.005,0.056,0.074,0.014,0.008,0.006,0,0,0,0.027,0.001,0.008,0,0.001,0.007,0.068,0.071,0.068,0.054,0.009,0.003,0.002,0,0.041,0.003,0.008,0.001,0,0.007,0.058,0.063,0.035,0.026,0.006,0.002,0,0,0.025,0.001,0.007,0.001,0.001,0.005,0.048,0.074,0.277,0.144,0.071,0.058,0.004,0,0.077,0.018,0.013,0.002,0.001,0.01,0.029,0.077,0.025,0.018,0.004,0.003,0,0,0.023,0.002,0.01,0.001,0.001,0.006,0.035,0.07,0.032,0.024,0.006,0.001,0,0,0.028,0.002,0.007,0.001,0.001,0.006,0.055,0.073,0.099,0.056,0.024,0.018,0.001,0,0.04,0.006,0.01,0.001,0.001,0.007,0.042
