GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US34001,34001,"Atlantic County, New Jersey",12929,1334,32460,2006,53725,3002,83718,3279,169334,10920,290184,33624
0500000US34003,34003,"Bergen County, New Jersey",17405,1263,48580,1847,81569,2116,122429,2848,275575,11928,495122,35221
0500000US34005,34005,"Burlington County, New Jersey",19764,1474,48338,1682,74506,2431,106545,2567,205397,9584,341274,32218
0500000US34007,34007,"Camden County, New Jersey",12986,1060,35873,1660,61474,1840,93933,2364,190824,11713,332814,42756
0500000US34009,34009,"Cape May County, New Jersey",13042,2436,30293,2874,49649,3348,78212,4892,164401,19703,276862,62967
0500000US34011,34011,"Cumberland County, New Jersey",11096,1347,28447,2866,48840,3221,75493,4964,139654,8807,209243,19447
0500000US34013,34013,"Essex County, New Jersey",10983,836,31237,1312,54808,1707,91717,2408,231053,9604,440883,30635
0500000US34015,34015,"Gloucester County, New Jersey",17683,1641,45442,2558,70455,3103,102349,3525,177258,10652,271189,35848
0500000US34017,34017,"Hudson County, New Jersey",10844,835,31129,1683,56943,2097,92063,2661,205666,9226,361246,32038
0500000US34019,34019,"Hunterdon County, New Jersey",22688,2713,60150,4051,101368,5989,145472,6184,287830,25640,476241,70540
0500000US34021,34021,"Mercer County, New Jersey",14363,1442,41907,2388,72097,3567,111543,4395,259366,16348,472082,53805
0500000US34023,34023,"Middlesex County, New Jersey",17926,1003,46505,1567,76097,2164,111981,2397,211481,6452,334789,17234
0500000US34025,34025,"Monmouth County, New Jersey",16984,1131,46415,1963,80787,2725,123992,2931,264366,13167,468151,38717
0500000US34027,34027,"Morris County, New Jersey",25031,1416,60076,2482,96379,2832,142192,3480,319132,19526,587098,61570
0500000US34029,34029,"Ocean County, New Jersey",14425,924,35224,1426,59531,1858,89295,2183,173761,7272,285203,24017
0500000US34031,34031,"Passaic County, New Jersey",10717,939,30085,1870,52774,2663,87206,3157,174491,7247,272081,19343
0500000US34033,34033,"Salem County, New Jersey",11396,1662,29420,3455,52629,4760,85501,5825,154119,13441,223449,28942
0500000US34035,34035,"Somerset County, New Jersey",23910,1867,56991,2936,89920,3215,135901,4381,296542,19809,515480,61144
0500000US34037,34037,"Sussex County, New Jersey",22279,2292,53037,3882,80492,3365,111021,4559,189849,10421,288749,30463
0500000US34039,34039,"Union County, New Jersey",15122,1143,39020,1768,65415,2759,104247,3258,242533,14285,454464,44866
0500000US34041,34041,"Warren County, New Jersey",18124,2485,45023,3317,70513,4038,99100,4538,177426,11178,266005,27984
0500000US42001,42001,"Adams County, Pennsylvania",17368,1857,36740,2421,57234,3083,81268,3859,154638,19093,258964,65034
0500000US42003,42003,"Allegheny County, Pennsylvania",10473,481,27265,760,46420,916,74467,1378,168364,4812,300512,14008
0500000US42005,42005,"Armstrong County, Pennsylvania",11631,1305,25912,2595,43711,2411,62280,2669,111750,8269,165970,23101
0500000US42007,42007,"Beaver County, Pennsylvania",12509,1079,27931,1552,45064,2201,67908,2983,128757,7633,206533,24376
0500000US42011,42011,"Berks County, Pennsylvania",14538,854,33471,1213,53445,1742,78154,2237,146777,5661,232455,17353
0500000US42013,42013,"Blair County, Pennsylvania",10720,887,23286,1827,39229,2294,61770,2857,138547,26555,250290,97875
0500000US42017,42017,"Bucks County, Pennsylvania",20501,1076,47855,1483,76224,1763,110399,2297,228371,16166,399530,60106
0500000US42019,42019,"Butler County, Pennsylvania",14682,1255,35001,2126,55715,2486,84237,3187,162534,8631,257869,27267
0500000US42021,42021,"Cambria County, Pennsylvania",10258,1033,23479,1416,39316,2228,60999,2140,116033,8291,188674,28262
0500000US42027,42027,"Centre County, Pennsylvania",8943,1267,28168,2273,48510,2551,73737,4276,155082,10413,261731,32377
0500000US42029,42029,"Chester County, Pennsylvania",19830,1362,49241,2023,81848,2205,124607,3313,276198,17376,496249,58795
0500000US42033,42033,"Clearfield County, Pennsylvania",10308,1114,23085,2130,37499,2655,54519,3389,107662,14474,176803,50803
0500000US42037,42037,"Columbia County, Pennsylvania",11543,1818,26149,2356,42305,2756,63914,4047,136885,18804,241779,56606
0500000US42039,42039,"Crawford County, Pennsylvania",10020,1090,24539,1706,38188,2331,58153,2972,121250,15618,221296,51222
0500000US42041,42041,"Cumberland County, Pennsylvania",16362,1287,37570,2321,58884,2851,86412,2792,164439,12153,276728,38458
0500000US42043,42043,"Dauphin County, Pennsylvania",11218,1164,30043,1641,49042,2096,74186,2775,149673,7897,252662,22471
0500000US42045,42045,"Delaware County, Pennsylvania",14207,843,36626,1380,62876,1985,96446,2580,204986,8595,358094,26255
0500000US42049,42049,"Erie County, Pennsylvania",10744,790,26136,1288,43198,1692,66735,2683,134922,9028,231378,29290
0500000US42051,42051,"Fayette County, Pennsylvania",9833,909,21952,1572,35869,2093,55116,2604,110656,9055,175107,23804
0500000US42055,42055,"Franklin County, Pennsylvania",12887,1400,30181,2027,47343,2321,71310,3805,139047,10260,222938,28961
0500000US42063,42063,"Indiana County, Pennsylvania",9049,1636,23777,2413,40211,2991,60293,3316,109431,8247,169626,22782
0500000US42069,42069,"Lackawanna County, Pennsylvania",10446,1040,27119,1687,44702,2232,67028,2604,148072,11695,274344,39975
0500000US42071,42071,"Lancaster County, Pennsylvania",15001,852,35706,1407,55640,1525,79314,1963,148410,6099,239305,19280
0500000US42073,42073,"Lawrence County, Pennsylvania",10848,1558,25597,1847,42779,2031,65208,3545,112498,9320,159781,30637
0500000US42075,42075,"Lebanon County, Pennsylvania",14659,1469,33936,2160,51507,2610,76972,3631,151654,12906,257687,42389
0500000US42077,42077,"Lehigh County, Pennsylvania",13356,1076,32810,1635,53811,2056,81579,3163,165875,10977,279590,37870
0500000US42079,42079,"Luzerne County, Pennsylvania",10109,763,24239,1054,40251,1643,63543,2175,127551,6716,210632,21156
0500000US42081,42081,"Lycoming County, Pennsylvania",10724,1417,25702,1589,40529,2650,61258,2674,114878,8372,186360,25719
0500000US42085,42085,"Mercer County, Pennsylvania",10735,1181,26008,1897,43282,2325,64204,2516,116095,6982,177113,20758
0500000US42089,42089,"Monroe County, Pennsylvania",15537,1828,33805,3013,54953,3912,81129,4761,149881,14313,222470,40663
0500000US42091,42091,"Montgomery County, Pennsylvania",19370,979,47644,1506,75327,1519,111668,2286,251644,10196,455993,32963
