GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US42077,42077,"Lehigh County, Pennsylvania",11784,865,30650,1276,51739,2152,79406,2478,160265,8831,262642,27441
0500000US42079,42079,"Luzerne County, Pennsylvania",9856,852,24633,1181,41879,1695,66004,2347,136938,9138,231451,31784
0500000US42081,42081,"Lycoming County, Pennsylvania",9191,1178,24108,2260,41043,2474,59551,2555,113533,8761,185173,25848
0500000US42085,42085,"Mercer County, Pennsylvania",9905,1193,23578,1496,39934,2491,61204,3217,116178,9385,180810,24469
0500000US42089,42089,"Monroe County, Pennsylvania",11914,1729,32598,3447,54925,4358,82639,4457,149910,9279,227058,27047
0500000US42091,42091,"Montgomery County, Pennsylvania",19508,911,46647,1202,75246,1634,113327,2293,243479,11124,430558,35895
0500000US42095,42095,"Northampton County, Pennsylvania",13791,1058,34663,1700,57118,2098,87333,3144,167145,9052,272346,27913
0500000US42097,42097,"Northumberland County, Pennsylvania",11371,1276,23118,1709,36243,2475,57966,3171,106858,6475,162903,17130
0500000US42101,42101,"Philadelphia County, Pennsylvania",5692,381,18256,630,34503,1029,57982,1406,130101,4149,223845,12482
0500000US42107,42107,"Schuylkill County, Pennsylvania",11539,782,25103,1405,40567,2356,62023,2675,117691,7178,181305,19631
0500000US42111,42111,"Somerset County, Pennsylvania",10724,786,23493,2063,39212,2583,58033,3211,105269,6996,155906,14693
0500000US42125,42125,"Washington County, Pennsylvania",11753,1074,28970,2064,48318,2788,74932,3097,151722,9787,254091,28107
0500000US42129,42129,"Westmoreland County, Pennsylvania",11635,770,27612,1084,46470,1534,71328,2184,136091,6404,213947,17119
0500000US42133,42133,"York County, Pennsylvania",14965,1045,36014,1667,56885,1882,82919,2324,148676,5817,227955,16979
