GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US42079,42079,"Luzerne County, Pennsylvania",9645,670,23141,1028,39285,1328,59639,1626,118318,5183,195127,15436
0500000US42081,42081,"Lycoming County, Pennsylvania",9556,952,23198,1543,38758,2032,58701,2786,113388,7748,185361,23929
0500000US42085,42085,"Mercer County, Pennsylvania",10279,1034,22789,1442,38247,2340,60415,2741,118008,8646,191621,23620
0500000US42089,42089,"Monroe County, Pennsylvania",11852,1855,31665,2605,49966,3139,74421,4109,133304,9528,201013,28405
0500000US42091,42091,"Montgomery County, Pennsylvania",18209,799,44821,1032,71418,1512,105494,2092,227930,8986,407132,26925
0500000US42095,42095,"Northampton County, Pennsylvania",14101,887,33931,1939,54520,2012,83790,3050,152350,7039,232099,20947
0500000US42097,42097,"Northumberland County, Pennsylvania",8990,1084,21060,1947,35967,2489,55916,3030,97374,6408,144517,14689
0500000US42101,42101,"Philadelphia County, Pennsylvania",5741,349,17835,641,33318,794,55337,1219,118313,3499,195170,11623
0500000US42107,42107,"Schuylkill County, Pennsylvania",9951,928,23702,1489,38136,1741,55715,2220,98989,4222,142114,10527
0500000US42111,42111,"Somerset County, Pennsylvania",9355,1088,21084,1636,34511,2333,53164,3440,103107,8614,163948,23943
0500000US42125,42125,"Washington County, Pennsylvania",11252,1022,27646,1708,45794,2168,71117,2618,144418,10045,245137,30855
0500000US42129,42129,"Westmoreland County, Pennsylvania",11327,758,26214,1078,43682,1552,66603,1896,126699,6031,202281,21061
0500000US42133,42133,"York County, Pennsylvania",14705,849,34307,1179,52771,1643,75810,1927,133629,5754,205675,16171
